"BusinessApiId"	"BusinessApiName"	"Term"	"TermType"	"SAPObjectMeaning"	"Source"	"PositiveOrNegative"	"Notes"
"API-01"	"Submit MIGO"	"MIGO"	"SAPTransaction"	"Goods movement entry transaction"	"V17;GLOSSARY"	"POSITIVE"	"Business label; not itself an SAP document"
"API-01"	"Submit MIGO"	"GOODS RECEIPT"	"BusinessTerm"	"GR posting against a reference document"	"V17;SAPSTD"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"GOODSMVT"	"SAPBapi"	"BAPI_GOODSMVT_CREATE family"	"DOSSIER"	"POSITIVE"	"Dossier A-30 names this as the primary candidate"
"API-01"	"Submit MIGO"	"GOODS MOVEMENT"	"BusinessTerm"	"Inventory movement posting"	"SAPSTD"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"MATERIAL DOCUMENT"	"SAPObject"	"MATDOC / MBLNR+MJAHR"	"GLOSSARY;DOSSIER"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"MATDOC"	"SAPTable"	"S/4 material document table"	"GLOSSARY"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"MATERIALDOCUMENT"	"SAPObject"	"Material document, unspaced form"	"SAPSTD"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"INBOUND DELIVERY"	"SAPObject"	"Receiving-side delivery document"	"HANDOVER"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"INVENTORY"	"BusinessTerm"	"Stock/inventory management area"	"SAPSTD"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"MOVEMENT TYPE"	"BusinessTerm"	"Mvt 101 GR, 601 GI"	"GLOSSARY;DOSSIER"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"MRN"	"Abbreviation"	"Material Receipt Note / Movement Reference Number - contested C-14"	"GLOSSARY"	"POSITIVE"	"Client term; SAP returns MBLNR/MJAHR"
"API-01"	"Submit MIGO"	"STOCK POSTING"	"BusinessTerm"	"Posting that changes stock"	"SAPSTD"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"PUTAWAY"	"BusinessTerm"	"Inbound delivery putaway step"	"SAPSTD"	"POSITIVE"	""
"API-01"	"Submit MIGO"	"CUSTOMER RETURN"	"NegativeKeyword"	"Returns process"	"HANDOVER"	"NEGATIVE"	"CNF is not a returns flow"
"API-01"	"Submit MIGO"	"QUALITY INSPECTION"	"NegativeKeyword"	"QM process"	"SAPSTD"	"NEGATIVE"	""
"API-01"	"Submit MIGO"	"SUBCONTRACT"	"NegativeKeyword"	"Subcontracting movement"	"SAPSTD"	"NEGATIVE"	""
"API-02"	"Create DI"	"OUTBOUND DELIVERY"	"SAPObject"	"LIKP/LIPS outbound delivery = DI"	"V17;GLOSSARY"	"POSITIVE"	""
"API-02"	"Create DI"	"OUTBOUNDDELIVERY"	"SAPObject"	"Unspaced form"	"SAPSTD"	"POSITIVE"	""
