MANDT	EBELN	BUKRS	BSTYP	BSART	BSAKZ	LOEKZ	STATU	AEDAT	ERNAM	LASTCHANGEDATETIME	PINCR	LPONR	LIFNR	SPRAS	ZTERM	ZBD1T	ZBD2T	ZBD3T	ZBD1P	ZBD2P	EKORG	EKGRP	WAERS	WKURS	KUFIX	BEDAT	KDATB	KDATE	BWBDT	ANGDT	BNDDT	GWLDT	AUSNR	ANGNR	IHRAN	IHREZ	VERKF	TELF1	LLIEF	KUNNR	ACTIVE_ID	KONNR	ABGRU	AUTLF	WEAKT	RESWK	LBLIF	INCO1	INCO2	KTWRT	DISTRIBUTIONTYPE	SUBMI	KNUMV	KALSM	STAFO	LIFRE	EXNUM	UNSEZ	LOGSY	UPINC	STAKO	FRGGR	FRGSX	FRGKE	FRGZU	FRGRL	LANDS	LPHIS	ADRNR	STCEG_L	STCEG	ABSGR	ADDNR	KORNR	MEMORY	PROCSTAT	PROCESS_INDICATOR	RLWRT	CR_STAT	REVNO	SCMPROC	REASON_CODE	MEMORYTYPE	RETTP	RETPC	DPTYP	DPPCT	DPAMT	DPDAT	MSR_ID	HIERARCHY_EXISTS	GROUPING_ID	PARENT_ID	THRESHOLD_EXISTS	LEGAL_CONTRACT	DESCRIPTION	RELEASE_DATE	VSART	HANDOVERLOC	SHIPCOND	INCOV	INCO2_L	INCO3_L	INCO2_KEY	INCO3_KEY	INCO4_KEY	GRWCU	INTRA_REL	INTRA_EXCL	TOTAL_STATUS_PCS	TOTAL_STATUS_PMA	TOTAL_STATUS_DG	TOTAL_STATUS_SDS	QTN_ERLST_SUBMSN_DATE	FOLLOWON_DOC_CAT	FOLLOWON_DOC_TYPE	DUMMY_EKKO_INCL_EEW_PS	ZZVENDOR_TYPE	ZZORDERING_REASON	ZZLD_CLAUSE	EXTERNALSYSTEM	EXTERNALREFERENCEID	EXT_REV_TMSTMP	ISEOPBLOCKED	ISAGED	FORCE_ID	FORCE_CNT	RELOC_ID	RELOC_SEQ_ID	SOURCE_LOGSYS	FSH_TRANSACTION	FSH_ITEM_GROUP	FSH_VAS_LAST_ITEM	FSH_OS_STG_CHANGE	TMS_REF_UUID	/DMBE/PAYMENTDEEMED	/DMBE/DEALNUMBER	/DMBE/EVGIDRENEWAL	/DMBE/EVGIDCANCEL	ZAPCGK	APCGK_EXTEND	ZBAS_DATE	ZADATTYP	ZSTART_DAT	Z_DEV	ZINDANX	ZLIMIT_DAT	NUMERATOR	HASHCAL_BDAT	HASHCAL	NEGATIVE	HASHCAL_EXISTS	KNOWN_INDEX	POSTAT	VZSKZ	FSH_SNST_STATUS	PROCE	CONC	CONT	COMP	OUTR	DESP	DESP_DAT	DESP_CARGO	PARE	PARE_DAT	PARE_CARGO	PFM_CONTRACT	POHF_TYPE	EQ_EINDT	EQ_WERKS	FIXPO	EKGRP_ALLOW	WERKS_ALLOW	CONTRACT_ALLOW	PSTYP_ALLOW	FIXPO_ALLOW	KEY_ID_ALLOW	AUREL_ALLOW	DELPER_ALLOW	EINDT_ALLOW	LTSNR_ALLOW	OTB_LEVEL	OTB_COND_TYPE	KEY_ID	OTB_VALUE	OTB_CURR	OTB_RES_VALUE	OTB_SPEC_VALUE	SPR_RSN_PROFILE	BUDG_TYPE	OTB_STATUS	OTB_REASON	CHECK_TYPE	CON_OTB_REQ	CON_PREBOOK_LEV	CON_DISTR_LEV
700	5100004861	1000	F	ZP01			9	14.08.2026	RVSD01	20,260,814,121,521.2357980	00010	00010	0011113714	E	P012	7	0	0	0.000	0.000	1000	201	INR	1.00000		14.08.2026													0011113714									FTB	FOR To be billed	0.00			1017270586	ZD01	SAP	0011113714				00001						X	IN			IN		00				03		0.00							0.00		0.00	0.00														FOR To be billed		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	5200112862	1000	F	ZP02			9	14.08.2026	RVMM04	20,260,814,100,131.0809820	00010	00010	0011081421	E	P012	7	0	0	0.000	0.000	1000	107	INR	1.00000		14.08.2026											WS2293783087		0011081421									EXW	Chittorgarh	0.00			1017270581	ZD01	SAP	0011081421				00001						X	IN			IN		00				03		0.00							0.00		0.00	0.00														Chittorgarh		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	5400013350	1000	F	ZP04			9	14.08.2026	RVFI01	20,260,814,062,141.3156600	00010	00010	0011003063	E	P006	0	0	0	0.000	0.000	1000	503	INR	1.00000		14.08.2026											Doc2015398474		0011003063									EXW	Satna	0.00			1017270582	ZD01	SAP	0011003063				00001						X	IN			IN		00				03		0.00							0.00	M	100.00	237,000.00	14.08.2026													Satna		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR											MFG	ARIBA				0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	5400013351	1000	F	ZP04			9	14.08.2026	RVFI01	20,260,814,070,711.1828960	00010	00010	0011003063	E	P006	0	0	0	0.000	0.000	1000	503	INR	1.00000		14.08.2026											Doc2015398474		0011003063									EXW	Satna	0.00			1017270583	ZD01	SAP	0011003063				00001						X	IN			IN		00				02		0.00							0.00	M	100.00	237,000.00	14.08.2026													Satna		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR											MFG	ARIBA				0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	5400013352	1000	F	ZP04			9	14.08.2026	RVFI01	20,260,814,071,314.3490770	00010	00010	0011003063	E	P006	0	0	0	0.000	0.000	1000	503	INR	1.00000		14.08.2026											Doc2015398474		0011003063									EXW	Satna	0.00			1017270584	ZD01	SAP	0011003063				00001							IN			IN		00				02		0.00							0.00	M	100.00	237,000.00	14.08.2026													Satna		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR											MFG	ARIBA				0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	5600084208	1000	F	ZP06	T		9	13.08.2026	RVSD01	20,260,813,110,751.9448590	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		13.08.2026																				1002				0.00			1017270563	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	5600084209	1000	F	ZP06	T		9	14.08.2026	QNOVATE2	20,260,814,051,524.1412300	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		14.08.2026																				1002				0.00			1017270580	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	6000000159	1000	F	ZP10			X	02.02.2024	SCLADMIN	20,240,201,201,153.7333100	00010	00001	0013000788	E	P015	0	0	0	0.000	0.000	1000	701	INR	1.00000		02.02.2024													0013000788											0.00			1000008989	ZD01	SAP	0013000788				00001							IN					00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	6000000351	1000	F	ZP10			X	04.02.2024	SCLADMIN	20,240,204,141,355.8876410	00010	00001	0013000788	E	P015	0	0	0	0.000	0.000	1000	701	INR	1.00000		04.02.2024													0013000788											0.00			1000048155	ZD01	SAP	0013000788				00001							IN					00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	6000000484	1000	F	ZP10			X	05.02.2024	SCLADMIN	20,240,204,232,411.0838090	00010	00001	0013000788	E	P015	0	0	0	0.000	0.000	1000	701	INR	1.00000		05.02.2024													0013000788											0.00			1000053428	ZD01	SAP	0013000788				00001							IN					00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	6000000659	1000	F	ZP10			X	06.02.2024	SCLADMIN	20,240,205,222,556.6261030	00010	00001	0013000788	E	P015	0	0	0	0.000	0.000	1000	701	INR	1.00000		06.02.2024													0013000788											0.00			1000065481	ZD01	SAP	0013000788				00001							IN					00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	6000000830	1000	F	ZP10			X	12.02.2024	SCLADMIN	20,240,211,191,827.5388140	00010	00001	0013000788	E	P015	0	0	0	0.000	0.000	1000	701	INR	1.00000		12.02.2024													0013000788											0.00			1000145992	ZD01	SAP	0013000788				00001							IN					00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
700	6000001038	1000	F	ZP10			X	12.02.2024	SCLADMIN	20,240,212,141,820.5501470	00010	00001	0013000788	E	P015	0	0	0	0.000	0.000	1000	701	INR	1.00000		12.02.2024													0013000788											0.00			1000155370	ZD01	SAP	0013000788				00001							IN					00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00								
