Project	GridKind	Owner	Property	EdmType	Prec	Scale	MaxLen	IsKey	Creatable	Updatable	Sortable	Nullable	Filterable	UnitProp	AbapField
API_OUTBOUND_DELIVERY_0002	ComplexProperty	CreatedDeliveryItem	DeliveryDocument	Edm.String	0	0	10								VBELN_VL
API_OUTBOUND_DELIVERY_0002	ComplexProperty	CreatedDeliveryItem	DeliveryDocumentItem	Edm.String	0	0	6								POSNR_VL
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageIdentification	Edm.String	0	0	20					X			MSGID
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageNumber	Edm.String	0	0	3					X			MSGNO
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageType	Edm.String	0	0	1					X			MSGTY
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageVariable1	Edm.String	0	0	50					X			MSGV1
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageVariable2	Edm.String	0	0	50					X			MSGV2
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageVariable3	Edm.String	0	0	50					X			MSGV3
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	SystemMessageVariable4	Edm.String	0	0	50					X			MSGV4
API_OUTBOUND_DELIVERY_0002	ComplexProperty	HuReturn	DeliveryDocument	Edm.String	0	0	10					X			VBELN
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageIdentification	Edm.String	0	0	20					X			MSGID
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageNumber	Edm.String	0	0	3					X			MSGNO
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageType	Edm.String	0	0	1					X			MSGTY
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageVariable1	Edm.String	0	0	50					X			MSGV1
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageVariable2	Edm.String	0	0	50					X			MSGV2
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageVariable3	Edm.String	0	0	50					X			MSGV3
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	SystemMessageVariable4	Edm.String	0	0	50					X			MSGV4
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	Batch	Edm.String	0	0	10					X			CHARG
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	DeliveryQuantityUnit	Edm.String	0	0	3					X			VRKME
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	ActualDeliveryQuantity	Edm.Decimal	13	3	0					X			LFIMG
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	DeliveryDocumentItemText	Edm.String	0	0	40					X			ARKTX
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	Material	Edm.String	0	0	40					X			MATNR
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	DeliveryDocumentItem	Edm.String	0	0	6					X			POSNR
API_OUTBOUND_DELIVERY_0002	ComplexProperty	PickingReport	DeliveryDocument	Edm.String	0	0	10					X			VBELN
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	CollectiveProcessing	Edm.String	0	0	10					X			SAMMG
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	DeliveryDocument	Edm.String	0	0	10					X			VBELN
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	DeliveryDocumentItem	Edm.String	0	0	6					X			POSNR
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	ScheduleLine	Edm.String	0	0	4					X			ETENR
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	CollectiveProcessingMsgCounter	Edm.String	0	0	2					X			ZAEHL
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageIdentification	Edm.String	0	0	20					X			MSGID
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageNumber	Edm.String	0	0	3					X			MSGNO
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageType	Edm.String	0	0	1					X			MSGTY
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageVariable1	Edm.String	0	0	50					X			MSGV1
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageVariable2	Edm.String	0	0	50					X			MSGV2
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageVariable3	Edm.String	0	0	50					X			MSGV3
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	SystemMessageVariable4	Edm.String	0	0	50					X			MSGV4
API_OUTBOUND_DELIVERY_0002	ComplexProperty	Return	CollectiveProcessingType	Edm.String	0	0	1					X			SMART
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	CreatedByUser	Edm.String	0	0	12								CREATEDBYUSER
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	CreationDate	Edm.DateTime	7	0	0					X			CREATIONDATE
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	CreationTime	Edm.Time	0	0	0					X			CREATIONTIME
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	DeliveryDocument	Edm.String	0	0	10		X						DELIVERYDOCUMENT
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	GrossVolume	Edm.Decimal	15	3	0		X	X					GROSSVOLUME
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	GrossWeight	Edm.Decimal	15	3	0		X	X					GROSSWEIGHT
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitBaseUnitOfMeasure	Edm.String	0	0	3								HANDLINGUNITBASEUNITOFMEASURE
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitContentDescription	Edm.String	0	0	40		X	X					HANDLINGUNITCONTENTDESCRIPTION
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitExternalId	Edm.String	0	0	20								HANDLINGUNITEXTERNALID
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitExternalIdType	Edm.String	0	0	1								HANDLINGUNITEXTERNALIDTYPE
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitGroup1	Edm.String	0	0	5								HANDLINGUNITGROUP1
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitGroup2	Edm.String	0	0	5								HANDLINGUNITGROUP2
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitGroup3	Edm.String	0	0	5								HANDLINGUNITGROUP3
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitGroup4	Edm.String	0	0	5								HANDLINGUNITGROUP4
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitGroup5	Edm.String	0	0	5								HANDLINGUNITGROUP5
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitHeight	Edm.Decimal	13	3	0								HANDLINGUNITHEIGHT
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitInternalId	Edm.String	0	0	10	X							HANDLINGUNITINTERNALID
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitInternalStatus	Edm.String	0	0	4								HANDLINGUNITINTERNALSTATUS
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitLength	Edm.Decimal	13	3	0								HANDLINGUNITLENGTH
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitLowerLevelRefer	Edm.String	0	0	10								HANDLINGUNITLOWERLEVELREFER
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitMaxVolume	Edm.Decimal	15	3	0		X	X					HANDLINGUNITMAXVOLUME
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitMaxWeight	Edm.Decimal	15	3	0		X	X					HANDLINGUNITMAXWEIGHT
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitNetVolume	Edm.Decimal	15	3	0		X	X					HANDLINGUNITNETVOLUME
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitSecondExternalId	Edm.String	0	0	20		X	X					HANDLINGUNITSECONDEXTERNALID
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitTareVolume	Edm.Decimal	15	3	0		X	X					HANDLINGUNITTAREVOLUME
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitTareVolumeUnit	Edm.String	0	0	3		X	X					HANDLINGUNITTAREVOLUMEUNIT
API_OUTBOUND_DELIVERY_0002	EntityProperty	A_HandlingUnitHeaderDeliveryType	HandlingUnitTareWeight	Edm.Decimal	15	3	0		X	X					HANDLINGUNITTAREWEIGHT
