TABNAME	FIELDNAME	AS4LOCAL	AS4VERS	POSITION	KEYFLAG	MANDATORY	ROLLNAME	CHECKTABLE	ADMINFIELD	INTTYPE	INTLEN	REFTABLE	PRECFIELD	REFFIELD	CONROUT	NOTNULL	DATATYPE	LENG	DECIMALS	DOMNAME	SHLPORIGIN	TABLETYPE	DEPTH	COMPTYPE	REFTYPE	LANGUFLAG	DBPOSITION	ANONYMOUS	OUTPUTSTYLE	SRS_ID
VTTK	.INCLU--AP	A	0000	0135					0		000000		/BEV1/RPVTTK_A					000000	000000				00	S			0000		00	0
VTTK	.INCLU--AP	A	0000	0142					0		000000		/VSO/R_VTTK_A					000000	000000				00	S			0000		00	0
VTTK	.INCLU--AP	A	0000	0145					0		000000		ZLES_CUSTOMER_FIELDS					000000	000000				00	S			0000		00	0
VTTK	.INCLUDE	A	0000	0136					1		000000		/BEV1/RPTDBES_I					000000	000000				00	S			0000		00	0
VTTK	.INCLUDE	A	0000	0143					1		000000		/VSO/R_VTTK_I					000000	000000				00	S			0000		00	0
VTTK	/BEV1/RPANHAE	A	0000	0140			/DSD/RP_TRAIL	*	2	C	000036						CHAR	000018	000000	EQUNR	X		00	E			0000		00	0
VTTK	/BEV1/RPFAR1	A	0000	0137			/DSD/RP_DRIVER1	KNA1	2	C	000020						CHAR	000010	000000	KUNNR	P		00	E			0000		00	0
VTTK	/BEV1/RPFAR2	A	0000	0138			/DSD/RP_DRIVER2	KNA1	2	C	000020						CHAR	000010	000000	KUNNR	P		00	E			0000		00	0
VTTK	/BEV1/RPFLGNR	A	0000	0141			/DSD/RP_SEQUENCENR		2	N	000010						NUMC	000005	000000	/DSD/RP_SEQUENCENR			00	E			0000		00	0
VTTK	/BEV1/RPMOWA	A	0000	0139			/DSD/RP_TRUCK	*	2	C	000036						CHAR	000018	000000	EQUNR	X		00	E			0000		00	0
VTTK	/VSO/R_STATUS	A	0000	0144			/VSO/M_VSO_STATUS		2	C	000002						CHAR	000001	000000	/VSO/M_VSO_STATUS	F		00	E			0000		00	0
VTTK	ABFER	A	0000	0013			ABFER		0	C	000002					X	CHAR	000001	000000	ABFER	F		00	E			0000		00	0
VTTK	ABWST	A	0000	0014			ABWST		0	C	000002					X	CHAR	000001	000000	ABWST	F		00	E			0000		00	0
VTTK	ADD01	A	0000	0088			VTTK_ADD01	VTADD01	0	C	000020						CHAR	000010	000000	VTTK_ADD01	P		00	E			0000		00	0
VTTK	ADD02	A	0000	0089			VTTK_ADD02	VTADD02	0	C	000020						CHAR	000010	000000	VTTK_ADD02	P		00	E			0000		00	0
VTTK	ADD03	A	0000	0090			VTTK_ADD03	VTADD03	0	C	000020						CHAR	000010	000000	VTTK_ADD03	P		00	E			0000		00	0
VTTK	ADD04	A	0000	0091			VTTK_ADD04	VTADD04	0	C	000020						CHAR	000010	000000	VTTK_ADD04	P		00	E			0000		00	0
VTTK	AEDAT	A	0000	0010			AEDAT		0	D	000016					X	DATS	000008	000000	DATUM	T		00	E			0000		00	0
VTTK	AENAM	A	0000	0009			AENAM		0	C	000024					X	CHAR	000012	000000	USNAM			00	E			0000		00	0
VTTK	AEZET	A	0000	0011			AEZET		0	T	000012					X	TIMS	000006	000000	UZEIT	T		00	E			0000		00	0
VTTK	ALLOWED_TWGT	A	0000	0128			ALLOWED_TWGT		0	P	000005	VTTK		DTMEG			QUAN	000008	000000	MENG12_0			00	E			0000		00	0
VTTK	ARGST	A	0000	0074			ARGST		0	C	000002						CHAR	000001	000000	ARGST	F		00	E			0000		00	0
VTTK	ARSTA	A	0000	0073			ARSTA		0	C	000002						CHAR	000001	000000	ARSTA	F		00	E			0000		00	0
VTTK	AULWE	A	0000	0102			AULWE		0	C	000020						CHAR	000010	000000	AULWE			00	E			0000		00	0
VTTK	BFART	A	0000	0015			BFART		0	C	000002					X	CHAR	000001	000000	BFART	F		00	E			0000		00	0
VTTK	CM_IDENT	A	0000	0131			CMIDENTIFIER		0	C	000024						CHAR	000012	000000	CHAR12			00	E			0000		00	0
VTTK	CM_SEQUENCE	A	0000	0132			CMSEQUENCE		0	N	000008						NUMC	000004	000000	SEQUENCE1			00	E			0000		00	0
VTTK	CONT_DG	A	0000	0099			ADGE_NCDG		0	C	000002						CHAR	000001	000000	X	F		00	E			0000		00	0
