FUNCNAME	R3STATE	PARAMETER	PARAMTYPE	STRUCTURE	DEFAULTVAL	REFERENCE	PPOSITION	OPTIONAL	TYPE	CLASS	REF_CLASS	LINE_OF	TABLE_OF	RESFLAG1	RESFLAG2	RESFLAG3	RESFLAG4	RESFLAG5
/ATL/L_CHECK_BANK_NUMBER	A	BANKL	I				1											
/ATL/L_CHECK_IL_BANK_NUMBERO1	A	BANKL	I				1											
/ATL/L_CHECK_IL_BANK_NUMBEROLD	A	BANKL	I				1											
/ATL/L_STRING_REVERSE	A	STRING	I				1											
/BDL/_IMPORTSESSDATA_FROM_FILE	A	INPUTFILEPATH	I				1											
/CCEE/FISIFEB_2_CLEAR	A	I_AUGLV	I				1											
/CPD/ADD_MONTH_TO_DATE	A	MONTHS	I				1											
/CUM/GET_DESGUID_FOR_DESNUM	A	INPUT	I				1											
/CUM/GET_DESNUM_FOR_DESGUID	A	INPUT	I				1											
/CWM/CONVERT_CHAR_TO_PACK	A	I_CHAR	I				1											
/ISDFPS/VOWELS_TO_UMLAUTS	A	IF_STRING	I				1											
/OSP/LEMA_CONV_DATE_LNG_FORMAT	A	IV_INPUT	I				1											
/OSP/TRVL_CONV_DATE_LNG_FORMAT	A	IV_INPUT	I				1											
/SAPAPO/CHECK_STRING_SPEC_CHAR	A	STRING	I				1											
/SAPAPO/COLLABORATION	A	I_CLP_COLLABORATION	I				1											
/SAPAPO/CRES_MASS_RES_SAVE	A	SELDATA	I				1											
/SAPAPO/CRES_SCMB_SET_STATUS	A	P_SUBMIT_MODE	I				1											
/SAPAPO/CRES_SET_STATUS	A	P_SUBMIT_MODE	I				1											
/SAPAPO/CRES_TOOLS_SET_STATUS	A	P_SUBMIT_MODE	I				1											
/SAPAPO/LOC_MASS_INITIAL_CHK	A	NODIALOG	I				1											
/SAPAPO/MDSP_NOTES_MAINTAIN	A	APPLICATION	I				1											
/SAPAPO/PARTNER	A	I_CLP_PARTNER	I				1											
/SAPAPO/PPM_MASS_INITIAL_CHK	A	NODIALOG	I				1											
/SAPAPO/PREL_MASS_INITIAL_CHK	A	NODIALOG	I				1											
/SAPAPO/SCC_BW	A	EXCEL_REPORT	I				1											
