"Service"	"EntitySet"	"EntityType"	"Creatable"	"Updatable"	"Deletable"	"Pageable"	"Addressable"	"Searchable"	"ContentVersion"
"API_BILLING_DOCUMENT"	"A_BillingDocument"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItem"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentItemType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemPartner"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentItemPartnerType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemPrcgElmnt"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentItemPrcgElmntType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemText"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentItemTextType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentPartner"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentPartnerType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentPrcgElmnt"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentPrcgElmntType"	"false"	"false"	"false"	""	""	""	"1"
"API_BILLING_DOCUMENT"	"A_BillingDocumentText"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentTextType"	"false"	"false"	"false"	""	""	""	"1"
"API_MATERIAL_DOCUMENT"	"A_MaterialDocumentHeader"	"API_MATERIAL_DOCUMENT_SRV.A_MaterialDocumentHeaderType"	""	"false"	"false"	""	""	""	"1"
"API_MATERIAL_DOCUMENT"	"A_MaterialDocumentItem"	"API_MATERIAL_DOCUMENT_SRV.A_MaterialDocumentItemType"	"false"	"false"	"false"	""	""	""	"1"
"API_MATERIAL_DOCUMENT"	"A_SerialNumberMaterialDocument"	"API_MATERIAL_DOCUMENT_SRV.A_SerialNumberMaterialDocumentType"	"false"	"false"	"false"	""	""	""	"1"
