"Service"	"FunctionImport"	"HttpMethod"	"ActionFor"	"ReturnType"	"EntitySet"	"ParamCount"	"Parameters"
"API_BILLING_DOCUMENT"	"Cancel"	"POST"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentType"	"Collection(API_BILLING_DOCUMENT_SRV.CancelResult)"	""	"1"	"BillingDocument:Edm.String/In"
"API_BILLING_DOCUMENT"	"GetPDF"	"GET"	"API_BILLING_DOCUMENT_SRV.A_BillingDocumentType"	"API_BILLING_DOCUMENT_SRV.GetPDFResult"	""	"1"	"BillingDocument:Edm.String/In"
"API_MATERIAL_DOCUMENT"	"Cancel"	"POST"	"API_MATERIAL_DOCUMENT_SRV.A_MaterialDocumentHeaderType"	"API_MATERIAL_DOCUMENT_SRV.A_MaterialDocumentHeaderType"	"A_MaterialDocumentHeader"	"3"	"MaterialDocumentYear:Edm.String/In ; MaterialDocument:Edm.String/In ; PostingDate:Edm.DateTime/In"
"API_MATERIAL_DOCUMENT"	"CancelItem"	"POST"	"API_MATERIAL_DOCUMENT_SRV.A_MaterialDocumentItemType"	"API_MATERIAL_DOCUMENT_SRV.A_MaterialDocumentItemType"	"A_MaterialDocumentItem"	"4"	"MaterialDocumentYear:Edm.String/In ; MaterialDocument:Edm.String/In ; MaterialDocumentItem:Edm.String/In ; PostingDate:Edm.DateTime/In"
"API_OUTBOUND_DELIVERY_V2"	"DeleteAllHandlingUnitsFromDelivery"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryHeaderType"	"API_OUTBOUND_DELIVERY_SRV.HuReturn"	""	"1"	"DeliveryDocument:Edm.String/In"
"API_OUTBOUND_DELIVERY_V2"	"CreateBatchSplitItem"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryItemType"	"API_OUTBOUND_DELIVERY_SRV.CreatedDeliveryItem"	""	"6"	"PickQuantityInSalesUOM:Edm.Decimal/In ; Batch:Edm.String/In ; DeliveryDocument:Edm.String/In ; DeliveryDocumentItem:Edm.String/In ; ActualDeliveryQuantity:Edm.Decimal/In ; DeliveryQuantityUnit:Edm.String/In"
"API_OUTBOUND_DELIVERY_V2"	"PickAndBatchSplitOneItem"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryHeaderType"	"Collection(API_OUTBOUND_DELIVERY_SRV.PickingReport)"	""	"5"	"DeliveryDocument:Edm.String/In ; DeliveryDocumentItem:Edm.String/In ; Batch:Edm.String/In ; SplitQuantity:Edm.Decimal/In ; SplitQuantityUnit:Edm.String/In"
"API_OUTBOUND_DELIVERY_V2"	"SetPickingQuantityWithBaseQuantity"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryHeaderType"	"Collection(API_OUTBOUND_DELIVERY_SRV.PickingReport)"	""	"4"	"ActualDeliveredQtyInBaseUnit:Edm.Decimal/In ; BaseUnit:Edm.String/In ; DeliveryDocument:Edm.String/In ; DeliveryDocumentItem:Edm.String/In"
"API_OUTBOUND_DELIVERY_V2"	"AddSerialNumberToDeliveryItem"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryHeaderType"	"Collection(API_OUTBOUND_DELIVERY_SRV.PickingReport)"	""	"3"	"DeliveryDocument:Edm.String/In ; DeliveryDocumentItem:Edm.String/In ; SerialNumber:Edm.String/In"
"API_OUTBOUND_DELIVERY_V2"	"DeleteSerialNumberFromDeliveryItem"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryHeaderType"	"Collection(API_OUTBOUND_DELIVERY_SRV.PickingReport)"	""	"3"	"DeliveryDocument:Edm.String/In ; DeliveryDocumentItem:Edm.String/In ; SerialNumber:Edm.String/In"
"API_OUTBOUND_DELIVERY_V2"	"DeleteAllSerialNumbersFromDeliveryItem"	"POST"	"API_OUTBOUND_DELIVERY_SRV.A_OutbDeliveryHeaderType"	"Collection(API_OUTBOUND_DELIVERY_SRV.PickingReport)"	""	"2"	"DeliveryDocument:Edm.String/In ; DeliveryDocumentItem:Edm.String/In"
