"Service"	"EntityType"	"Nav"	"Relationship"	"FromRole"	"ToRole"
"API_BILLING_DOCUMENT"	"A_BillingDocumentType"	"to_Item"	"API_BILLING_DOCUMENT_SRV.assoc_35B79867633D35B2FD84F13E02610402"	"FromRole_assoc_35B79867633D35B2FD84F13E02610402"	"ToRole_assoc_35B79867633D35B2FD84F13E02610402"
"API_BILLING_DOCUMENT"	"A_BillingDocumentType"	"to_Partner"	"API_BILLING_DOCUMENT_SRV.assoc_6E54000D29CFBF364A7135E2F0C09165"	"FromRole_assoc_6E54000D29CFBF364A7135E2F0C09165"	"ToRole_assoc_6E54000D29CFBF364A7135E2F0C09165"
"API_BILLING_DOCUMENT"	"A_BillingDocumentType"	"to_PricingElement"	"API_BILLING_DOCUMENT_SRV.assoc_73708EAAEB07CAF2AD2C13A873F4C1C2"	"FromRole_assoc_73708EAAEB07CAF2AD2C13A873F4C1C2"	"ToRole_assoc_73708EAAEB07CAF2AD2C13A873F4C1C2"
"API_BILLING_DOCUMENT"	"A_BillingDocumentType"	"to_Text"	"API_BILLING_DOCUMENT_SRV.assoc_4CFBA5FAB2A531D8441023280D33B959"	"FromRole_assoc_4CFBA5FAB2A531D8441023280D33B959"	"ToRole_assoc_4CFBA5FAB2A531D8441023280D33B959"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemType"	"to_BillingDocument"	"API_BILLING_DOCUMENT_SRV.assoc_9352BC647D962607B845776023DBC0EA"	"FromRole_assoc_9352BC647D962607B845776023DBC0EA"	"ToRole_assoc_9352BC647D962607B845776023DBC0EA"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemType"	"to_ItemText"	"API_BILLING_DOCUMENT_SRV.assoc_FA80A41A210F7ABB838AB436CF3EB4DC"	"FromRole_assoc_FA80A41A210F7ABB838AB436CF3EB4DC"	"ToRole_assoc_FA80A41A210F7ABB838AB436CF3EB4DC"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemType"	"to_Partner"	"API_BILLING_DOCUMENT_SRV.assoc_450B9C1DC24E46CFFB6B64C66385B17C"	"FromRole_assoc_450B9C1DC24E46CFFB6B64C66385B17C"	"ToRole_assoc_450B9C1DC24E46CFFB6B64C66385B17C"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemType"	"to_PricingElement"	"API_BILLING_DOCUMENT_SRV.assoc_47B39CE7FE2576A1224D37D5A7B63487"	"FromRole_assoc_47B39CE7FE2576A1224D37D5A7B63487"	"ToRole_assoc_47B39CE7FE2576A1224D37D5A7B63487"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemPartnerType"	"to_BillingDocument"	"API_BILLING_DOCUMENT_SRV.assoc_6A9D517128245B38C775F9670BF1C610"	"FromRole_assoc_6A9D517128245B38C775F9670BF1C610"	"ToRole_assoc_6A9D517128245B38C775F9670BF1C610"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemPartnerType"	"to_BillingDocumentItem"	"API_BILLING_DOCUMENT_SRV.assoc_624185724F0255C5DFCFC94191287FE3"	"FromRole_assoc_624185724F0255C5DFCFC94191287FE3"	"ToRole_assoc_624185724F0255C5DFCFC94191287FE3"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemPrcgElmntType"	"to_BillingDocument"	"API_BILLING_DOCUMENT_SRV.assoc_37F1ED3FCAC4BE59F9181B82F778E793"	"FromRole_assoc_37F1ED3FCAC4BE59F9181B82F778E793"	"ToRole_assoc_37F1ED3FCAC4BE59F9181B82F778E793"
"API_BILLING_DOCUMENT"	"A_BillingDocumentItemPrcgElmntType"	"to_BillingDocumentItem"	"API_BILLING_DOCUMENT_SRV.assoc_3AE5A52FB6B16026836352E2F7E76A15"	"FromRole_assoc_3AE5A52FB6B16026836352E2F7E76A15"	"ToRole_assoc_3AE5A52FB6B16026836352E2F7E76A15"
"API_BILLING_DOCUMENT"	"A_BillingDocumentPartnerType"	"to_BillingDocument"	"API_BILLING_DOCUMENT_SRV.assoc_5D57658E526D1FF553BDECFEA1D9FFE8"	"FromRole_assoc_5D57658E526D1FF553BDECFEA1D9FFE8"	"ToRole_assoc_5D57658E526D1FF553BDECFEA1D9FFE8"
"API_BILLING_DOCUMENT"	"A_BillingDocumentPrcgElmntType"	"to_BillingDocument"	"API_BILLING_DOCUMENT_SRV.assoc_857338406F9DA2FD6BADA12C966496AB"	"FromRole_assoc_857338406F9DA2FD6BADA12C966496AB"	"ToRole_assoc_857338406F9DA2FD6BADA12C966496AB"
"API_MATERIAL_DOCUMENT"	"A_MaterialDocumentHeaderType"	"to_MaterialDocumentItem"	"API_MATERIAL_DOCUMENT_SRV.assoc_9241EE3C64DC6370D0509D8AA8DA2241"	"FromRole_assoc_9241EE3C64DC6370D0509D8AA8DA2241"	"ToRole_assoc_9241EE3C64DC6370D0509D8AA8DA2241"
"API_MATERIAL_DOCUMENT"	"A_MaterialDocumentItemType"	"to_MaterialDocumentHeader"	"API_MATERIAL_DOCUMENT_SRV.assoc_9241EE3C64DC6370D0509D8AA8DA2241"	"ToRole_assoc_9241EE3C64DC6370D0509D8AA8DA2241"	"FromRole_assoc_9241EE3C64DC6370D0509D8AA8DA2241"
"API_MATERIAL_DOCUMENT"	"A_MaterialDocumentItemType"	"to_SerialNumbers"	"API_MATERIAL_DOCUMENT_SRV.assoc_1108E069A43298B681C7DD076FEE7F8E"	"FromRole_assoc_1108E069A43298B681C7DD076FEE7F8E"	"ToRole_assoc_1108E069A43298B681C7DD076FEE7F8E"
"API_MATERIAL_STOCK"	"A_MaterialStockType"	"to_MatlStkInAcctMod"	"API_MATERIAL_STOCK_SRV.assoc_54E8EB962C48178E40453A31481776EE"	"FromRole_assoc_54E8EB962C48178E40453A31481776EE"	"ToRole_assoc_54E8EB962C48178E40453A31481776EE"
"API_MATERIAL_STOCK"	"A_MatlStkInAcctModType"	"to_MaterialStock"	"API_MATERIAL_STOCK_SRV.assoc_F6B85CF893D9D7998DAB6F6B58E318D6"	"FromRole_assoc_F6B85CF893D9D7998DAB6F6B58E318D6"	"ToRole_assoc_F6B85CF893D9D7998DAB6F6B58E318D6"
"API_OUTBOUND_DELIVERY_V2"	"A_HandlingUnitHeaderDeliveryType"	"to_HandlingUnitItemDelivery"	"API_OUTBOUND_DELIVERY_SRV.assoc_HuHeader_HuItem"	"FromRole_assoc_HuHeader_HuItem"	"ToRole_assoc_HuHeader_HuItem"
