"Service"	"Namespace"	"EntityType"	"Property"	"EdmType"	"Nullable"	"MaxLength"	"Precision"	"Scale"	"IsKey"	"Creatable"	"Updatable"	"Sortable"	"Filterable"	"RequiredInFilter"	"Unit"	"Label"	"Heading"
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"BillingDocument"	"Edm.String"	"false"	"10"	""	""	"X"	""	""	""	""	""	""	"Billing Document"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"SDDocumentCategory"	"Edm.String"	""	"4"	""	""	""	""	""	""	""	""	""	"SD Document Category"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"BillingDocumentCategory"	"Edm.String"	""	"1"	""	""	""	""	""	""	""	""	""	"Billing Category"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"BillingDocumentType"	"Edm.String"	""	"4"	""	""	""	""	""	""	""	""	""	"Billing Type"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"CreationDate"	"Edm.DateTime"	""	""	"0"	""	""	""	""	""	""	""	""	"Created On"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"CreationTime"	"Edm.Time"	""	""	"0"	""	""	""	""	""	""	""	""	"Time"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"LastChangeDate"	"Edm.DateTime"	""	""	"0"	""	""	""	""	""	""	""	""	"Changed On"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"LastChangeDateTime"	"Edm.DateTimeOffset"	""	""	"7"	""	""	""	""	""	""	""	""	"Time Stamp"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"LogicalSystem"	"Edm.String"	""	"10"	""	""	""	""	""	""	""	""	""	"Logical system"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"SalesOrganization"	"Edm.String"	""	"4"	""	""	""	""	""	""	""	""	""	"Sales Organization"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"DistributionChannel"	"Edm.String"	""	"2"	""	""	""	""	""	""	""	""	""	"Distribution Channel"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"Division"	"Edm.String"	""	"2"	""	""	""	""	""	""	""	""	""	"Division"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"BillingDocumentDate"	"Edm.DateTime"	""	""	"0"	""	""	""	""	""	""	""	""	"Billing Date"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"BillingDocumentIsCancelled"	"Edm.Boolean"	""	""	""	""	""	""	""	""	""	""	""	"Canceled"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"CancelledBillingDocument"	"Edm.String"	""	"10"	""	""	""	""	""	""	""	""	""	"Canceled Bill. Doc."	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"ForeignTrade"	"Edm.String"	""	"10"	""	""	""	""	""	""	""	""	""	"Foreign Trade DataNr"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"IsExportDelivery"	"Edm.String"	""	"1"	""	""	""	""	""	""	""	""	""	"Export"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"BillingDocCombinationCriteria"	"Edm.String"	""	"40"	""	""	""	""	""	""	""	""	""	"Combination Criteria"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"ManualInvoiceMaintIsRelevant"	"Edm.Boolean"	""	""	""	""	""	""	""	""	""	""	""	"Man. Invoice Maint."	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"IsIntrastatReportingRelevant"	"Edm.Boolean"	""	""	""	""	""	""	""	""	""	""	""	"Intrastat Relevance"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"IsIntrastatReportingExcluded"	"Edm.Boolean"	""	""	""	""	""	""	""	""	""	""	""	"Intrastat Exclusion"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"TotalNetAmount"	"Edm.Decimal"	""	""	"16"	"3"	""	""	""	""	""	""	"TransactionCurrency"	"Net Value"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"TransactionCurrency"	"Edm.String"	""	"5"	""	""	""	""	""	""	""	""	""	"Document Currency"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"StatisticsCurrency"	"Edm.String"	""	"5"	""	""	""	""	""	""	""	""	""	"Statistics Currency"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"TaxAmount"	"Edm.Decimal"	""	""	"14"	"3"	""	""	""	""	""	""	"TransactionCurrency"	"Tax Amount"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"TotalGrossAmount"	"Edm.Decimal"	""	""	"17"	"3"	""	""	""	""	""	""	"TransactionCurrency"	""	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"CustomerPriceGroup"	"Edm.String"	""	"2"	""	""	""	""	""	""	""	""	""	"Customer Price Group"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"PriceListType"	"Edm.String"	""	"2"	""	""	""	""	""	""	""	""	""	"Price List Type"	""
"API_BILLING_DOCUMENT"	"API_BILLING_DOCUMENT_SRV"	"A_BillingDocumentType"	"TaxDepartureCountry"	"Edm.String"	""	"3"	""	""	""	""	""	""	""	""	""	"Tax Departure C/R"	""
