NAME	VALUE
~status_code	200
~status_reason	OK
sap-processing-info	ODataBEP=,crp=,RAL=,st=,MedCacheHub=Table,MedCacheBEP=Table,codeployed=X,softstate=
cache-control	no-store, no-cache
content-length	20
content-type	application/json; charset=utf-8
dataserviceversion	2.0
sap-metadata-last-modified	Tue, 18 Aug 2026 05:47:45 GMT
sap-original-protocol	h2
sap-perf-fesrec	1198131.000000
sap-server	true
set-cookie	[REDACTED]
set-cookie	[REDACTED]
~server_protocol	HTTP/1.1
~grid_title	HTTP Response - Processing Time = 1207  ms
