TITLE|Activate and Maintain Services
SBAR|
ALV|rows=782
HDR|TYPE	SERVICE_NAME	SERVICE_VERSION	DESCRIPTION	EXTERNAL_SERVICE_NAME	NAMESPACE	OAUTH_SCOPE_EXISTS	SOFT_STATE_STATUS	PROCESS_MODE_TEXT	
ROW0|BEP	ZABAP_REPOSITORY_SRV	1	SAPUI5 ABAP Repository services via oData	ABAP_REPOSITORY_SRV	/UI5/	 	Not Supported	Routing-based	
ROW1|BEP	ADT	1	Gateway service for ADT	ADT_SRV		X	Not Supported	Routing-based	
ROW2|BEP	ZANA_QUERY_DESIGNER	1	Analytical Query Designer	ANA_QUERY_DESIGNER		 	Not Supported	Routing-based	
ROW3|BEP	ZAPI_BILLING_DOCUMENT_SRV	1	Remote API for SD Billing Document	API_BILLING_DOCUMENT_SRV		 	Not Supported	Routing-based	
ROW4|BEP	ZAPI_BUSINESS_PARTNER	1	Remote API for Business Partner	API_BUSINESS_PARTNER		 	Not Supported	Routing-based	
ROW5|BEP	ZAPI_CV_ATTACHMENT_SRV	1	Gateway: API for Attachment Service	API_CV_ATTACHMENT_SRV		 	Not Supported	Routing-based	
ROW6|BEP	ZAPI_DISPUTECASEASCOORDTR	1	Dispute Case As Coordinator	API_DISPUTECASEASCOORDTR		 		Co-deployed only	
ROW7|BEP	ZAPI_DISPUTECASEASPERSNRESP	1	Dispute Case As Person Responsible	API_DISPUTECASEASPERSNRESP		 		Co-deployed only	
ROW8|BEP	ZAPI_DISPUTECASEASPROCESSOR	1	Dispute Case As Processor	API_DISPUTECASEASPROCESSOR		 		Co-deployed only	
ROW9|BEP	ZAPI_EQUIPMENT	1	Equipment Web API	API_EQUIPMENT		 	Not Supported	Routing-based	
ROW10|BEP	ZAPI_MAINTNOTIFICATION	1	Maintenance Notification	API_MAINTNOTIFICATION		 		Co-deployed only	
ROW11|BEP	ZAPI_MAINTORDERCONFIRMATION	1	Service Binding for Maint. Order Confirmation	API_MAINTORDERCONFIRMATION		 		Co-deployed only	
ROW12|BEP	ZAPI_MATERIAL_DOCUMENT_SRV	1	OData Service for Material Document API	API_MATERIAL_DOCUMENT_SRV		 	Not Supported	Routing-based	
ROW13|BEP	ZAPI_MATERIAL_STOCK_SRV	1	OData Service for Material Stock API	API_MATERIAL_STOCK_SRV		 	Not Supported	Routing-based	
ROW14|BEP	ZAPI_OUTBOUND_DELIVERY_SRV	2	Remote API for Outbound Delivery	API_OUTBOUND_DELIVERY_SRV		 	Not Supported	Routing-based	
ROW15|BEP	ZAPI_PROC_ORDER_CONFIRMATION_2_SRV	1	API for Process Order Confirmation	API_PROC_ORDER_CONFIRMATION_2_SRV		 	Not Supported	Co-deployed only	
ROW16|BEP	ZAPI_PROCESS_ORDER_2_SRV	1	API for Process Orders	API_PROCESS_ORDER_2_SRV		 	Not Supported	Co-deployed only	
ROW17|BEP	ZAPI_PURCHASEORDER_PROCESS_SRV	1	OData service for PO API	API_PURCHASEORDER_PROCESS_SRV		 	Not Supported	Routing-based	
ROW18|BEP	ZAPI_PURCHASEREQ_PROCESS_SRV	1	OData Service for Purchase Requisition API	API_PURCHASEREQ_PROCESS_SRV		 	Not Supported	Routing-based	
ROW19|BEP	ZAPI_SALES_ORDER_SRV	1	Sales Order (A2X)	API_SALES_ORDER_SRV		 	Not Supported	Routing-based	
ROW20|BEP	ZAPI_SUPPLIERINVOICE_PROCESS_SRV	1	OData service SI API	API_SUPPLIERINVOICE_PROCESS_SRV		 	Not Supported	Routing-based	
ROW21|BEP	ZAPJ_JOB_MANAGEMENT_SRV	1	Application job management	APJ_JOB_MANAGEMENT_SRV		 		Co-deployed only	
ROW22|BEP	ZAPL_LOG_MANAGEMENT_SRV	1	Application Log management	APL_LOG_MANAGEMENT_SRV		 		Routing-based	
ROW23|BEP	ZAPS_BUM_EMPLOYEE_SRV	1	APS Employee Business User	APS_BUM_EMPLOYEE_SRV		 	Not Supported	Routing-based	
ROW24|BEP	ZAPS_CHANGE_DOCUMENTS_SRV	1	OData Service for Change Documents	APS_CHANGE_DOCUMENTS_SRV		 	Not Supported	Routing-based	
ROW25|BEP	ZAPS_CUSTOM_FIELD_MAINTENANCE_SRV	1	Custom Field Maintenance	APS_CUSTOM_FIELD_MAINTENANCE_SRV		 	Not Supported	Routing-based	
ROW26|BEP	ZAPS_DATA_SOURCE_EXTENSION_SRV	1	Custom Fields: Data Source Extension	APS_DATA_SOURCE_EXTENSION_SRV		 	Not Supported	Routing-based	
ROW27|BEP	ZAPS_EXT_ATO_PK_AI_SRV	1	Adaptation Transport Organizer, Assign Item	APS_EXT_ATO_PK_AI_SRV		 	Not Supported	Routing-based	
ROW28|BEP	ZAPS_EXT_ATO_PK_CFG_SRV	1	Transport Configuration of Packages	APS_EXT_ATO_PK_CFG_SRV		 	Not Supported	Routing-based	
ROW29|BEP	ZAPS_EXT_ATO_SETTINGS_SRV	1	Extensibility Settings	APS_EXT_ATO_SETTINGS_SRV		 	Not Supported	Routing-based	
ROW30|BEP	ZAPS_OM_EMAIL_TMPL_SRV	1	Email Template	APS_OM_EMAIL_TMPL_SRV		 	Not Supported	Routing-based	
ROW31|BEP	ZAPS_OM_FORM_TMPL_SRV	1	Form Template	APS_OM_FORM_TMPL_SRV		 	Not Supported	Routing-based	
ROW32|BEP	ZBANKACCOUNTOPENINGREQWL	1	Approve Bank Account Applications	BANKACCOUNTOPENINGREQWL		 		Co-deployed only	
ROW33|BEP	ZBANKCASHBALANCE_MONITOR_O2	1	Bank Account Balance Monitor	BANKCASHBALANCE_MONITOR_O2		 	Not Supported	Routing-based	
ROW34|BEP	ZBANKCASHBALANCE_O2	1	Bank Cash Balance	BANKCASHBALANCE_O2		 	Not Supported	Routing-based	
ROW35|BEP	/IWBEP/ZTEA_BATCH_AT_ONCE	1	Test implementation for batch@once option	BATCH_AT_ONCE_TEST	/IWBEP/	 	Inactive	Routing-based	
ROW36|BEP	ZBSANLY_APF_RUNTIME_SRV	1	Analysis Path Framework Runtime	BSANLY_APF_RUNTIME_SRV		 	Not Supported	Routing-based	
ROW37|BEP	ZC_ACTUALCASHFLOWANALYTICS_CDS	1	Actual Cash Flow in 90 days	C_ACTUALCASHFLOWANALYTICS_CDS		 	Inactive	Routing-based	
ROW38|BEP	ZC_APDAYSPAYOUTST_CDS	1	Days Payable Outstanding Smart Business App	C_APDAYSPAYOUTST_CDS		 	Inactive	Co-deployed only	
ROW39|BEP	ZC_APDAYSPYBLOUTSTDGDIRECT_CDS	1	Overview page DPO Dir	C_APDAYSPYBLOUTSTDGDIRECT_CDS		 	Inactive	Co-deployed only	
ROW40|BEP	ZC_APDAYSPYBLOUTSTDGINDRCT_CDS	1	Overview Page: DPO Ind	C_APDAYSPYBLOUTSTDGINDRCT_CDS		 	Inactive	Co-deployed only	
ROW41|BEP	ZC_APFLEXIBLEAGING_CDS	1	Aging Analysis Smart Business App	C_APFLEXIBLEAGING_CDS		 	Inactive	Co-deployed only	
ROW42|BEP	ZC_APINVOICEPROCESSINGTIME_CDS	1	Accounts Payable. Invoice Processing Time	C_APINVOICEPROCESSINGTIME_CDS		 	Inactive	Co-deployed only	
ROW43|BEP	ZC_APINVOICEPROCGANALYSIS_CDS	1	Invoice Processing Analysis	C_APINVOICEPROCGANALYSIS_CDS		 	Inactive	Co-deployed only	
ROW44|BEP	ZC_APOVRD_CDS	1	Accounts Payable. Overdue Payables	C_APOVRD_CDS		 	Inactive	Co-deployed only	
ROW45|BEP	ZC_ARAGINGANALYSISOVW_CDS	1	Card AR Aging Analysis	C_ARAGINGANALYSISOVW_CDS		 		Co-deployed only	
ROW46|BEP	ZC_ARBREAKDOWNOVW_CDS	1	Card AR Breakdown	C_ARBREAKDOWNOVW_CDS		 		Co-deployed only	
ROW47|BEP	ZC_ARCASHCOLLTRACKEROVW_CDS	1	AR Cash Collection Tracker Card	C_ARCASHCOLLTRACKEROVW_CDS		 		Co-deployed only	
ROW48|BEP	ZC_ARDAYSSALESOUTSTDGOVW_CDS	1	Card Days Sales Outstanding	C_ARDAYSSALESOUTSTDGOVW_CDS		 		Co-deployed only	
ROW49|BEP	ZC_ARDEBTORSOVW_CDS	1	Card Top 10 Debtors	C_ARDEBTORSOVW_CDS		 		Co-deployed only	
ROW50|BEP	ZC_BALANCECARRYFWDSTATUS_CDS	1	Status of Balance Carry Forward	C_BALANCECARRYFWDSTATUS_CDS		 		Co-deployed only	
ROW51|BEP	ZC_BANKRISKANALYTICS_CDS	1	Bank Risk Analytics	C_BANKRISKANALYTICS_CDS		 		Co-deployed only	
ROW52|BEP	ZC_BANKSTATEMENTMONITOR_CDS	1	Monitor Bank Statement	C_BANKSTATEMENTMONITOR_CDS		 		Co-deployed only	
ROW53|BEP	ZC_BKACCTTWOPERSONWL_SRV	1	Bank Acct Two Person Worklist	C_BKACCTTWOPERSONWL_SRV		 	Not Supported	Routing-based	
ROW54|BEP	ZC_BR_VERIFYCTE_CDS	1	Brazil Verify CT-e	C_BR_VERIFYCTE_CDS		 		Co-deployed only	
ROW55|BEP	ZC_BR_VERIFYNFS_CDS	1	Brazil Verify Service Nota Fiscal	C_BR_VERIFYNFS_CDS		 		Co-deployed only	
ROW56|BEP	ZC_BR_VERIFYNOTAFISCAL_CDS	1	Brazil Verify Nota Fiscal	C_BR_VERIFYNOTAFISCAL_CDS		 		Co-deployed only	
ROW57|BEP	ZC_CASHPOSITIONANALYTICS_CDS	1	Cash Position Analytics	C_CASHPOSITIONANALYTICS_CDS		 		Co-deployed only	
ROW58|BEP	ZC_CASHPOSITIONANLYSWTHFLW_CDS	1	Cash Position Analysis	C_CASHPOSITIONANLYSWTHFLW_CDS		 	Not Supported	Co-deployed only	
ROW59|BEP	ZC_CHGMGMTREQUESTOVERVIEWQ_CDS	1	Change Request Overview - Query	C_CHGMGMTREQUESTOVERVIEWQ_CDS		 	Inactive	Routing-based	
ROW60|BEP	ZC_COLLECTIONPROGRESSQ_CDS	1	Collection Progress Query	C_COLLECTIONPROGRESSQ_CDS		 		Co-deployed only	
ROW61|BEP	ZC_COLLMGMTRBLSITMFORKEYDTE_CDS	1	AR for Key Date - Collections Management	C_COLLMGMTRBLSITMFORKEYDTE_CDS		 		Co-deployed only	
ROW62|BEP	ZC_CONTRACT_FS_SRV	1	Purchase Contract	C_CONTRACT_FS_SRV		 	Not Supported	Routing-based	
ROW63|BEP	ZC_CONTRACTITEM_FS_SRV	1	Purchase Contract Item	C_CONTRACTITEM_FS_SRV		 		Co-deployed only	
ROW64|BEP	ZC_CONVERTPLANNEDORDER_CDS	1	Convert Planned Orders	C_CONVERTPLANNEDORDER_CDS		 		Co-deployed only	
ROW65|BEP	ZC_CREDITLIMITUTILIZATIONQ_CDS	1	Credit Limit Utilization with Threshold	C_CREDITLIMITUTILIZATIONQ_CDS		 	Inactive	Co-deployed only	
ROW66|BEP	ZC_CUSTOMER_OP_SRV	1	Customer Object Pages	C_CUSTOMER_OP_SRV		 		Co-deployed only	
ROW67|BEP	ZC_CUSTOMERRETURNRATEQRY_CDS	1	Customer Return Rate - Query	C_CUSTOMERRETURNRATEQRY_CDS		 		Co-deployed only	
ROW68|BEP	ZC_DAMAGEANALYSISQUERY_CDS	1	Damage Analysis Query	C_DAMAGEANALYSISQUERY_CDS		 	Inactive	Routing-based	
ROW69|BEP	ZC_DAYSPAYABLESOUTSTANDING_CDS	1	Days Payable Outstanding - Indirect	C_DAYSPAYABLESOUTSTANDING_CDS		 	Inactive	Co-deployed only	
ROW70|BEP	ZC_DAYSSALESOUTSTANDING_CDS	1	Days Sales Outstanding Smart Business App	C_DAYSSALESOUTSTANDING_CDS		 	Inactive	Co-deployed only	
ROW71|BEP	ZC_DEFICITCASHPOOLANALYTICS_CDS	1	Deficit Cash Pool	C_DEFICITCASHPOOLANALYTICS_CDS		 		Co-deployed only	
ROW72|BEP	ZC_DELIVITMPERFANLYTSQRY_CDS	1	Query for Dlv Perf - Shipped as Planned	C_DELIVITMPERFANLYTSQRY_CDS		 		Co-deployed only	
ROW73|BEP	ZC_ENGRECORDHEADER_CDS	1	Addtional	C_ENGRECORDHEADER_CDS		 		Co-deployed only	
ROW74|BEP	ZC_FINVALIDATIONRESULT_CDS	1	Financial Validation Result	C_FINVALIDATIONRESULT_CDS		 	Not Supported	Routing-based	
ROW75|BEP	ZC_GLDAYSPYBLOUTSTDGINDRCT_CDS	1	GL DPO Indirect Ovw	C_GLDAYSPYBLOUTSTDGINDRCT_CDS		 	Inactive	Co-deployed only	
