TABLE|KONH
TITLE|Data Browser: Table KONH Select Entries         10
SBAR|Selection restricted to 10 hits
CELLS|305
R0|[0]Table:	[15]	[16]KONH	
R1|[0]Displayed Fields:	[18]	[19]22	[21]	[22]of	[25]	[26]26	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]KNUMH	[14]	[20]ERNAM	[25]	[33]ERDAT	[38]	[44]KVEWE	[50]KOTABNR	[58]KAPPL	[64]KSCHL	[69]	[71]DATAB	[76]	[82]DATBI	[87]	[93]KOSRT	[98]	[104]KZUST	[110]KNUMA_PI	[118]	[123]KNUMA_AG	[131]	[136]KNUMA_SQ	[144]	[149]KNUM	
R5|[1]	[3]200	[6]	[9]0000000002	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWAS	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R6|[1]	[3]200	[6]	[9]0000000003	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWAS	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R7|[1]	[3]200	[6]	[9]0000000006	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWAS	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R8|[1]	[3]200	[6]	[9]0000000007	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWVS	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R9|[1]	[3]200	[6]	[9]0000000008	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWVS	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R10|[1]	[3]200	[6]	[9]0000000009	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWVS	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R11|[1]	[3]200	[6]	[9]0000000010	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWRK	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R12|[1]	[3]200	[6]	[9]0000000011	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWRK	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R13|[1]	[3]200	[6]	[9]0000000012	[20]SAP	[33]23.06.1992	[44]A	[45]	[50]003	[53]	[58]TX	[60]	[64]MWRK	[68]	[71]00.00.0000	[82]00.00.0000	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
R14|[1]	[3]200	[6]	[9]0000000013	[20]SAP	[33]24.06.1992	[44]A	[45]	[50]002	[53]	[58]V	[60]	[64]MWST	[68]	[71]01.01.1990	[82]31.12.1999	[93]	[104]	[107]	[110]	[120]	[123]	[133]	[136]	[146]	[149]	
