TABLE|T001L
TITLE|Data Browser: Table T001L Select Entries         30
SBAR|Selection restricted to 30 hits
CELLS|1094
R0|[0]Table:	[15]	[16]T001L	
R1|[0]Displayed Fields:	[18]	[19]22	[21]	[22]of	[25]	[26]23	[29]	[36]Fixed Columns:	[65]	[66] 3	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]WERKS	[14]	[16]LGORT	[22]LGOBE	[27]	[39]SPART	[45]XLONG	[51]XBUFX	[57]DISKZ	[63]XBLGO	[69]XRESS	[75]XHUPF	[81]PARLG	[87]VKORG	[92]	[94]VTWEG	[100]VSTEL	[105]	[107]LIFNR	[112]	[120]KUNNR	[125]	[133]MESBS	[138]	
R5|[1]	[3]200	[6]	[9]0001	[13]	[16]0001	[20]	[22]Lager 0001	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R6|[1]	[3]200	[6]	[9]0001	[13]	[16]0088	[20]	[22]Lager 0088 (WM)	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R7|[1]	[3]200	[6]	[9]0001	[13]	[16]0100	[20]	[22]Lagerort WM&HU	[39]01	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]X	[76]	[81]0001	[85]	[87]0001	[91]	[94]01	[96]	[100]0001	[104]	[107]	[117]	[120]	[130]	[133]	
R8|[1]	[3]200	[6]	[9]0001	[13]	[16]0200	[20]	[22]SCM-EWM	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
R9|[1]	[3]200	[6]	[9]0003	[13]	[16]0001	[20]	[22]Lager 0001	[39]	[41]	[45]	[46]	[51]	[52]	[57]	[58]	[63]	[64]	[69]	[70]	[75]	[76]	[81]	[85]	[87]	[91]	[94]	[96]	[100]	[104]	[107]	[117]	[120]	[130]	[133]	
