TABLE|T001W
TITLE|Data Browser: Table T001W Select Entries         40
SBAR|Selection restricted to 40 hits
CELLS|631
R0|[0]Table:	[15]	[16]T001W	
R1|[0]Displayed Fields:	[18]	[19]20	[21]	[22]of	[25]	[26]68	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]WERKS	[15]NAME1	[20]	[46]BWKEY	[51]	[53]KUNNR	[58]	[66]LIFNR	[71]	[79]FABKL	[85]NAME2	[90]	[116]STRAS	[121]	[147]PFACH	[152]	
R5|[1]	[3]200	[6]	[9]0001	[13]	[15]Werk 0001	[46]0001	[50]	[53]	[63]	[66]	[76]	[79]01	[81]	[85]Walldorf	[116]Berliner Alle 103	[147]	
R6|[1]	[3]200	[6]	[9]0003	[13]	[15]Plant 0003 (is-ht-sw)	[46]0003	[50]	[53]	[63]	[66]	[76]	[79]01	[81]	[85]	[116]123 main street	[147]	
R7|[1]	[3]200	[6]	[9]0005	[13]	[15]Plant	[46]0005	[50]	[53]0000000001	[63]	[66]	[76]	[79]	[81]	[85]0005	[116]343 asxas	[147]	
R8|[1]	[3]200	[6]	[9]0006	[13]	[15]Plant	[46]0006	[50]	[53]0000000008	[63]	[66]	[76]	[79]	[81]	[85]test 2	[116]343 asxas	[147]	
R9|[1]	[3]200	[6]	[9]0008	[13]	[15]Test plant_2	[46]0008	[50]	[53]0000000012	[63]	[66]	[76]	[79]	[81]	[85]Plant	[116]343 HSR	[147]	
R10|[1]	[3]200	[6]	[9]0020	[13]	[15]Test 0020	[46]0020	[50]	[53]	[63]	[66]	[76]	[79]	[81]	[85]test 2	[116]343 asxas	[147]	
R11|[1]	[3]200	[6]	[9]0021	[13]	[15]Test 0021	[46]0021	[50]	[53]0000000010	[63]	[66]	[76]	[79]	[81]	[85]test 2	[116]343 asxas	[147]	
R12|[1]	[3]200	[6]	[9]0080	[13]	[15]Plant Test(0080)	[46]0080	[50]	[53]P0080	[63]	[66]	[76]	[79]	[81]	[85]Test Plant 80	[116]	[147]	
R13|[1]	[3]200	[6]	[9]0090	[13]	[15]Plant Test(0090)	[46]0090	[50]	[53]P0090	[63]	[66]	[76]	[79]	[81]	[85]	[116]	[147]	
R14|[1]	[3]200	[6]	[9]0110	[13]	[15]Plant Test(0110)	[46]0110	[50]	[53]P0110	[63]	[66]	[76]	[79]	[81]	[85]	[116]	[147]	
R15|[1]	[3]200	[6]	[9]0150	[13]	[15]test_Plant_0150	[46]0150	[50]	[53]P0150	[63]	[66]	[76]	[79]	[81]	[85]	[116]	[147]	
R16|[1]	[3]200	[6]	[9]0180	[13]	[15]Test_Plant_0180	[46]0180	[50]	[53]P0180	[63]	[66]	[76]	[79]	[81]	[85]Test name 2	[116]	[147]	
R17|[1]	[3]200	[6]	[9]0220	[13]	[15]UP BIJNOR (T) SC TR	[46]0220	[50]	[53]P0220	[63]	[66]	[76]	[79]	[81]	[85]Test 2	[116]A�IFTKARPUR DARGO,NEAR PEELI C	[147]	
R18|[1]	[3]200	[6]	[9]0230	[13]	[15]UP BIJNOR (T) SC TR	[46]0230	[50]	[53]P0230	[63]	[66]	[76]	[79]	[81]	[85]Test 2	[116]A�IFTKARPUR DARGO,NEAR PEELI C	[147]	
R19|[1]	[3]200	[6]	[9]0240	[13]	[15]UP BIJNOR (T) SC TR	[46]0240	[50]	[53]P0240	[63]	[66]	[76]	[79]	[81]	[85]Test 2	[116]A�IFTKARPUR DARGO,NEAR PEELI C	[147]	
R20|[1]	[3]200	[6]	[9]0250	[13]	[15]RAJASTHAN WIND POWER 35.7 MW	[46]0250	[50]	[53]P0250	[63]	[66]	[76]	[79]	[81]	[85]1021200501	[116]	[147]	
R21|[1]	[3]200	[6]	[9]0291	[13]	[15]Test_0291_plant	[46]	[50]	[53]	[63]	[66]	[76]	[79]IN	[81]	[85]test_plant_2	[116]546 street1	[147]1223	
