TABLE|T077K
TITLE|Data Browser: Table T077K Select Entries         18
SBAR|
CELLS|148
R0|[0]Table:	[15]	[16]T077K	
R1|[0]Displayed Fields:	[18]	[19] 9	[21]	[22]of	[25]	[26]25	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	
R3|[1]	[3]MANDT	[9]KTOKK	[15]FAUSA	[20]	[56]FAUSF	[61]	
R5|[1]	[3]200	[6]	[9]0001	[13]	[15]+.+........--+................+.........	[56].............-.	
R6|[1]	[3]200	[6]	[9]0002	[13]	[15]+.+........--.................+.........	[56].............-.	
R7|[1]	[3]200	[6]	[9]0003	[13]	[15]+.+........--.................+.........	[56].............-.	
R8|[1]	[3]200	[6]	[9]0004	[13]	[15]+.+........--.................+.........	[56].............-.	
R9|[1]	[3]200	[6]	[9]0005	[13]	[15]+.+........--.................+.........	[56].............-.	
R10|[1]	[3]200	[6]	[9]0006	[13]	[15]+.+........--.................+.........	[56].............-.	
R11|[1]	[3]200	[6]	[9]0007	[13]	[15]+.+........--.................+.........	[56].............-.	
R12|[1]	[3]200	[6]	[9]0012	[13]	[15]+....+.....--+...............-+----.....	[56].............-.	
R13|[1]	[3]200	[6]	[9]0100	[13]	[15]...........--...........................	[56].............-.	
R14|[1]	[3]200	[6]	[9]CPD	[13]	[15]+-+.---------+----------------.-----.---	[56]+-..-.....--.--	
R15|[1]	[3]200	[6]	[9]CPDL	[13]	[15]+-+.---------.----------------.-----.---	[56]+-..-.....--.--	
R16|[1]	[3]200	[6]	[9]DARL	[13]	[15]+.+..+.....--+...-.---.------.+....-----	[56]+..+.........--	
R17|[1]	[3]200	[6]	[9]HOL	[13]	[15]+.+..+...-----..-----------.--.------.--	[56]---------------	
R18|[1]	[3]200	[6]	[9]KRED	[13]	[15]+.............................+........-	[56]+............-.	
R19|[1]	[3]200	[6]	[9]LIEF	[13]	[15]+.+..+.....--+................+.........	[56]+............-.	
R20|[1]	[3]200	[6]	[9]MNFR	[13]	[15]+.+........--...----------..--.------.--	[56]---------------	
R21|[1]	[3]200	[6]	[9]REIS	[13]	[15]+.+..+....---+..-------------.+....-----	[56]+..+-......----	
R22|[1]	[3]200	[6]	[9]VERT	[13]	[15]+.+..+....---+..-------------.+....-----	[56]+..+-......----	
