TABLE|T163
TITLE|Data Browser: Table T163 Select Entries         12
SBAR|Selection restricted to 12 hits
CELLS|316
R0|[0]Table:	[15]	[16]T163	
R1|[0]Displayed Fields:	[18]	[19]16	[21]	[22]of	[25]	[26]16	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	
R3|[1]	[3]MANDT	[9]PSTYP	[15]MATNO	[21]KNTZU	[27]BFKNZ	[33]WEPOS	[39]WEPOV	[45]WEUNB	[51]WEUNV	[57]REPOS	[63]REPOV	[69]ST	
R5|[1]	[3]200	[6]	[9]0	[10]	[15]	[16]	[21]	[22]	[27]	[28]	[33]X	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]	[64]	[69]SA	
R6|[1]	[3]200	[6]	[9]1	[10]	[15]-	[16]	[21]+	[22]	[27]-	[28]	[33]	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]X	[64]	[69]SA	
R7|[1]	[3]200	[6]	[9]2	[10]	[15]+	[16]	[21]-	[22]	[27]+	[28]	[33]X	[34]	[39]X	[40]	[45]	[46]	[51]X	[52]	[57]	[58]	[63]X	[64]	[69]SA	
R8|[1]	[3]200	[6]	[9]3	[10]	[15]	[16]	[21]	[22]	[27]	[28]	[33]X	[34]	[39]X	[40]	[45]	[46]	[51]X	[52]	[57]X	[58]	[63]	[64]	[69]SA	
R9|[1]	[3]200	[6]	[9]4	[10]	[15]-	[16]	[21]	[22]	[27]	[28]	[33]X	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]	[64]	[69]SA	
R10|[1]	[3]200	[6]	[9]5	[10]	[15]	[16]	[21]+	[22]	[27]	[28]	[33]	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]	[64]	[69]SA	
R11|[1]	[3]200	[6]	[9]6	[10]	[15]-	[16]	[21]-	[22]	[27]-	[28]	[33]	[34]	[39]X	[40]	[45]	[46]	[51]	[52]	[57]	[58]	[63]X	[64]	[69]	
R12|[1]	[3]200	[6]	[9]7	[10]	[15]+	[16]	[21]	[22]	[27]	[28]	[33]X	[34]	[39]X	[40]	[45]	[46]	[51]	[52]	[57]	[58]	[63]X	[64]	[69]SA	
R13|[1]	[3]200	[6]	[9]8	[10]	[15]-	[16]	[21]	[22]	[27]	[28]	[33]X	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]	[64]	[69]SA	
R14|[1]	[3]200	[6]	[9]9	[10]	[15]-	[16]	[21]+	[22]	[27]	[28]	[33]X	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]X	[64]	[69]SA	
R15|[1]	[3]200	[6]	[9]A	[10]	[15]	[16]	[21]	[22]	[27]	[28]	[33]X	[34]	[39]	[40]	[45]	[46]	[51]	[52]	[57]X	[58]	[63]	[64]	[69]SA	
R16|[1]	[3]200	[6]	[9]C	[10]	[15]+	[16]	[21]-	[22]	[27]	[28]	[33]X	[34]	[39]X	[40]	[45]	[46]	[51]X	[52]	[57]	[58]	[63]	[64]	[69]SA	
