TABLE|TVFK
TITLE|Data Browser: Table TVFK Select Entries         60
SBAR|Selection restricted to 60 hits
CELLS|1339
R0|[0]Table:	[15]	[16]TVFK	
R1|[0]Displayed Fields:	[18]	[19]33	[21]	[22]of	[25]	[26]87	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]FKART	[15]KOPGR	[21]NUMKI	[27]NUMKE	[33]INCPO	[38]	[40]KUNN0	[46]UEVOR	[52]UMFNG	[57]	[73]RFBFK	[79]TRVOG	[85]TXN08	[90]	[94]VBTYP	[100]ERNAM	[105]	[113]PARGK	[119]PARGP	[125]KALSMC	[131]	[134]FKARTS	[141]TXTGR	[147]KAPPL	
R5|[1]	[3]200	[6]	[9]B1	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]A	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R6|[1]	[3]200	[6]	[9]B1E	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]A	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R7|[1]	[3]200	[6]	[9]B2	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]B	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R8|[1]	[3]200	[6]	[9]B2E	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]B	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R9|[1]	[3]200	[6]	[9]B3	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]C	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R10|[1]	[3]200	[6]	[9]B3E	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]C	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R11|[1]	[3]200	[6]	[9]B4	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]D	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R12|[1]	[3]200	[6]	[9]BIND	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]03	[143]	[147]V3	[149]	
R13|[1]	[3]200	[6]	[9]BINP	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]03	[143]	[147]V3	[149]	
R14|[1]	[3]200	[6]	[9]BK1	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]A	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R15|[1]	[3]200	[6]	[9]BK3	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]C	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]	[143]	[147]V3	[149]	
R16|[1]	[3]200	[6]	[9]BM1	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]A	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]P	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]	[143]	[147]V3	[149]	
R17|[1]	[3]200	[6]	[9]BM3	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]C	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]P	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]	[143]	[147]V3	[149]	
R18|[1]	[3]200	[6]	[9]BV	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]	[143]	[147]	[149]	
R19|[1]	[3]200	[6]	[9]CFB3	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]C	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]03	[143]	[147]V3	[149]	
R20|[1]	[3]200	[6]	[9]CFG2	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]O	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S2	[138]	[141]03	[143]	[147]V3	[149]	
R21|[1]	[3]200	[6]	[9]CHFK	[13]	[15]	[19]	[21]CH	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]	[138]	[141]03	[143]	[147]V3	[149]	
R22|[1]	[3]200	[6]	[9]CHFX	[13]	[15]	[19]	[21]CH	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]	[138]	[141]03	[143]	[147]V3	[149]	
R23|[1]	[3]200	[6]	[9]F1	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]03	[143]	[147]V3	[149]	
R24|[1]	[3]200	[6]	[9]F2	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]S1	[138]	[141]03	[143]	[147]V3	[149]	
R25|[1]	[3]200	[6]	[9]F5	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000001	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]8	[80]	[85]	[94]U	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]	[131]	[134]	[138]	[141]03	[143]	[147]V3	[149]	
R26|[1]	[3]200	[6]	[9]F8	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]8	[80]	[85]	[94]U	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]	[131]	[134]	[138]	[141]03	[143]	[147]V3	[149]	
R27|[1]	[3]200	[6]	[9]FADP	[13]	[15]	[19]	[21]19	[23]	[27]	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]FAS	[138]	[141]	[143]	[147]V3	[149]	
R28|[1]	[3]200	[6]	[9]FAS	[13]	[15]	[19]	[21]19	[23]	[27]	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]N	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]	[138]	[141]	[143]	[147]V3	[149]	
R29|[1]	[3]200	[6]	[9]FAZ	[13]	[15]	[19]	[21]19	[23]	[27]	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]FAS	[138]	[141]	[143]	[147]V3	[149]	
R30|[1]	[3]200	[6]	[9]FAZS	[13]	[15]	[19]	[21]19	[23]	[27]	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]7	[80]	[85]	[94]M	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]KOFI00	[131]	[134]FAS	[138]	[141]03	[143]	[147]V3	[149]	
R31|[1]	[3]200	[6]	[9]FL	[13]	[15]	[19]	[21]19	[23]	[27]20	[29]	[33]000000	[40]	[41]	[46]	[50]	[52]	[73]	[74]	[79]8	[80]	[85]	[94]U	[98]	[100]SAP	[113]FK	[117]	[119]FP	[123]	[125]	[131]	[134]	[138]	[141]03	[143]	[147]V3	[149]	
