TABLE|TVLK
TITLE|Data Browser: Table TVLK Select Entries         73
SBAR|
CELLS|1411
R0|[0]Table:	[15]	[16]TVLK	
R1|[0]Displayed Fields:	[18]	[19]34	[21]	[22]of	[25]	[26]83	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]LFART	[15]KOPGR	[20]	[22]UEVOR	[28]TXN08	[33]	[37]UMFNG	[42]	[58]NUMKI	[64]NUMKE	[70]NUMKIRULE	[80]INCPO	[85]	[87]PARGR	[92]	[94]AUFER	[100]DAART	[105]	[107]POBED	[113]REGGR	[119]REGLG	[125]WAAUS	[131]ROUTF	[137]VBTYP	[143]TXTGR	[149]ERNA	
R5|[1]	[3]200	[6]	[9]BV	[13]	[15]LF	[19]	[22]UER1	[26]	[28]	[37]UALL	[58]17	[60]	[64]18	[66]	[70]	[71]	[80]000005	[87]LF	[91]	[94]X	[95]	[100]DL	[104]	[107]202	[110]	[113]	[116]	[119]MALA	[123]	[125]	[126]	[131]B	[132]	[137]J	[141]	[143]02	[145]	[149]SAP	
R6|[1]	[3]200	[6]	[9]CEM	[13]	[15]LF	[19]	[22]	[26]	[28]	[37]UALL	[58]17	[60]	[64]18	[66]	[70]	[71]	[80]000010	[87]LF	[91]	[94]	[95]	[100]DL	[104]	[107]202	[110]	[113]	[116]	[119]	[123]	[125]	[126]	[131]	[132]	[137]J	[141]	[143]	[145]	[149]	
R7|[1]	[3]200	[6]	[9]DIG	[13]	[15]	[19]	[22]UELA	[26]	[28]	[37]UALL	[58]41	[60]	[64]42	[66]	[70]	[71]	[80]000010	[87]EL	[91]	[94]O	[95]	[100]DZL	[104]	[107]000	[110]	[113]	[116]	[119]MALA	[123]	[125]	[126]	[131]B	[132]	[137]7	[141]	[143]02	[145]	[149]SAP	
R8|[1]	[3]200	[6]	[9]DOG	[13]	[15]LF	[19]	[22]UER1	[26]	[28]	[37]UALL	[58]17	[60]	[64]18	[66]	[70]	[71]	[80]000010	[87]LF	[91]	[94]O	[95]	[100]DZL	[104]	[107]000	[110]	[113]	[116]	[119]MALA	[123]	[125]	[126]	[131]B	[132]	[137]J	[141]	[143]02	[145]	[149]SAP	
R9|[1]	[3]200	[6]	[9]DTR	[13]	[15]LF	[19]	[22]UER1	[26]	[28]	[37]UALL	[58]17	[60]	[64]18	[66]	[70]	[71]	[80]000010	[87]LO	[91]	[94]H	[95]	[100]DHU	[104]	[107]000	[110]	[113]	[116]	[119]MALA	[123]	[125]	[126]	[131]	[132]	[137]J	[141]	[143]02	[145]	[149]SAP	
R10|[1]	[3]200	[6]	[9]ECR	[13]	[15]LF	[19]	[22]	[26]	[28]	[37]UALL	[58]17	[60]	[64]18	[66]	[70]	[71]	[80]000010	[87]EL	[91]	[94]B	[95]	[100]DLRE	[104]	[107]282	[110]	[113]	[116]	[119]MSRE	[123]	[125]	[126]	[131]	[132]	[137]7	[141]	[143]	[145]	[149]	
