TABLE|TVRO
TITLE|Data Browser: Table TVRO Select Entries         25
SBAR|Selection restricted to 25 hits
CELLS|747
R0|[0]Table:	[15]	[16]TVRO	
R1|[0]Displayed Fields:	[18]	[19]18	[21]	[22]of	[25]	[26]23	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]ROUTE	[14]	[16]TRAZT	[21]	[23]TRAZTD	[29]	[34]TDVZT	[39]	[41]TDVZTD	[47]	[52]TDVZND	[58]	[63]SPFBK	[69]EXPVZ	[75]TDIIX	[81]SPZST	[86]	[94]FAHZTD	[100]	[105]DISTZ	[110]	[123]MEDST	[129]VSART	[135]VSAVL	[141]VSANL	[147]TDLNR	[152]	
R5|[1]	[3]200	[6]	[9]	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R6|[1]	[3]200	[6]	[9]000001	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R7|[1]	[3]200	[6]	[9]000002	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R8|[1]	[3]200	[6]	[9]000003	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R9|[1]	[3]200	[6]	[9]000004	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R10|[1]	[3]200	[6]	[9]000012	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R11|[1]	[3]200	[6]	[9]000021	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R12|[1]	[3]200	[6]	[9]000034	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R13|[1]	[3]200	[6]	[9]000043	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]        0	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]        0	[105]           0.000	[123]	[126]	[129]	[131]	[135]	[137]	[141]	[143]	[147]	
R14|[1]	[3]200	[6]	[9]E84916	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]4,000,000	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]2,400,000	[105]         619.000	[123]KM	[126]	[129]01	[131]	[135]	[137]	[141]	[143]	[147]	
R15|[1]	[3]200	[6]	[9]E84917	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]   40,000	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]   11,200	[105]         630.000	[123]KM	[126]	[129]01	[131]	[135]	[137]	[141]	[143]	[147]	
R16|[1]	[3]200	[6]	[9]E84918	[16] 0.00	[23]        0	[34] 0.00	[41]        0	[52]   40,000	[63]	[65]	[69]	[70]	[75]X	[76]	[81]	[91]	[94]    3,600	[105]         615.000	[123]KM	[126]	[129]01	[131]	[135]	[137]	[141]	[143]	[147]	
