TABLE|TVTK
TITLE|Data Browser: Table TVTK Select Entries          7
SBAR|
CELLS|352
R0|[0]Table:	[15]	[16]TVTK	
R1|[0]Displayed Fields:	[18]	[19]32	[21]	[22]of	[25]	[26]70	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]SHTYP	[15]VBTYP	[21]NUMKI	[27]NUMKE	[33]KOPGR	[39]STERM	[45]ABFER	[51]ABWST	[57]BFART	[63]VSART	[69]VSAVL	[75]VSANL	[81]LAUFK	[87]KALSM	[92]	[96]KAPPL	[102]TXTGR	[108]PARGR	[113]	[115]SVTRA	[120]	[130]PROFIDNETZ	[141]DTMEG	[147]DTMEV	
R5|[1]	[3]200	[6]	[9]0001	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]1	[40]	[45]1	[46]	[51]1	[52]	[57]1	[58]	[63]01	[65]	[69]	[71]	[75]	[77]	[81]4	[82]	[87]V7STRA	[93]	[96]V7	[98]	[102]03	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]KG	[144]	[147]CDM	[150]	
R6|[1]	[3]200	[6]	[9]0002	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]1	[40]	[45]1	[46]	[51]3	[52]	[57]3	[58]	[63]01	[65]	[69]	[71]	[75]	[77]	[81]4	[82]	[87]V70001	[93]	[96]V7	[98]	[102]01	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]KG	[144]	[147]CDM	[150]	
R7|[1]	[3]200	[6]	[9]0003	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]1	[40]	[45]1	[46]	[51]4	[52]	[57]3	[58]	[63]01	[65]	[69]	[71]	[75]	[77]	[81]4	[82]	[87]V70001	[93]	[96]V7	[98]	[102]01	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]KG	[144]	[147]CDM	[150]	
R8|[1]	[3]200	[6]	[9]0004	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]1	[40]	[45]1	[46]	[51]3	[52]	[57]3	[58]	[63]01	[65]	[69]	[71]	[75]	[77]	[81]1	[82]	[87]V70001	[93]	[96]V7	[98]	[102]02	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]KG	[144]	[147]CDM	[150]	
R9|[1]	[3]200	[6]	[9]0005	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]	[40]	[45]1	[46]	[51]3	[52]	[57]3	[58]	[63]04	[65]	[69]	[71]	[75]	[77]	[81]2	[82]	[87]V70001	[93]	[96]V7	[98]	[102]02	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]TO	[144]	[147]M3	[150]	
R10|[1]	[3]200	[6]	[9]0006	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]1	[40]	[45]1	[46]	[51]3	[52]	[57]3	[58]	[63]01	[65]	[69]	[71]	[75]	[77]	[81]3	[82]	[87]V70001	[93]	[96]V7	[98]	[102]02	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]KG	[144]	[147]CDM	[150]	
R11|[1]	[3]200	[6]	[9]0010	[13]	[15]8	[19]	[21]01	[23]	[27]	[29]	[33]T	[37]	[39]1	[40]	[45]2	[46]	[51]1	[52]	[57]1	[58]	[63]01	[65]	[69]	[71]	[75]	[77]	[81]4	[82]	[87]V70001	[93]	[96]V7	[98]	[102]01	[104]	[108]TR	[112]	[115]	[130]SD01	[137]	[141]KG	[144]	[147]CDM	[150]	
