SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=VFKK
TABLE|DD03L
TITLE|Data Browser: Table DD03L Select Entries         18
SBAR|
ALV|rows=18|cols=31
HDR|TABNAME	FIELDNAME	AS4LOCAL	AS4VERS	POSITION	KEYFLAG	MANDATORY	ROLLNAME	CHECKTABLE	ADMINFIELD	INTTYPE	INTLEN	REFTABLE	PRECFIELD	REFFIELD	CONROUT	NOTNULL	DATATYPE	LENG	DECIMALS	DOMNAME	SHLPORIGIN	TABLETYPE	DEPTH	COMPTYPE	REFTYPE	LANGUFLAG	DBPOSITION	ANONYMOUS	OUTPUTSTYLE	SRS_ID	
ROW0|VFKK	AEDAT	A	0000	0017			AEDAT		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW1|VFKK	AENAM	A	0000	0016			AENAM		0	C	000024						CHAR	000012	000000	USNAM			00	E			0000		00	0	
ROW2|VFKK	AEZET	A	0000	0018			AEZET		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW3|VFKK	BUDAT	A	0000	0007			BUDAT_K		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW4|VFKK	ERDAT	A	0000	0014			ERDAT		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW5|VFKK	ERNAM	A	0000	0013			ERNAM		0	C	000024						CHAR	000012	000000	USNAM			00	E			0000		00	0	
ROW6|VFKK	ERZET	A	0000	0015			ERZET		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW7|VFKK	EXTI1	A	0000	0008			EXTI1_K		0	C	000040						CHAR	000020	000000	TEXT20			00	E			0000		00	0	
ROW8|VFKK	EXTI2	A	0000	0009			EXTI2_K		0	C	000040						CHAR	000020	000000	TEXT20			00	E			0000		00	0	
ROW9|VFKK	FKART	A	0000	0004			FKART_T	TVTF	0	C	000008						CHAR	000004	000000	FKART_T	P		00	E			0000		00	0	
ROW10|VFKK	FKNUM	A	0000	0002	X		FKNUM		0	C	000020					X	CHAR	000010	000000	FKNUM	D		00	E			0000		00	0	
ROW11|VFKK	MANDT	A	0000	0001	X		MANDT	T000	0	C	000006					X	CLNT	000003	000000	MANDT	P		00	E			0000		00	0	
ROW12|VFKK	PRSDT	A	0000	0006			PRSDT_K		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW13|VFKK	STABR	A	0000	0012			STABR_K		0	C	000002						CHAR	000001	000000	STABR_K	F		00	E			0000		00	0	
ROW14|VFKK	STBER	A	0000	0010			STBER_K		0	C	000002						CHAR	000001	000000	STBER_K	F		00	E			0000		00	0	
ROW15|VFKK	STERM	A	0000	0005			STERM		0	C	000002						CHAR	000001	000000	STERM	F		00	E			0000		00	0	
ROW16|VFKK	STFRE	A	0000	0011			STFRE_K		0	C	000002						CHAR	000001	000000	STFRE_K	F		00	E			0000		00	0	
ROW17|VFKK	VBTYP	A	0000	0003			VBTYPL		0	C	000008						CHAR	000004	000000	VBTYPL	F		00	E			0000		00	0	
