SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=VFKP
TABLE|DD03L
TITLE|Data Browser: Table DD03L Select Entries         60
SBAR|Selection restricted to 60 hits
ALV|rows=60|cols=31
HDR|TABNAME	FIELDNAME	AS4LOCAL	AS4VERS	POSITION	KEYFLAG	MANDATORY	ROLLNAME	CHECKTABLE	ADMINFIELD	INTTYPE	INTLEN	REFTABLE	PRECFIELD	REFFIELD	CONROUT	NOTNULL	DATATYPE	LENG	DECIMALS	DOMNAME	SHLPORIGIN	TABLETYPE	DEPTH	COMPTYPE	REFTYPE	LANGUFLAG	DBPOSITION	ANONYMOUS	OUTPUTSTYLE	SRS_ID	
ROW0|VFKP	AEDAT	A	0000	0048			AEDAT		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW1|VFKP	AENAM	A	0000	0047			AENAM		0	C	000024						CHAR	000012	000000	USNAM			00	E			0000		00	0	
ROW2|VFKP	AEZET	A	0000	0049			AEZET		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW3|VFKP	BKLAS	A	0000	0034			BWKLL	T025	0	C	000008						CHAR	000004	000000	BKLAS	P		00	E			0000		00	0	
ROW4|VFKP	BUDAT	A	0000	0011			BUDAT_P		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW5|VFKP	BUKRS	A	0000	0005			BUKRS	T001	0	C	000008						CHAR	000004	000000	BUKRS	P		00	E			0000		00	0	
ROW6|VFKP	DTABR	A	0000	0042			DTABR_T		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW7|VFKP	DTBER	A	0000	0036			DTBER		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW8|VFKP	DTFRE	A	0000	0039			DTFRE		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW9|VFKP	EBELN	A	0000	0021			EBELN		0	C	000020						CHAR	000010	000000	EBELN	D		00	E			0000		00	0	
ROW10|VFKP	EBELP	A	0000	0022			EBELP		0	N	000010						NUMC	000005	000000	EBELP			00	E			0000		00	0	
ROW11|VFKP	EKGRP	A	0000	0020			BKGRP	T024	0	C	000006						CHAR	000003	000000	EKGRP	P		00	E			0000		00	0	
ROW12|VFKP	EKORG	A	0000	0019			EKORG	T024E	0	C	000008						CHAR	000004	000000	EKORG	P		00	E			0000		00	0	
ROW13|VFKP	ERDAT	A	0000	0045			ERDAT		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW14|VFKP	ERNAM	A	0000	0044			ERNAM		0	C	000024						CHAR	000012	000000	USNAM			00	E			0000		00	0	
ROW15|VFKP	ERZET	A	0000	0046			ERZET		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW16|VFKP	EXTI1	A	0000	0012			EXTI1_P		0	C	000040						CHAR	000020	000000	TEXT20			00	E			0000		00	0	
ROW17|VFKP	EXTI2	A	0000	0013			EXTI2_P		0	C	000040						CHAR	000020	000000	TEXT20			00	E			0000		00	0	
ROW18|VFKP	FKNUM	A	0000	0002	X		FKNUM	VFKK	0	C	000020					X	CHAR	000010	000000	FKNUM	P		00	E			0000		00	0	
ROW19|VFKP	FKPOS	A	0000	0003	X		FKPOS		0	N	000012					X	NUMC	000006	000000	FKPOS			00	E			0000		00	0	
ROW20|VFKP	FKPTY	A	0000	0004			FKPTY	TVFT	0	C	000008						CHAR	000004	000000	FKPTY	P		00	E			0000		00	0	
ROW21|VFKP	FKSTO	A	0000	0058			FKSTO_P		0	C	000002						CHAR	000001	000000	XFELD	F		00	E			0000		00	0	
ROW22|VFKP	KALSM	A	0000	0016			KALSMASD	T683	0	C	000012						CHAR	000006	000000	KALSM	P		00	E			0000		00	0	
ROW23|VFKP	KNTTP	A	0000	0033			KNTTP	T163K	0	C	000002						CHAR	000001	000000	KNTTP	P		00	E			0000		00	0	
ROW24|VFKP	KNUMV	A	0000	0017			KNUMV		0	C	000020						CHAR	000010	000000	KNUMV			00	E			0000		00	0	
ROW25|VFKP	KOSTY	A	0000	0028			KOSTY		0	C	000002						CHAR	000001	000000	KOSTY	F		00	E			0000		00	0	
ROW26|VFKP	KSTAU	A	0000	0051			KSTAU		0	C	000002						CHAR	000001	000000	KSTAU	F		00	E			0000		00	0	
ROW27|VFKP	KURST	A	0000	0027			KURST	TCURV	0	C	000008						CHAR	000004	000000	KURST	P		00	E			0000		00	0	
ROW28|VFKP	KZWI1	A	0000	0060			KZWI1		1	P	000007	VFKP		WAERS			CURR	000013	000002	WERTV7			00	E			0000		00	0	
ROW29|VFKP	KZWI2	A	0000	0061			KZWI2		1	P	000007	VFKP		WAERS			CURR	000013	000002	WERTV7			00	E			0000		00	0	
ROW30|VFKP	KZWI3	A	0000	0062			KZWI3		1	P	000007	VFKP		WAERS			CURR	000013	000002	WERTV7			00	E			0000		00	0	
ROW31|VFKP	KZWI4	A	0000	0063			KZWI4		1	P	000007	VFKP		WAERS			CURR	000013	000002	WERTV7			00	E			0000		00	0	
ROW32|VFKP	LBLNI	A	0000	0023			LBLNI		0	C	000020						CHAR	000010	000000	LBLNI	D		00	E			0000		00	0	
ROW33|VFKP	LOGSYS	A	0000	0050			LOGSYS	TBDLS	0	C	000020						CHAR	000010	000000	LOGSYS	P		00	E			0000		00	0	
ROW34|VFKP	MANDT	A	0000	0001	X		MANDT	T000	0	C	000006					X	CLNT	000003	000000	MANDT	P		00	E			0000		00	0	
ROW35|VFKP	MWSKZ	A	0000	0009			MWSKZ	T007A	0	C	000004						CHAR	000002	000000	MWSKZ	P		00	E			0000		00	0	
ROW36|VFKP	NETWR	A	0000	0006			NETWR_P		0	P	000008	VFKP		WAERS			CURR	000015	000002	WERTV8			00	E			0000		00	0	
ROW37|VFKP	PARVW	A	0000	0024			PARVW	TPAR	0	C	000004						CHAR	000002	000000	PARVW	P		00	E			0000		00	0	
ROW38|VFKP	POSTX	A	0000	0032			POSTX		0	C	000080						CHAR	000040	000000	TEXT40			00	E			0000		00	0	
ROW39|VFKP	PRSDT	A	0000	0010			PRSDT_P		0	D	000016						DATS	000008	000000	DATUM	T		00	E			0000		00	0	
ROW40|VFKP	REBEL	A	0000	0030			REBEL		0	C	000020						CHAR	000010	000000	REBEL			00	E			0000		00	0	
ROW41|VFKP	RECHS	A	0000	0026			RECHST	LFA1	0	C	000020						CHAR	000010	000000	LIFNR	P		00	E			0000		00	0	
ROW42|VFKP	REFTY	A	0000	0029			VBTYPL		0	C	000008						CHAR	000004	000000	VBTYPL	F		00	E			0000		00	0	
ROW43|VFKP	REPOS	A	0000	0031			REPOS_P		0	N	000012						NUMC	000006	000000	REPOS_P			00	E			0000		00	0	
ROW44|VFKP	SLAND1_A	A	0000	0056			SLAND1_A	T005	0	C	000006						CHAR	000003	000000	LAND1	P		00	E			0000		00	0	
ROW45|VFKP	SLAND1_Z	A	0000	0057			SLAND1_Z	T005	0	C	000006						CHAR	000003	000000	LAND1	P		00	E			0000		00	0	
ROW46|VFKP	STABR	A	0000	0041			STABR_P		0	C	000002						CHAR	000001	000000	STABR_P	F		00	E			0000		00	0	
ROW47|VFKP	STBER	A	0000	0035			STBER_P		0	C	000002						CHAR	000001	000000	STBER_P	F		00	E			0000		00	0	
ROW48|VFKP	STFRE	A	0000	0038			STFRE_P		0	C	000002						CHAR	000001	000000	STFRE_P	F		00	E			0000		00	0	
ROW49|VFKP	TDLNR	A	0000	0025			TDLNR_P	LFA1	0	C	000020						CHAR	000010	000000	LIFNR	P		00	E			0000		00	0	
ROW50|VFKP	TPLST	A	0000	0014			TPLST	TTDS	0	C	000008						CHAR	000004	000000	TPLST	P		00	E			0000		00	0	
ROW51|VFKP	TRFZNA	A	0000	0052			TRFZNA	TVFTZ	0	C	000020						CHAR	000010	000000	TRFZN	P		00	E			0000		00	0	
ROW52|VFKP	TRFZNZ	A	0000	0053			TRFZNZ	TVFTZ	0	C	000020						CHAR	000010	000000	TRFZN	P		00	E			0000		00	0	
ROW53|VFKP	TXJCD	A	0000	0054			TXJCD		0	C	000030						CHAR	000015	000000	TXJCD			00	E			0000		00	0	
ROW54|VFKP	UZABR	A	0000	0043			UZABR		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW55|VFKP	UZBER	A	0000	0037			UZBER		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW56|VFKP	UZFRE	A	0000	0040			UZFRE		0	T	000012						TIMS	000006	000000	UZEIT	T		00	E			0000		00	0	
ROW57|VFKP	VSART	A	0000	0015			VERSARTS	T173	0	C	000004						CHAR	000002	000000	VERSART	P		00	E			0000		00	0	
ROW58|VFKP	WAERS	A	0000	0008			WAERS_P	TCURC	0	C	000010						CUKY	000005	000000	WAERS	P		00	E			0000		00	0	
ROW59|VFKP	WERKS	A	0000	0018			WERKS_D	T001W	0	C	000008						CHAR	000004	000000	WERKS	P		00	E			0000		00	0	
