SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=
SELFIELD|txtI2-LOW=9004953084
TABLE|VBFA
TITLE|Data Browser: Table VBFA Select Entries         14
SBAR|
ALV|rows=14|cols=43
HDR|MANDT	RUUID	VBELV	POSNV	VBELN	POSNN	VBTYP_N	RFMNG	MEINS	RFWRT	WAERS	VBTYP_V	PLMIN	TAQUI	ERDAT	ERZET	MATNR	BWART	BDART	PLART	LGNUM	AEDAT	FKTYP	BRGEW	GEWEI	VOLUM	VOLEH	FPLNR	FPLTR	RFMNG_FLO	RFMNG_FLT	VRKME	ABGES	SOBKZ	SONUM	KZBEF	NTGEW	LOGSYS	WBSTA	CMETH	MJAHR	STUFE	_DATAAGING	
ROW0|700	B9A19E8BC7681FD1A6C1362CD9C3F1CE	9004953084	900001	1900109233	000010	N	5	TO	21,610.17	INR	J	-		17.08.2026	12:33:05							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW1|700	B9A19E8BC7681FD1A6C13F9C9E9C736D	9004953084	900001	1108024766	000010	M	5	TO	21,610.17	INR	J	+		17.08.2026	12:35:12							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW2|700	B9A19E8BC7681FE1A6BFC96236C02EAA	9004953084	000000	1100605471	000001	8					J			17.08.2026	11:11:28													000000	0.0000000000000000E+00	0.0000000000000000E+00		0.0000000000000000E+00								0000	00		
ROW3|700	B9A19E8BC7681FE1A6BFC982A4A76EAA	9004953084	000010	2293084000	111131	R	0	TO	0.00	INR	J	+		17.08.2026	11:11:31	000000000015000209												000000	0.0000000000000000E+00	0.0000000000000000E+00	TO	0.0000000000000000E+00								2026	00		
ROW4|700	B9A19E8BC7681FE1A6BFC982A4A78EAA	9004953084	900001	4918168265	000001	R	5	TO	15,314.65	INR	J	+		17.08.2026	11:11:31	000000000015000209	601											000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								2026	00		
ROW5|700	B9A19E8BC7681FE1A6BFC9AFEF798EAD	9004953084	900001	1108024764	000010	M	5	TO	21,610.17	INR	J	+		17.08.2026	11:11:32							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW6|700	B9A19E8BC7681FE1A6C224DD2E6C0DA7	9004953084	900001	1900109234	000010	N	5	TO	21,610.17	INR	J	-		17.08.2026	13:26:28							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW7|700	B9A19E8BC7681FE1A6C226645E98CE08	9004953084	900001	1108024767	000010	M	5	TO	21,610.17	INR	J	+		17.08.2026	13:26:48							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW8|700	B9A19E8BC7681FE1A6C24ADDC2B9CF9B	9004953084	900001	1900109235	000010	N	5	TO	21,610.17	INR	J	-		17.08.2026	13:34:58							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW9|700	B9A19E8BC7681FE1A6C2564A2108105D	9004953084	900001	1108024768	000010	M	5	TO	21,610.17	INR	J	+		17.08.2026	13:37:31							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW10|700	B9A19E8BC7681FE1A6C2659B910F10DD	9004953084	900001	1900109236	000010	N	5	TO	21,610.17	INR	J	-		17.08.2026	13:40:57							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW11|700	B9A19E8BC7681FE1A6C26713EAF01104	9004953084	900001	1108024769	000010	M	5	TO	21,610.17	INR	J	+		17.08.2026	13:41:16							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW12|700	B9A19E8BC7681FE1A6C392642B231FE8	9004953084	900001	1900109237	000010	N	5	TO	21,610.17	INR	J	-		17.08.2026	14:48:14							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
ROW13|700	B9A19E8BC7681FE1A6C3938F11AE1FFD	9004953084	900001	1108024771	000010	M	5	TO	21,610.17	INR	J	+		17.08.2026	14:48:31							L						000000	5.0000000000000000E+00	5.0000000000000000E+00	TO	0.0000000000000000E+00								0000	00		
