SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=
SELFIELD|ctxtI11-LOW=A
TABLE|VFKK
TITLE|Data Browser: Table VFKK Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=18
HDR|MANDT	FKNUM	VBTYP	FKART	STERM	PRSDT	BUDAT	EXTI1	EXTI2	STBER	STFRE	STABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	
ROW0|700	1300105310	a	Z003		13.03.2024				C	A	A	SCLADMIN	13.03.2024	11:30:36			00:00:00	
ROW1|700	1300105690	a	Z003		13.03.2024				C	A	A	SCLADMIN	13.03.2024	16:05:37			00:00:00	
ROW2|700	1300106021	a	Z003		13.03.2024				C	A	A	SCLADMIN	13.03.2024	17:53:13			00:00:00	
ROW3|700	1300106766	a	Z003		13.03.2024				C	A	A	SCLADMIN	13.03.2024	22:47:02			00:00:00	
ROW4|700	1300107015	a	Z003		13.03.2024				C	A	A	SCLADMIN	13.03.2024	23:13:23			00:00:00	
ROW5|700	1300108586	a	Z003		14.03.2024				C	A	A	SCLADMIN	14.03.2024	15:51:34			00:00:00	
ROW6|700	1300108980	a	Z003		14.03.2024				C	A	A	SCLADMIN	14.03.2024	18:08:48			00:00:00	
ROW7|700	1300111039	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	07:36:28			00:00:00	
ROW8|700	1300111918	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	17:33:14			00:00:00	
ROW9|700	1300111987	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	17:50:51			00:00:00	
ROW10|700	1300112080	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	18:18:20			00:00:00	
ROW11|700	1300112205	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	19:02:43			00:00:00	
ROW12|700	1300112616	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	21:05:33			00:00:00	
ROW13|700	1300112617	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	21:05:34			00:00:00	
ROW14|700	1300112640	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	21:10:13			00:00:00	
ROW15|700	1300112641	a	Z003		15.03.2024				C	A	A	SCLADMIN	15.03.2024	21:10:13			00:00:00	
ROW16|700	1300114331	a	Z003		16.03.2024				C	A	A	SCLADMIN	16.03.2024	13:47:43			00:00:00	
ROW17|700	1300115665	a	Z003		16.03.2024				C	A	A	SCLADMIN	16.03.2024	22:15:36			00:00:00	
ROW18|700	1300115941	a	Z003		16.03.2024				C	A	A	SCLADMIN	16.03.2024	23:11:00			00:00:00	
ROW19|700	1300120419	a	Z003		18.03.2024				C	A	A	SCLADMIN	18.03.2024	18:09:37			00:00:00	
ROW20|700	1300120525	a	Z003		18.03.2024				C	A	A	SCLADMIN	18.03.2024	18:42:50			00:00:00	
ROW21|700	1300129286	a	Z003		21.03.2024				C	A	A	SCLADMIN	21.03.2024	19:10:43			00:00:00	
ROW22|700	1300130359	a	Z003		22.03.2024				C	A	A	SCLADMIN	22.03.2024	00:44:43			00:00:00	
ROW23|700	1300130360	a	Z003		22.03.2024				C	A	A	SCLADMIN	22.03.2024	00:44:43			00:00:00	
ROW24|700	1300144826	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	00:06:51			00:00:00	
ROW25|700	1300145518	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	04:23:34			00:00:00	
ROW26|700	1300145519	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	04:23:34			00:00:00	
ROW27|700	1300146079	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	11:43:43			00:00:00	
ROW28|700	1300146121	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	12:06:07			00:00:00	
ROW29|700	1300148216	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	23:08:14			00:00:00	
ROW30|700	1300148217	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	23:08:14			00:00:00	
ROW31|700	1300148313	a	Z003		29.03.2024				C	A	A	SCLADMIN	29.03.2024	23:46:01			00:00:00	
ROW32|700	1300153950	a	Z003		31.03.2024				C	A	A	SCLADMIN	31.03.2024	11:37:32			00:00:00	
ROW33|700	1300156426	a	Z003		31.03.2024				C	A	A	SCLADMIN	31.03.2024	23:11:37			00:00:00	
ROW34|700	1300156427	a	Z003		31.03.2024				C	A	A	SCLADMIN	31.03.2024	23:11:38			00:00:00	
ROW35|700	1300260070	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	01:30:24			00:00:00	
ROW36|700	1300260071	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	01:30:24			00:00:00	
ROW37|700	1300260805	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	11:18:07			00:00:00	
ROW38|700	1300260922	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	14:10:32			00:00:00	
ROW39|700	1300260923	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	14:10:32			00:00:00	
ROW40|700	1300261930	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	21:12:48			00:00:00	
ROW41|700	1300261931	a	Z003		15.05.2024				C	A	A	SCLADMIN	15.05.2024	21:12:48			00:00:00	
ROW42|700	1300276500	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	12:48:20			00:00:00	
ROW43|700	1300276556	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	13:36:37			00:00:00	
ROW44|700	1300276557	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	13:36:37			00:00:00	
ROW45|700	1300276774	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	15:54:17			00:00:00	
ROW46|700	1300276939	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	16:54:47			00:00:00	
ROW47|700	1300277028	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	17:21:20			00:00:00	
ROW48|700	1300277957	a	Z003		21.05.2024				C	A	A	SCLADMIN	21.05.2024	23:13:00			00:00:00	
ROW49|700	1300289425	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	02:17:18			00:00:00	
ROW50|700	1300289426	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	02:17:18			00:00:00	
ROW51|700	1300290350	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	16:03:07			00:00:00	
ROW52|700	1300290351	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	16:03:07			00:00:00	
ROW53|700	1300291053	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	20:16:00			00:00:00	
ROW54|700	1300291054	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	20:16:00			00:00:00	
ROW55|700	1300291421	a	Z003		26.05.2024				C	A	A	SCLADMIN	26.05.2024	22:43:15			00:00:00	
ROW56|700	1300300100	a	Z003		30.05.2024				C	A	A	SCLADMIN	30.05.2024	01:13:48			00:00:00	
ROW57|700	1300300101	a	Z003		30.05.2024				C	A	A	SCLADMIN	30.05.2024	01:13:48			00:00:00	
ROW58|700	1300301219	a	Z003		30.05.2024				C	A	A	SCLADMIN	30.05.2024	12:41:14			00:00:00	
ROW59|700	1300301563	a	Z003		30.05.2024				C	A	A	SCLADMIN	30.05.2024	15:38:05			00:00:00	
ROW60|700	1300301564	a	Z003		30.05.2024				C	A	A	SCLADMIN	30.05.2024	15:38:05			00:00:00	
ROW61|700	1300325984	a	Z003		08.06.2024				C	A	A	SCLADMIN	08.06.2024	18:23:38			00:00:00	
ROW62|700	1300326188	a	Z003		08.06.2024				C	A	A	SCLADMIN	08.06.2024	19:33:32			00:00:00	
ROW63|700	1300326616	a	Z003		08.06.2024				C	A	A	SCLADMIN	08.06.2024	21:47:43			00:00:00	
ROW64|700	1300326617	a	Z003		08.06.2024				C	A	A	SCLADMIN	08.06.2024	21:47:43			00:00:00	
ROW65|700	1300326922	a	Z003		08.06.2024				C	A	A	SCLADMIN	08.06.2024	23:22:11			00:00:00	
ROW66|700	1300334740	a	Z003		11.06.2024				C	A	A	SCLADMIN	11.06.2024	21:35:16			00:00:00	
ROW67|700	1300334741	a	Z003		11.06.2024				C	A	A	SCLADMIN	11.06.2024	21:35:16			00:00:00	
ROW68|700	1300336082	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	09:34:27			00:00:00	
ROW69|700	1300336083	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	09:34:28			00:00:00	
ROW70|700	1300336241	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	12:35:23			00:00:00	
ROW71|700	1300336384	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	14:35:34			00:00:00	
ROW72|700	1300336385	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	14:35:34			00:00:00	
ROW73|700	1300336762	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	17:08:28			00:00:00	
ROW74|700	1300336763	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	17:08:28			00:00:00	
ROW75|700	1300337343	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	20:26:25			00:00:00	
ROW76|700	1300337344	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	20:26:25			00:00:00	
ROW77|700	1300337392	a	Z003		12.06.2024				C	A	A	SCLADMIN	12.06.2024	20:49:44			00:00:00	
ROW78|700	1300341829	a	Z003		14.06.2024				C	A	A	SCLADMIN	14.06.2024	16:49:16			00:00:00	
ROW79|700	1300341877	a	Z003		14.06.2024				C	A	A	SCLADMIN	14.06.2024	17:10:10			00:00:00	
ROW80|700	1300342964	a	Z003		14.06.2024				C	A	A	SCLADMIN	14.06.2024	23:34:51			00:00:00	
ROW81|700	1300342965	a	Z003		14.06.2024				C	A	A	SCLADMIN	14.06.2024	23:34:51			00:00:00	
ROW82|700	1300800790	a	Z003		09.01.2025				C	A	A	SCLADMIN	09.01.2025	16:23:11			00:00:00	
ROW83|700	1300800951	a	Z003		09.01.2025				C	A	A	SCLADMIN	09.01.2025	16:23:11			00:00:00	
ROW84|700	1300800952	a	Z003		09.01.2025				C	A	A	SCLADMIN	09.01.2025	16:23:11			00:00:00	
ROW85|700	1300801668	a	Z003		09.01.2025				C	A	A	SCLADMIN	09.01.2025	20:31:20			00:00:00	
ROW86|700	1300801669	a	Z003		09.01.2025				C	A	A	SCLADMIN	09.01.2025	20:31:20			00:00:00	
ROW87|700	1300801670	a	Z003		09.01.2025				C	A	A	SCLADMIN	09.01.2025	20:31:20			00:00:00	
ROW88|700	1300802756	a	Z003		10.01.2025				C	A	A	SCLADMIN	10.01.2025	02:03:59			00:00:00	
ROW89|700	1300802757	a	Z003		10.01.2025				C	A	A	SCLADMIN	10.01.2025	02:03:59			00:00:00	
ROW90|700	1300803574	a	Z003		10.01.2025				C	A	A	SCLADMIN	10.01.2025	14:38:26			00:00:00	
ROW91|700	1300803575	a	Z003		10.01.2025				C	A	A	SCLADMIN	10.01.2025	14:38:26			00:00:00	
ROW92|700	1300804684	a	Z003		10.01.2025				C	A	A	SCLADMIN	10.01.2025	21:11:48			00:00:00	
ROW93|700	1300804685	a	Z003		10.01.2025				C	A	A	SCLADMIN	10.01.2025	21:11:48			00:00:00	
ROW94|700	1300837948	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	14:51:19			00:00:00	
ROW95|700	1300837949	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	14:51:19			00:00:00	
ROW96|700	1300838204	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	16:36:08			00:00:00	
ROW97|700	1300838205	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	16:36:08			00:00:00	
ROW98|700	1300838210	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	16:36:42			00:00:00	
ROW99|700	1300838211	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	16:36:42			00:00:00	
ROW100|700	1300838669	a	Z003		24.01.2025				C	A	A	SCLADMIN	24.01.2025	19:14:06			00:00:00	
ROW101|700	1300840826	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	14:39:13			00:00:00	
ROW102|700	1300840827	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	14:39:13			00:00:00	
ROW103|700	1300840888	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	15:11:01			00:00:00	
ROW104|700	1300840889	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	15:11:01			00:00:00	
ROW105|700	1300841654	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	19:51:55			00:00:00	
ROW106|700	1300841655	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	19:51:55			00:00:00	
ROW107|700	1300841735	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	20:13:20			00:00:00	
ROW108|700	1300841880	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	21:09:02			00:00:00	
ROW109|700	1300841931	a	Z003		25.01.2025				C	A	A	SCLADMIN	25.01.2025	21:09:02			00:00:00	
ROW110|700	1300858489	a	Z003		31.01.2025				C	A	A	SCLADMIN	31.01.2025	14:20:51			00:00:00	
ROW111|700	1300858490	a	Z003		31.01.2025				C	A	A	SCLADMIN	31.01.2025	14:20:52			00:00:00	
ROW112|700	1300859906	a	Z003		31.01.2025				C	A	A	SCLADMIN	31.01.2025	21:22:15			00:00:00	
