SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
TABLE|VFKP
TITLE|Data Browser: Table VFKP Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=64
HDR|MANDT	FKNUM	FKPOS	FKPTY	BUKRS	NETWR	MWSBP	WAERS	MWSKZ	PRSDT	BUDAT	EXTI1	EXTI2	TPLST	VSART	KALSM	KNUMV	WERKS	EKORG	EKGRP	EBELN	EBELP	LBLNI	PARVW	TDLNR	RECHS	KURST	KOSTY	REFTY	REBEL	REPOS	POSTX	KNTTP	BKLAS	STBER	DTBER	UZBER	STFRE	DTFRE	UZFRE	STABR	DTABR	UZABR	ERNAM	ERDAT	ERZET	AENAM	AEDAT	AEZET	LOGSYS	KSTAU	TRFZNA	TRFZNZ	TXJCD	BASWR	SLAND1_A	SLAND1_Z	FKSTO	KZWI1	KZWI2	KZWI3	KZWI4	KZWI5	KZWI6	
ROW0|700	1100608871	000001	Z001	1000	7,460.00	0.00	INR		17.08.2026	17.08.2026	1100605471		7683	01	ZSCL02	0039353118	7683	1000	701	6000105831	00001	1003382363	SP	0013000730	0013000730		B	8	1100605471	000001	1100605471BEAWARNTRJ[LP] BAMOR	K	3102	C	17.08.2026	11:11:28	C	17.08.2026	11:11:28	C	17.08.2026	11:11:30	S019423	17.08.2026	11:11:28	S019423	17.08.2026	11:11:29		C				0.00	IN	IN		7,460.00	0.00	7,460.00	0.00	0.00	0.00	
ROW1|700	1100608872	000001	Z001	1000	4,222.36	0.00	INR		17.08.2026	17.08.2026	1100605472		7683	01	ZSCL02	0039353167	7683	1000	701	6000105831	00001	1003382365	SP	0013000730	0013000730		B	8	1100605472	000001	1100605472BEAWARNTRJ[LP] BAMOR	K	3102	C	17.08.2026	17:01:45	C	17.08.2026	17:01:45	C	17.08.2026	17:01:45	S011625	17.08.2026	17:01:45	S011625	17.08.2026	17:01:45		C				0.00	IN	IN		4,222.36	0.00	4,222.36	0.00	0.00	0.00	
ROW2|700	1100608873	000001	Z001	1000	2,984.00	0.00	INR		17.08.2026	17.08.2026	1100605473		7683	01	ZSCL02	0039353178	7683	1000	701	6000105831	00001	1003382366	SP	0013000730	0013000730		B	8	1100605473	000001	1100605473BEAWARNTRJ[LP] BAMOR	K	3102	C	17.08.2026	17:29:13	C	17.08.2026	17:29:14	C	17.08.2026	17:29:14	S011625	17.08.2026	17:29:13	S011625	17.08.2026	17:29:14		C				0.00	IN	IN		2,984.00	0.00	2,984.00	0.00	0.00	0.00	
ROW3|700	1302430351	000001	Z002	1000	1,500.00	0.00	INR		14.08.2026	14.08.2026	1302430241		1022	01	ZSCL01	0039353105	1022	1000	701		00000		SP	0013000730	0013000730		B	8	1302430241	000001	1302430241 UTTAMNAGAR	K	3101	C	14.08.2026	16:21:40	A		00:00:00	A		00:00:00	RVSD01	14.08.2026	16:21:43			00:00:00		C				0.00	IN	IN		1,500.00	0.00	1,500.00	0.00	0.00	0.00	
ROW4|700	1302430352	000001	Z002	1000	196,500.00	0.00	INR		17.08.2026	17.08.2026	1302430242		1042	01	ZSCL01	0039353185	1042	1000	701		00000		SP	0013000730	0013000730		B	8	1302430242	000001	1302430242 CHAPRA	K	3101	C	17.08.2026	18:02:23	A		00:00:00	A		00:00:00	RVSD01	17.08.2026	18:02:24			00:00:00		C				0.00	IN	IN		196,500.00	0.00	196,500.00	0.00	0.00	0.00	
ROW5|700	2100000256	000001	Z007	1000	5,396.40	0.00	INR		01.02.2024	01.02.2024	2100000256		1040	01	ZSCL01	0000005773					00000		SP	0013000913			B	8	2100000256	000001	2100000256 RHIHRLYSIDING	K	3101	C	01.02.2024	12:43:54			00:00:00			00:00:00	SCLADMIN	01.02.2024	12:43:54			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00	
ROW6|700	2100000391	000001	Z007	1000	5,402.40	0.00	INR		01.02.2024	01.02.2024	2100000391		1040	01	ZSCL01	0000007364					00000		SP	0013000913			B	8	2100000391	000001	2100000391 RHIHRLYSIDING	K	3101	C	01.02.2024	15:25:06			00:00:00			00:00:00	SCLADMIN	01.02.2024	15:25:06			00:00:00		C				0.00	IN	IN		5,402.40	0.00	5,402.40	0.00	0.00	0.00	
ROW7|700	2100001447	000001	Z007	1000	5,407.20	0.00	INR		02.02.2024	02.02.2024	2100001457		1040	01	ZSCL01	0000017712					00000		SP	0013000913			B	8	2100001457	000001	2100001457 RHIHRLYSIDING	K	3101	C	02.02.2024	09:12:06			00:00:00			00:00:00	SCLADMIN	02.02.2024	09:12:06			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00	
ROW8|700	2100008624	000001	Z007	1000	5,394.00	0.00	INR		06.02.2024	06.02.2024	2100008642		1040	01	ZSCL01	0000105216					00000		SP	0013000913			B	8	2100008642	000001	2100008642 RHIHRLYSIDING	K	3101	C	06.02.2024	04:49:08			00:00:00			00:00:00	SCLADMIN	06.02.2024	04:49:08			00:00:00		C				0.00	IN	IN		5,394.00	0.00	5,394.00	0.00	0.00	0.00	
ROW9|700	2100023236	000001	Z007	1000	5,407.20	0.00	INR		13.02.2024	13.02.2024	2100023263		1040	01	ZSCL01	0000296451					00000		SP	0013000913			B	8	2100023263	000001	2100023263 RHIHRLYSIDING	K	3101	C	13.02.2024	00:49:24			00:00:00			00:00:00	SCLADMIN	13.02.2024	00:49:24			00:00:00		C				0.00	IN	IN		5,407.20	0.00	5,407.20	0.00	0.00	0.00	
ROW10|700	2100023739	000001	Z007	1000	5,396.40	0.00	INR		13.02.2024	13.02.2024	2100023767		1040	01	ZSCL01	0000299538					00000		SP	0013000913			B	8	2100023767	000001	2100023767 RHIHRLYSIDING	K	3101	C	13.02.2024	07:50:42			00:00:00			00:00:00	SCLADMIN	13.02.2024	07:50:42			00:00:00		C				0.00	IN	IN		5,396.40	0.00	5,396.40	0.00	0.00	0.00	
