SELFIELD|ctxtI1-LOW=ZDACE_CL_STO_PROCESS
TABLE|SEOCOMPO
TITLE|Data Browser: Table SEOCOMPO Select Entries         20
SBAR|
CELLS|207
R0|[0]Table:	[15]	[16]SEOCOMPO	
R1|[0]Displayed Fields:	[18]	[19] 5	[21]	[22]of	[25]	[26] 5	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]CLSNAME	[10]	[36]CMPNAME	[43]	[67]CMPTYPE	[75]MTDTYPE	[83]DESCRIPT	[91]	
R5|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]ADD_MESSAGES	[67]1	[68]	[75]0	[76]	[83]Add Messages	
R6|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]COMMIT_LUW	[67]1	[68]	[75]0	[76]	[83]Commit LUW	
R7|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]CONSTRUCTOR	[67]1	[68]	[75]2	[76]	[83]	
R8|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]DELIVERY_CHANGE	[67]1	[68]	[75]0	[76]	[83]Delivery Change	
R9|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]DELIVERY_PGI	[67]1	[68]	[75]0	[76]	[83]Delivery PGI	
R10|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]GCL_APP_LOG	[67]0	[68]	[75]0	[76]	[83]Application Log Utility	
R11|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MT_MESSAGES	[67]0	[68]	[75]0	[76]	[83]	
R12|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_ACE	[67]0	[68]	[75]0	[76]	[83]Message Class	
R13|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_C	[67]0	[68]	[75]0	[76]	[83]Single-Character Flag	
R14|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_E	[67]0	[68]	[75]0	[76]	[83]Message type: S Success, E Error, W Warning, I Info, A Abort	
R15|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_LOG_HANDLE	[67]0	[68]	[75]0	[76]	[83]	
R16|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_LOG_OBJECT	[67]0	[68]	[75]0	[76]	[83]	
R17|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_LOG_SUBOBJ	[67]0	[68]	[75]0	[76]	[83]	
R18|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]MV_S	[67]0	[68]	[75]0	[76]	[83]Message type: S Success, E Error, W Warning, I Info, A Abort	
R19|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]ROLLBACK_LUW	[67]1	[68]	[75]0	[76]	[83]Rollback LUW	
R20|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]RUN_WEIGHT_IN	[67]1	[68]	[75]0	[76]	[83]Weight In Process	
R21|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]RUN_WEIGHT_OUT	[67]1	[68]	[75]0	[76]	[83]Weight Out Process	
R22|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]SHIP_COST_CRT	[67]1	[68]	[75]0	[76]	[83]Shipment Cost Create	
R23|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]SHIP_DOC_CHG	[67]1	[68]	[75]0	[76]	[83]Shipment Document Change	
R24|[1]	[3]ZDACE_CL_STO_PROCESS	[33]	[36]SHIP_DOC_CRT	[67]1	[68]	[75]0	[76]	[83]Shipment Document Create	
