SELFIELD|ctxtI1-LOW=*DACE*
TABLE|TFDIR
TITLE|Data Browser: Table TFDIR Select Entries         33
SBAR|
CELLS|530
R0|[0]Table:	[15]	[16]TFDIR	
R1|[0]Displayed Fields:	[18]	[19]12	[21]	[22]of	[25]	[26]13	[29]	[36]Fixed Columns:	[65]	[66] 1	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]FUNCNAME	[11]	[34]PNAME	[39]	[75]INCLUDE	[83]FREEDATE	[91]	[94]APPL	[99]MAND	[104]FMODE	[110]HOST	[114]	[119]UTASK	[125]PNAME_MAIN	[135]	
R5|[1]	[3]TABLEFRAME_ZDACEFGCONFIG	[34]SAPLZDACEFGCONFIG	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGCONFIG	
R6|[1]	[3]TABLEFRAME_ZDACEFGGATEENR	[34]SAPLZDACEFGGATEENR	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGGATEENR	
R7|[1]	[3]TABLEFRAME_ZDACEFGGATENOM	[34]SAPLZDACEFGGATENOM	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGGATENOM	
R8|[1]	[3]TABLEFRAME_ZDACEFGSHIP_COST	[34]SAPLZDACEFGSHIP_COST	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGSHIP_COST	
R9|[1]	[3]TABLEFRAME_ZDACEFGWTBNOM	[34]SAPLZDACEFGWTBNOM	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R10|[1]	[3]TABLEFRAME_ZDACEFG_MATTOL	[34]SAPLZDACEFG_MATTOL	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R11|[1]	[3]TABLEFRAME_ZDACEFG_ORD_VEH	[34]SAPLZDACEFG_ORD_VEH	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R12|[1]	[3]TABLEFRAME_ZDACE_FGGATEPASS	[34]SAPLZDACE_FGGATEPASS	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R13|[1]	[3]TABLEFRAME_ZDACE_PACKM	[34]SAPLZDACE_PACKM	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R14|[1]	[3]TABLEFRAME_ZDACE_SHIPM	[34]SAPLZDACE_SHIPM	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R15|[1]	[3]TABLEFRAME_ZDACE_SILO_MST	[34]SAPLZDACE_SILO_MST	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R16|[1]	[3]TABLEFRAME_ZDACE_TOL_EMAIL	[34]SAPLZDACE_TOL_EMAIL	[75]01	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R17|[1]	[3]TABLEPROC_ZDACEFGCONFIG	[34]SAPLZDACEFGCONFIG	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGCONFIG	
R18|[1]	[3]TABLEPROC_ZDACEFGGATEENR	[34]SAPLZDACEFGGATEENR	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGGATEENR	
R19|[1]	[3]TABLEPROC_ZDACEFGGATENOM	[34]SAPLZDACEFGGATENOM	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGGATENOM	
R20|[1]	[3]TABLEPROC_ZDACEFGSHIP_COST	[34]SAPLZDACEFGSHIP_COST	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLZDACEFGSHIP_COST	
R21|[1]	[3]TABLEPROC_ZDACEFGWTBNOM	[34]SAPLZDACEFGWTBNOM	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R22|[1]	[3]TABLEPROC_ZDACEFG_MATTOL	[34]SAPLZDACEFG_MATTOL	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R23|[1]	[3]TABLEPROC_ZDACEFG_ORD_VEH	[34]SAPLZDACEFG_ORD_VEH	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R24|[1]	[3]TABLEPROC_ZDACE_FGGATEPASS	[34]SAPLZDACE_FGGATEPASS	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R25|[1]	[3]TABLEPROC_ZDACE_PACKM	[34]SAPLZDACE_PACKM	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R26|[1]	[3]TABLEPROC_ZDACE_SHIPM	[34]SAPLZDACE_SHIPM	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
R27|[1]	[3]TABLEPROC_ZDACE_SILO_MST	[34]SAPLZDACE_SILO_MST	[75]02	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]	
