SELFIELD|ctxtI1-LOW=SD_SCDS*
TABLE|TFDIR
TITLE|Data Browser: Table TFDIR Select Entries          9
SBAR|
CELLS|178
R0|[0]Table:	[15]	[16]TFDIR	
R1|[0]Displayed Fields:	[18]	[19]12	[21]	[22]of	[25]	[26]13	[29]	[36]Fixed Columns:	[65]	[66] 1	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]FUNCNAME	[11]	[34]PNAME	[39]	[75]INCLUDE	[83]FREEDATE	[91]	[94]APPL	[99]MAND	[104]FMODE	[110]HOST	[114]	[119]UTASK	[125]PNAME_MAIN	[135]	
R5|[1]	[3]SD_SCDS_CHANGE	[34]SAPLV54C	[75]12	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54C	
R6|[1]	[3]SD_SCDS_CHECK_CHANGES	[34]SAPLV54U	[75]05	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54U	
R7|[1]	[3]SD_SCDS_CHECK_COMPLETE	[34]SAPLV54U	[75]08	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54U	
R8|[1]	[3]SD_SCDS_CREATE	[34]SAPLV54C	[75]10	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54C	
R9|[1]	[3]SD_SCDS_HEAD_DETERMINE_STATUS	[34]SAPLV54S	[75]07	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54S	
R10|[1]	[3]SD_SCDS_RELEASE	[34]SAPLV54R	[75]01	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54R	
R11|[1]	[3]SD_SCDS_REVERSE	[34]SAPLV54R	[75]03	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54R	
R12|[1]	[3]SD_SCDS_SAVE	[34]SAPLV54U	[75]03	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54U	
R13|[1]	[3]SD_SCDS_SHIPMENT_UPDATE	[34]SAPLV54U	[75]07	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54U	
