SELFIELD|ctxtI1-LOW=SD_SCD*
TABLE|TFDIR
TITLE|Data Browser: Table TFDIR Select Entries         60
SBAR|Selection restricted to 60 hits
CELLS|530
R0|[0]Table:	[15]	[16]TFDIR	
R1|[0]Displayed Fields:	[18]	[19]12	[21]	[22]of	[25]	[26]13	[29]	[36]Fixed Columns:	[65]	[66] 1	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]FUNCNAME	[11]	[34]PNAME	[39]	[75]INCLUDE	[83]FREEDATE	[91]	[94]APPL	[99]MAND	[104]FMODE	[110]HOST	[114]	[119]UTASK	[125]PNAME_MAIN	[135]	
R5|[1]	[3]SD_SCDS_RELEASE	[34]SAPLV54R	[75]01	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54R	
R6|[1]	[3]SD_SCDS_REVERSE	[34]SAPLV54R	[75]03	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54R	
R7|[1]	[3]SD_SCD_APPL_LOG_DISPLAY	[34]SAPLV54X	[75]02	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54X	
R8|[1]	[3]SD_SCD_AUTH_CHECK_TPLST	[34]SAPLV54C	[75]14	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54C	
R9|[1]	[3]SD_SCD_CHANGE	[34]SAPLV54H	[75]02	[77]	[83]00.00.0000	[94]V	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54H	
R10|[1]	[3]SD_SCD_COST_INFO_ADDR_GET	[34]SAPLV54P	[75]09	[77]	[83]00.00.0000	[94]	[95]	[99]	[102]	[104]	[105]	[110]	[119]	[120]	[125]SAPLV54P	
