TABLE|T001K
TITLE|Data Browser: Table T001K Select Entries         57
SBAR|
CELLS|1441
R0|[0]Table:	[15]	[16]T001K	
R1|[0]Displayed Fields:	[18]	[19]23	[21]	[22]of	[25]	[26]23	[29]	[36]Fixed Columns:	[65]	[66] 2	[69]	[74]List Width	[84]	[85]0250	
R3|[1]	[3]MANDT	[9]BWKEY	[15]BUKRS	[20]	[22]BWMOD	[28]XBKNG	[34]MLBWA	[40]MLBWV	[46]XVKBW	[52]ERKLAERKOM	[63]UPROF	[68]	[70]WBPRO	[75]	[77]MLAST	[83]MLASV	[89]BDIFP	[94]	[96]XLBPD	[102]XEWRX	[108]X2FDO	[114]PRSFR	[120]MLCCS	[126]XEFRE	[132]EFREJ	[138]/FMP/PRSFR	[149]/FMP	
R5|[1]	[3]200	[6]	[9]0001	[13]	[15]0001	[19]	[22]0001	[26]	[28]	[29]	[34]X	[35]	[40]X	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]2	[78]	[83]X	[84]	[89] 0.00	[96]	[97]	[102]X	[103]	[108]X	[109]	[114]	[115]	[120]	[121]	[126]X	[127]	[132]0000	[136]	[138]	[139]	[149]	
R6|[1]	[3]200	[6]	[9]0003	[13]	[15]0003	[19]	[22]0001	[26]	[28]	[29]	[34]X	[35]	[40]X	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]2	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]X	[103]	[108]X	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R7|[1]	[3]200	[6]	[9]0005	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R8|[1]	[3]200	[6]	[9]0006	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R9|[1]	[3]200	[6]	[9]0008	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R10|[1]	[3]200	[6]	[9]0010	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R11|[1]	[3]200	[6]	[9]0011	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R12|[1]	[3]200	[6]	[9]0012	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R13|[1]	[3]200	[6]	[9]0013	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R14|[1]	[3]200	[6]	[9]0020	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R15|[1]	[3]200	[6]	[9]0021	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R16|[1]	[3]200	[6]	[9]0040	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]X	[35]	[40]X	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]3	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R17|[1]	[3]200	[6]	[9]0050	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R18|[1]	[3]200	[6]	[9]0060	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R19|[1]	[3]200	[6]	[9]0070	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R20|[1]	[3]200	[6]	[9]0080	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R21|[1]	[3]200	[6]	[9]0090	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R22|[1]	[3]200	[6]	[9]0110	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R23|[1]	[3]200	[6]	[9]0120	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R24|[1]	[3]200	[6]	[9]0130	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R25|[1]	[3]200	[6]	[9]0140	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R26|[1]	[3]200	[6]	[9]0150	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R27|[1]	[3]200	[6]	[9]0160	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R28|[1]	[3]200	[6]	[9]0180	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
R29|[1]	[3]200	[6]	[9]0190	[13]	[15]0001	[19]	[22]	[26]	[28]	[29]	[34]	[35]	[40]	[41]	[46]	[47]	[52]	[53]	[63]	[67]	[70]	[74]	[77]	[78]	[83]	[84]	[89] 0.00	[96]	[97]	[102]	[103]	[108]	[109]	[114]	[115]	[120]	[121]	[126]	[127]	[132]0000	[136]	[138]	[139]	[149]	
