SESSION|QS4/700 located at connection[1] session[0]|user=QNOVATE8
SELFIELD|ctxtI3-LOW=ZP06
TABLE|EKKO
TITLE|Data Browser: Table EKKO Select Entries         15
SBAR|Selection restricted to 15 hits
ALV|rows=15|cols=198
HDR|MANDT	EBELN	BUKRS	BSTYP	BSART	BSAKZ	LOEKZ	STATU	AEDAT	ERNAM	LASTCHANGEDATETIME	PINCR	LPONR	LIFNR	SPRAS	ZTERM	ZBD1T	ZBD2T	ZBD3T	ZBD1P	ZBD2P	EKORG	EKGRP	WAERS	WKURS	KUFIX	BEDAT	KDATB	KDATE	BWBDT	ANGDT	BNDDT	GWLDT	AUSNR	ANGNR	IHRAN	IHREZ	VERKF	TELF1	LLIEF	KUNNR	ACTIVE_ID	KONNR	ABGRU	AUTLF	WEAKT	RESWK	LBLIF	INCO1	INCO2	KTWRT	DISTRIBUTIONTYPE	SUBMI	KNUMV	KALSM	STAFO	LIFRE	EXNUM	UNSEZ	LOGSY	UPINC	STAKO	FRGGR	FRGSX	FRGKE	FRGZU	FRGRL	LANDS	LPHIS	ADRNR	STCEG_L	STCEG	ABSGR	ADDNR	KORNR	MEMORY	PROCSTAT	PROCESS_INDICATOR	RLWRT	CR_STAT	REVNO	SCMPROC	REASON_CODE	MEMORYTYPE	RETTP	RETPC	DPTYP	DPPCT	DPAMT	DPDAT	MSR_ID	HIERARCHY_EXISTS	GROUPING_ID	PARENT_ID	THRESHOLD_EXISTS	LEGAL_CONTRACT	DESCRIPTION	RELEASE_DATE	VSART	HANDOVERLOC	SHIPCOND	INCOV	INCO2_L	INCO3_L	INCO2_KEY	INCO3_KEY	INCO4_KEY	GRWCU	INTRA_REL	INTRA_EXCL	TOTAL_STATUS_PCS	TOTAL_STATUS_PMA	TOTAL_STATUS_DG	TOTAL_STATUS_SDS	QTN_ERLST_SUBMSN_DATE	FOLLOWON_DOC_CAT	FOLLOWON_DOC_TYPE	DUMMY_EKKO_INCL_EEW_PS	ZZVENDOR_TYPE	ZZORDERING_REASON	ZZLD_CLAUSE	EXTERNALSYSTEM	EXTERNALREFERENCEID	EXT_REV_TMSTMP	ISEOPBLOCKED	ISAGED	FORCE_ID	FORCE_CNT	RELOC_ID	RELOC_SEQ_ID	SOURCE_LOGSYS	FSH_TRANSACTION	FSH_ITEM_GROUP	FSH_VAS_LAST_ITEM	FSH_OS_STG_CHANGE	TMS_REF_UUID	/DMBE/PAYMENTDEEMED	/DMBE/DEALNUMBER	/DMBE/EVGIDRENEWAL	/DMBE/EVGIDCANCEL	ZAPCGK	APCGK_EXTEND	ZBAS_DATE	ZADATTYP	ZSTART_DAT	Z_DEV	ZINDANX	ZLIMIT_DAT	NUMERATOR	HASHCAL_BDAT	HASHCAL	NEGATIVE	HASHCAL_EXISTS	KNOWN_INDEX	POSTAT	VZSKZ	FSH_SNST_STATUS	PROCE	CONC	CONT	COMP	OUTR	DESP	DESP_DAT	DESP_CARGO	PARE	PARE_DAT	PARE_CARGO	PFM_CONTRACT	POHF_TYPE	EQ_EINDT	EQ_WERKS	FIXPO	EKGRP_ALLOW	WERKS_ALLOW	CONTRACT_ALLOW	PSTYP_ALLOW	FIXPO_ALLOW	KEY_ID_ALLOW	AUREL_ALLOW	DELPER_ALLOW	EINDT_ALLOW	LTSNR_ALLOW	OTB_LEVEL	OTB_COND_TYPE	KEY_ID	OTB_VALUE	OTB_CURR	OTB_RES_VALUE	OTB_SPEC_VALUE	SPR_RSN_PROFILE	BUDG_TYPE	OTB_STATUS	OTB_REASON	CHECK_TYPE	CON_OTB_REQ	CON_PREBOOK_LEV	CON_DISTR_LEV	
ROW0|700	5600077519	1000	F	ZP06	T		9	07.05.2026	S022039	20,260,507,080,634.5733220	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		07.05.2026																				5862				0.00			1015078859	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW1|700	5600077525	1000	F	ZP06	T		9	07.05.2026	S015375	20,260,507,085,457.7731990	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		07.05.2026																				1041				0.00			1015079552	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW2|700	5600077527	1000	F	ZP06	T		9	07.05.2026	S013741	20,260,507,092,215.1203520	00010	00010		E		0	0	0	0.000	0.000	1000	119	INR	1.00000		07.05.2026																				1002				0.00			1015079966	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW3|700	5600077528	1000	F	ZP06	T		9	07.05.2026	S013741	20,260,507,092,523.8395700	00010	00010		E		0	0	0	0.000	0.000	1000	119	INR	1.00000		07.05.2026																				1002				0.00			1015080017	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW4|700	5600077670	1000	F	ZP06	T		9	10.05.2026	S018965	20,260,510,122,746.0949740	00010	00010		E		0	0	0	0.000	0.000	1000	802	INR	1.00000		10.05.2026																				1002				0.00			1015152792	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW5|700	5600077849	1300	F	ZP06	T		9	12.05.2026	S012940	20,260,515,184,456.5345830	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		12.05.2026																				1304				0.00			1015192820	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW6|700	5600078112	1000	F	ZP06	T		9	15.05.2026	S016928	20,260,515,174,522.2057460	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		15.05.2026																				1004				0.00			1015278118	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW7|700	5600078113	1000	F	ZP06	T		9	16.05.2026	S015383	20,260,515,183,115.7840870	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		16.05.2026																				3814				0.00			1015280464	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW8|700	5600080537	1000	F	ZP06	T		9	23.06.2026	S018788	20,260,623,050,613.4208650	00010	00010		E		0	0	0	0.000	0.000	1000	801	INR	1.00000		23.06.2026																				1010				0.00			1016202541	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
ROW9|700	5600081859	1000	F	ZP06	T		9	10.07.2026	S016711	20,260,714,073,011.1326020	00010	00010		E		0	0	0	0.000	0.000	1000	119	INR	1.00000		10.07.2026																				1073				0.00			1016603464	ZSTO	SAP					00001							IN			IN		00				02		0.00							0.00		0.00	0.00																00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000	INR																0.0000000				000000					00000	00000							0000	0000000000				0.000												000000000											00000000																	0000000000000000	0.00		0.00	0.00									
