SESSION|QS4/700|User=QNOVATE8
FILTER|EBELN(I1)=5600084255..5600084274
RESULT|Table=EKET|Rows=27|SBAR=
COLS|EBELN,EBELP,ETENR,EINDT,MENGE,WEMNG,WAMNG,DABMG
ROW0|EBELN=5600084255|EBELP=00010|ETENR=0001|EINDT=25.08.2026|MENGE=1,000.000|WEMNG=101.080|WAMNG=101.080|DABMG=0.000
ROW1|EBELN=5600084256|EBELP=00010|ETENR=0001|EINDT=25.08.2026|MENGE=1,000.000|WEMNG=50.500|WAMNG=50.500|DABMG=0.000
ROW2|EBELN=5600084257|EBELP=00010|ETENR=0001|EINDT=09.09.2026|MENGE=1.000|WEMNG=0.000|WAMNG=1.000|DABMG=0.000
ROW3|EBELN=5600084258|EBELP=00010|ETENR=0001|EINDT=09.09.2026|MENGE=1.000|WEMNG=1.000|WAMNG=1.000|DABMG=0.000
ROW4|EBELN=5600084259|EBELP=00010|ETENR=0001|EINDT=31.08.2026|MENGE=500.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW5|EBELN=5600084260|EBELP=00010|ETENR=0001|EINDT=31.08.2026|MENGE=500.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW6|EBELN=5600084261|EBELP=00010|ETENR=0001|EINDT=25.08.2026|MENGE=1,000.000|WEMNG=50.750|WAMNG=50.750|DABMG=0.000
ROW7|EBELN=5600084262|EBELP=00010|ETENR=0001|EINDT=31.08.2026|MENGE=500.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW8|EBELN=5600084263|EBELP=00010|ETENR=0001|EINDT=25.08.2026|MENGE=1,000.000|WEMNG=50.750|WAMNG=50.750|DABMG=0.000
ROW9|EBELN=5600084264|EBELP=00010|ETENR=0001|EINDT=31.08.2026|MENGE=500.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW10|EBELN=5600084265|EBELP=00010|ETENR=0001|EINDT=15.09.2026|MENGE=10.000|WEMNG=10.000|WAMNG=10.000|DABMG=0.000
ROW11|EBELN=5600084266|EBELP=00010|ETENR=0001|EINDT=25.08.2026|MENGE=200.000|WEMNG=12.000|WAMNG=12.000|DABMG=0.000
ROW12|EBELN=5600084267|EBELP=00010|ETENR=0001|EINDT=31.08.2026|MENGE=500.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW13|EBELN=5600084268|EBELP=00010|ETENR=0001|EINDT=31.08.2026|MENGE=500.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW14|EBELN=5600084269|EBELP=00010|ETENR=0001|EINDT=09.09.2026|MENGE=7.000|WEMNG=7.000|WAMNG=7.000|DABMG=0.000
ROW15|EBELN=5600084270|EBELP=00010|ETENR=0001|EINDT=26.08.2026|MENGE=50.000|WEMNG=0.000|WAMNG=0.500|DABMG=0.000
ROW16|EBELN=5600084271|EBELP=00010|ETENR=0001|EINDT=26.08.2026|MENGE=200.000|WEMNG=200.000|WAMNG=200.000|DABMG=0.000
ROW17|EBELN=5600084271|EBELP=00020|ETENR=0001|EINDT=26.08.2026|MENGE=200.000|WEMNG=200.000|WAMNG=200.000|DABMG=0.000
ROW18|EBELN=5600084271|EBELP=00030|ETENR=0001|EINDT=26.08.2026|MENGE=200.000|WEMNG=200.000|WAMNG=200.000|DABMG=0.000
ROW19|EBELN=5600084271|EBELP=00040|ETENR=0001|EINDT=26.08.2026|MENGE=200.000|WEMNG=200.000|WAMNG=200.000|DABMG=0.000
ROW20|EBELN=5600084271|EBELP=00050|ETENR=0001|EINDT=26.08.2026|MENGE=200.000|WEMNG=200.000|WAMNG=200.000|DABMG=0.000
ROW21|EBELN=5600084271|EBELP=00060|ETENR=0001|EINDT=26.08.2026|MENGE=200.000|WEMNG=200.000|WAMNG=200.000|DABMG=0.000
ROW22|EBELN=5600084272|EBELP=00010|ETENR=0001|EINDT=27.08.2026|MENGE=10.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW23|EBELN=5600084272|EBELP=00020|ETENR=0001|EINDT=27.08.2026|MENGE=15.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
ROW24|EBELN=5600084273|EBELP=00010|ETENR=0001|EINDT=27.08.2026|MENGE=10.000|WEMNG=0.000|WAMNG=10.000|DABMG=0.000
ROW25|EBELN=5600084273|EBELP=00020|ETENR=0001|EINDT=27.08.2026|MENGE=15.000|WEMNG=0.000|WAMNG=15.000|DABMG=0.000
ROW26|EBELN=5600084274|EBELP=00010|ETENR=0001|EINDT=30.09.2026|MENGE=5,000.000|WEMNG=0.000|WAMNG=0.000|DABMG=0.000
