delivery,item,sto,sto_item,material,qty,uom,supplying_plant,supplying_sloc,receiving_plant,receiving_sloc,sto_open_qty,flow,status
9004952595,000010,5600074803,00010,14000035,41.230,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952596,000010,5600074803,00010,14000035,41.720,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952597,000010,5600074803,00010,14000035,42.410,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952598,000010,5600074803,00010,14000035,41.540,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952599,000010,5600074803,00010,14000035,41.040,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952600,000010,5600074803,00010,14000035,41.750,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952601,000010,5600074803,00010,14000035,41.090,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952603,000010,5600074803,00010,14000035,42.140,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952604,000010,5600074803,00010,14000035,42.360,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952605,000010,5600074803,00010,14000035,41.890,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952606,000010,5600074803,00010,14000035,42.050,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952607,000010,5600074803,00010,14000035,42.730,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952608,000010,5600074803,00010,14000035,42.220,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952610,000010,5600074803,00010,14000035,42.040,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952611,000010,5600074803,00010,14000035,41.910,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952612,000010,5600074803,00010,14000035,41.930,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952613,000010,5600074803,00010,14000035,42.300,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952614,000010,5600074803,00010,14000035,42.190,TO,1002,CLYC,1005,RMYD,4958.330,R+M no i,ready
9004952727,000010,5600074902,00010,14000035,41.160,TO,1002,CLYC,1009,RMYD,1588.960,R+M no i,ready
9004952728,000010,5600074902,00010,14000035,41.260,TO,1002,CLYC,1009,RMYD,1588.960,R+M no i,ready
9004952729,000010,5600074902,00010,14000035,41.900,TO,1002,CLYC,1009,RMYD,1588.960,R+M no i,ready
9004952733,000010,5600074902,00010,14000035,41.200,TO,1002,CLYC,1009,RMYD,1588.960,R+M no i,ready
9004952736,000010,5600074903,00010,14000035,41.540,TO,1002,CLYC,1009,RMYD,1007.580,R+M no i,ready
9004952737,000010,5600074903,00010,14000035,41.840,TO,1002,CLYC,1009,RMYD,1007.580,R+M no i,ready
9004952738,000010,5600074903,00010,14000035,41.430,TO,1002,CLYC,1009,RMYD,1007.580,R+M no i,ready
9004952739,000010,5600074903,00010,14000035,41.420,TO,1002,CLYC,1009,RMYD,1007.580,R+M no i,ready
9004952620,000010,5600074808,00010,14000035,44.920,TO,1000,CLYC,1006,RMYD,364.190,R+M no i,ready
9004952820,000010,5600074808,00010,14000035,45.560,TO,1000,CLYC,1006,RMYD,364.190,R+M no i,ready
9004952850,000010,5600074808,00010,14000035,46.340,TO,1000,CLYC,1006,RMYD,364.190,R+M no i,ready
9004952762,000010,5600006418,00010,14000035,57.480,TO,1070,CLYC,1073,RMYD,1473.600,R+M no i,ready
9004953014,000010,5600083620,00010,14000009,29.640,TO,1000,SGLM,1000,RMYD,136.490,R+M no i,ready
9004953166,000010,5600084215,00010,14000035,100.000,TO,1000,CLYC,1025,RMYD,100.000,R+M no i,ready
9004953183,000010,5600084252,00010,17098816,1,EA,1024,RCPT,1022,RCPT,1.000,R+M no i,ready
9004953231,000010,5600084257,00010,17035251,1,EA,1025,RCPT,1002,UNRESOLVED,1.000,R+M no i,hold - batch TEST, 9 slocs at plant
9004953151,000010,5600084239,00010,17035056,2,EA,1005,FKGU,1022,FKGU,0.000,R+M no i,reject - sto fully received PO-referenced
9004952821,000010,5600074808,00010,14000035,45.610,TO,1000,CLYC,1006,RMYD,364.190,R+M+i,reject - receipted 31.08.2026 doc 5007138761
9004952843,000010,5600074808,00010,14000035,45.000,TO,1000,,1006,RMYD,364.190,none,reject - no PGI WBSTA A
