SESSION|QS4/700|User=QNOVATE8
FILTER|VBELN_IM(I8)=9004952400..9004952850
FILTER|BWART(I4)=101
RESULT|Table=MSEG|Rows=34|SBAR=
COLS|MBLNR,BWART,MATNR,WERKS,LGORT,MENGE,MEINS,EBELN,EBELP,VBELN_IM,VBELP_IM,SMBLN
ROW0|MBLNR=5007137470|BWART=101|MATNR=000000000014000010|WERKS=1014|LGORT=RMYD|MENGE=14,471|MEINS=TO|EBELN=5600083539|EBELP=00010|VBELN_IM=9004952625|VBELP_IM=000010|SMBLN=
ROW1|MBLNR=5007137495|BWART=101|MATNR=000000000014000035|WERKS=1003|LGORT=RMYD|MENGE=9,054.800|MEINS=TO|EBELN=5600046295|EBELP=00010|VBELN_IM=9004952643|VBELP_IM=000010|SMBLN=
ROW2|MBLNR=5007137578|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=24.110|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952514|VBELP_IM=000010|SMBLN=
ROW3|MBLNR=5007137684|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=36.100|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952536|VBELP_IM=000010|SMBLN=
ROW4|MBLNR=5007137719|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=23.650|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952538|VBELP_IM=000010|SMBLN=
ROW5|MBLNR=5007137730|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=27.640|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952555|VBELP_IM=000010|SMBLN=
ROW6|MBLNR=5007137763|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=22.580|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952512|VBELP_IM=000010|SMBLN=
ROW7|MBLNR=5007137764|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=20.440|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952511|VBELP_IM=000010|SMBLN=
ROW8|MBLNR=5007137790|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=26.690|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952567|VBELP_IM=000010|SMBLN=
ROW9|MBLNR=5007137796|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=25.220|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952537|VBELP_IM=000010|SMBLN=
ROW10|MBLNR=5007137797|BWART=101|MATNR=000000000014000009|WERKS=1000|LGORT=RMYD|MENGE=32.920|MEINS=TO|EBELN=5600083620|EBELP=00010|VBELN_IM=9004952569|VBELP_IM=000010|SMBLN=
