SESSION|QS4/700|User=QNOVATE8
FILTER|TABNAME(I1)=ENH..ENI
FILTER|TABCLASS(I4)=TRANSP
RESULT|Table=DD02L|Rows=40|SBAR=
COLS|TABNAME,TABCLASS
ROW0|TABNAME=ENH4DELTAB|TABCLASS=TRANSP
ROW1|TABNAME=ENHA_TMDIR|TABCLASS=TRANSP
ROW2|TABNAME=ENHBDEX|TABCLASS=TRANSP
ROW3|TABNAME=ENHCOMPCHILDCOMP|TABCLASS=TRANSP
ROW4|TABNAME=ENHCOMPCHILDENH|TABCLASS=TRANSP
ROW5|TABNAME=ENHCOMPHEADER|TABCLASS=TRANSP
ROW6|TABNAME=ENHCONTRACTCONT|TABCLASS=TRANSP
ROW7|TABNAME=ENHCONTRACTTOOL|TABCLASS=TRANSP
ROW8|TABNAME=ENHCONTRACTTYP|TABCLASS=TRANSP
ROW9|TABNAME=ENHCROSS|TABCLASS=TRANSP
ROW10|TABNAME=ENHCROSSINXSPOT|TABCLASS=TRANSP
ROW11|TABNAME=ENHDEPENDENT|TABCLASS=TRANSP
ROW12|TABNAME=ENHHEADER|TABCLASS=TRANSP
ROW13|TABNAME=ENHHOOKMIGRTEMP|TABCLASS=TRANSP
ROW14|TABNAME=ENHINCINX|TABCLASS=TRANSP
ROW15|TABNAME=ENHKNOWNENHS|TABCLASS=TRANSP
ROW16|TABNAME=ENHLOADINVAL|TABCLASS=TRANSP
ROW17|TABNAME=ENHLOG|TABCLASS=TRANSP
ROW18|TABNAME=ENHNAME_TYPE|TABCLASS=TRANSP
ROW19|TABNAME=ENHOBJ|TABCLASS=TRANSP
ROW20|TABNAME=ENHOBJCONTRACT|TABCLASS=TRANSP
ROW21|TABNAME=ENHSORT|TABCLASS=TRANSP
ROW22|TABNAME=ENHSPOTCOMPCOMP|TABCLASS=TRANSP
ROW23|TABNAME=ENHSPOTCOMPHEAD|TABCLASS=TRANSP
ROW24|TABNAME=ENHSPOTCOMPSPOT|TABCLASS=TRANSP
ROW25|TABNAME=ENHSPOTCONTRACT|TABCLASS=TRANSP
ROW26|TABNAME=ENHSPOTHEADER|TABCLASS=TRANSP
ROW27|TABNAME=ENHSPOTNAME_TYPE|TABCLASS=TRANSP
ROW28|TABNAME=ENHSPOTOBJ|TABCLASS=TRANSP
ROW29|TABNAME=ENHSPOTTEXT|TABCLASS=TRANSP
ROW30|TABNAME=ENHSPOTTOOLS|TABCLASS=TRANSP
ROW31|TABNAME=ENHSPOTTOOLST|TABCLASS=TRANSP
ROW32|TABNAME=ENHTAB|TABCLASS=TRANSP
ROW33|TABNAME=ENHTEXT|TABCLASS=TRANSP
ROW34|TABNAME=ENHTOOLS|TABCLASS=TRANSP
ROW35|TABNAME=ENHTOOLST|TABCLASS=TRANSP
ROW36|TABNAME=ENHTOOLS_UVL|TABCLASS=TRANSP
ROW37|TABNAME=ENH_DY_FCODES|TABCLASS=TRANSP
ROW38|TABNAME=ENH_DY_GROUP|TABCLASS=TRANSP
ROW39|TABNAME=ENH_DY_SUBS|TABCLASS=TRANSP
