SESSION|QS4/700|User=QNOVATE8
RESULT|Table=MODACT|Rows=77|SBAR=
COLS|NAME,TYP,MEMBER
ROW0|NAME=ZARIBRFQ|TYP=|MEMBER=
ROW1|NAME=ZARIBRFQ|TYP=|MEMBER=MM06E001
ROW2|NAME=ZCOR1|TYP=|MEMBER=
ROW3|NAME=ZCOR1|TYP=|MEMBER=PPCO0007
ROW4|NAME=ZCOR1|TYP=|MEMBER=PPCO0020
ROW5|NAME=ZFIWFAPP|TYP=|MEMBER=
ROW6|NAME=ZFIWFAPP|TYP=|MEMBER=LMR1M005
ROW7|NAME=ZFIWFAPP|TYP=|MEMBER=SAPLF040
ROW8|NAME=ZFI_BRS|TYP=|MEMBER=
ROW9|NAME=ZFI_BRS|TYP=|MEMBER=FEB00001
ROW10|NAME=ZLEPRICG|TYP=|MEMBER=
ROW11|NAME=ZLEPRICG|TYP=|MEMBER=V54B0001
ROW12|NAME=ZLEROUTE|TYP=|MEMBER=
ROW13|NAME=ZLEROUTE|TYP=|MEMBER=0VRF0001
ROW14|NAME=ZLESHSCR|TYP=|MEMBER=
ROW15|NAME=ZLESHSCR|TYP=|MEMBER=MV56AINI
ROW16|NAME=ZMMML81N|TYP=|MEMBER=
ROW17|NAME=ZMMML81N|TYP=|MEMBER=SRVEDIT
ROW18|NAME=ZMMML81N|TYP=|MEMBER=SRVEUSCR
ROW19|NAME=ZMM_PO|TYP=|MEMBER=
ROW20|NAME=ZMM_PO|TYP=|MEMBER=MM06E005
ROW21|NAME=ZMM_PR|TYP=|MEMBER=
ROW22|NAME=ZMM_PR|TYP=|MEMBER=MEREQ001
ROW23|NAME=ZMM_RESE|TYP=|MEMBER=
ROW24|NAME=ZMM_RESE|TYP=|MEMBER=MBCF0007
ROW25|NAME=ZMM_SE81|TYP=|MEMBER=
ROW26|NAME=ZMM_SE81|TYP=|MEMBER=SRVESSR
ROW27|NAME=ZMM_SE81|TYP=|MEMBER=SRVMAIL1
ROW28|NAME=ZPMCHKNT|TYP=|MEMBER=
ROW29|NAME=ZPMCHKNT|TYP=|MEMBER=QQMA0014
ROW30|NAME=ZPMCMB|TYP=|MEMBER=
ROW31|NAME=ZPMCMB|TYP=|MEMBER=IMRC0001
ROW32|NAME=ZPMCOST|TYP=|MEMBER=
ROW33|NAME=ZPMCOST|TYP=|MEMBER=IWO10001
ROW34|NAME=ZPMCOST|TYP=|MEMBER=IWO10002
ROW35|NAME=ZPMCOST|TYP=|MEMBER=IWO10006
ROW36|NAME=ZPMCOST|TYP=|MEMBER=IWO10009
ROW37|NAME=ZPMCOST|TYP=|MEMBER=IWO10018
ROW38|NAME=ZPMCOST|TYP=|MEMBER=MCI10001
ROW39|NAME=ZPMCOST|TYP=|MEMBER=PPCO0001
ROW40|NAME=ZPMCOST|TYP=|MEMBER=PPCO0023
ROW41|NAME=ZPMPRCHK|TYP=|MEMBER=
ROW42|NAME=ZPMPRCHK|TYP=|MEMBER=COZF0001
ROW43|NAME=ZPM_IE01|TYP=|MEMBER=
ROW44|NAME=ZPM_IE01|TYP=|MEMBER=ITOB0001
ROW45|NAME=ZPM_IE02|TYP=|MEMBER=
ROW46|NAME=ZPM_IE02|TYP=|MEMBER=IEQM0003
ROW47|NAME=ZPM_ORD|TYP=|MEMBER=
ROW48|NAME=ZPM_ORD|TYP=|MEMBER=IWO10004
ROW49|NAME=ZPM_PM08|TYP=|MEMBER=
ROW50|NAME=ZPM_PM08|TYP=|MEMBER=CONFPM05
ROW51|NAME=ZPPDOWNT|TYP=|MEMBER=
ROW52|NAME=ZPPDOWNT|TYP=|MEMBER=CONFPP07
ROW53|NAME=ZPP_SILO|TYP=|MEMBER=
ROW54|NAME=ZPP_SILO|TYP=|MEMBER=PPCO0005
ROW55|NAME=ZQEVA007|TYP=|MEMBER=
ROW56|NAME=ZQEVA007|TYP=|MEMBER=QEVA0007
ROW57|NAME=ZQEVA04|TYP=|MEMBER=
ROW58|NAME=ZQEVA04|TYP=|MEMBER=QEVA0004
ROW59|NAME=ZQEVA05|TYP=|MEMBER=
ROW60|NAME=ZQEVA05|TYP=|MEMBER=QEVA0005
ROW61|NAME=ZQEVA06|TYP=|MEMBER=
ROW62|NAME=ZQEVA06|TYP=|MEMBER=QEVA0006
ROW63|NAME=ZQEVA08|TYP=|MEMBER=
ROW64|NAME=ZQEVA08|TYP=|MEMBER=QEVA0008
ROW65|NAME=ZQEVA09|TYP=|MEMBER=
ROW66|NAME=ZQEVA09|TYP=|MEMBER=QEVA0009
ROW67|NAME=ZSDFIACC|TYP=|MEMBER=
ROW68|NAME=ZSDFIACC|TYP=|MEMBER=SDVFX004
ROW69|NAME=ZSDORD01|TYP=|MEMBER=
ROW70|NAME=ZSDORD01|TYP=|MEMBER=V45A0003
ROW71|NAME=ZUCCBILL|TYP=|MEMBER=
ROW72|NAME=ZUCCBILL|TYP=|MEMBER=SDVFX008
ROW73|NAME=ZWO20001|TYP=|MEMBER=
ROW74|NAME=ZWO20001|TYP=|MEMBER=IWO20001
ROW75|NAME=Z_IMA1N|TYP=|MEMBER=
ROW76|NAME=Z_IMA1N|TYP=|MEMBER=AAIR0002
