SESSION|QS4/700|User=QNOVATE8
FILTER|EXIT_NAME(I2)=MB_MIGO_BADI
RESULT|Table=SXC_EXIT|Rows=14|SBAR=
COLS|IMP_NAME,EXIT_NAME,FLT_VAL
ROW0|IMP_NAME=/ACCGO/BR_MIGO_CHECK|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW1|IMP_NAME=CIN_PLUG_IN_TO_MIGO|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW2|IMP_NAME=DFS_MM_SLOC_EVALUATE|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW3|IMP_NAME=J1IG_DELCHLN_CHECK|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW4|IMP_NAME=J1_JMIGO_MSG|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW5|IMP_NAME=JVA_CRP_MIGO_BADI|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW6|IMP_NAME=JV_CRP_MIGO_BADI|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW7|IMP_NAME=OIB_MIGO_BADI_QCI|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW8|IMP_NAME=OIB_MIGO_BADI_TST|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW9|IMP_NAME=OIH_MIGO_BADI|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW10|IMP_NAME=OIH_MIGO_BADI_TDP|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW11|IMP_NAME=TXS_MM_GOODS_RECEIPT|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW12|IMP_NAME=ZMM_SEND_MAIL|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
ROW13|IMP_NAME=ZSDEI_DELIVERY_NOTE|EXIT_NAME=MB_MIGO_BADI|FLT_VAL=
