"STO","Supply","SupplyName","Recv","RecvClass","VSTEL","VstelClass","Route","VTWEG","Mat","Unit","Qty","DelivStarted","Issued","Open","Due","Created"
"5600083019/00010","8235","PB PATHANKOT TR","6819","A2","8235","A2","E94181","99","15000444","TO","55","0","0","55","28.07.2026","28.07.2026"
"5600083024/00010","4906","PB LUDHIANA TR","8151","A2","4906","A2","E14258","99","15000114","TO","55","0","0","55","28.07.2026","28.07.2026"
"5600083054/00001","5888","WB HOWRAH-ABDA BG TR RSD","4964","A2","5888","A2","D98696","99","15000288","TO","122","121.25","121.25","0.75","28.07.2026","28.07.2026"
"5600083056/00001","5354","WB DHULAGARH SC TR RSD","4964","A2","5354","A2","S47210","99","15000115","TO","370.4","362.65","362.65","7.75","28.07.2026","28.07.2026"
"5600083057/00001","5354","WB DHULAGARH SC TR RSD","4964","A2","5354","A2","S47210","99","15000118","TO","52","52","51.9","0","28.07.2026","28.07.2026"
"5600083058/00001","5354","WB DHULAGARH SC TR RSD","4964","A2","5354","A2","S47210","99","15000280","TO","229","227.8","227.8","1.19999999999999","28.07.2026","28.07.2026"
"5600083071/00010","8113","BR DANAPUR TR","1042","A1","8113","A2","E97781","99","15000262","TO","1.9","1.9","1.9","0","28.07.2026","28.07.2026"
"5600083084/00010","4906","PB LUDHIANA TR","8151","A2","4906","A2","E14258","99","15000114","TO","55","55","0","0","28.07.2026","28.07.2026"
"5600083085/00010","4906","PB LUDHIANA TR","8151","A2","4906","A2","E14258","99","15000069","TO","55","55","0","0","28.07.2026","28.07.2026"
"5600083281/00010","3928","MP SHIVPURI TR RSD","3932","A2","3928","A2","E65119","99","15000117","TO","5000","65.9","65.9","4934.1","31.07.2026","29.07.2026"
"5600083283/00010","3928","MP SHIVPURI TR RSD","3932","A2","3928","A2","E65119","99","15000263","TO","5000","131.8","131.8","4868.2","31.07.2026","29.07.2026"
"5600083322/00010","6073","PB PHAGWARA TR","6751","A2","6073","A2","E58936","99","15000069","TO","5","0","0","5","29.07.2026","29.07.2026"
"5600083340/00010","6947","MP INDORE TR RSD SHREE CEMENT LIMIT","6946","A2","6947","A2","D47247","99","15000266","TO","5000","2.35","2.35","4997.65","31.07.2026","30.07.2026"
