"BWART","VGABE","BUZEI","MENGE","EBELN","EBELP","BUDAT","BELNR"
"101","1","0001","66.000","5600083020","00001","28.07.2026","5007031336"
"641","6","0001","66.000","5600083020","00001","28.07.2026","4917902717"
"","8","0010","0.000","5600083020","00001","28.07.2026","9004825583"
"","8","0001","66.000","5600083020","00001","28.07.2026","9004825583"
"101","1","0001","75.000","5600083021","00001","28.07.2026","5007031350"
"101","1","0001","75.000","5600083021","00001","28.07.2026","5007031354"
"101","1","0001","75.000","5600083021","00001","28.07.2026","5007031355"
"101","1","0001","75.000","5600083021","00001","28.07.2026","5007031356"
"101","1","0001","66.000","5600083021","00001","28.07.2026","5007031380"
"101","1","0002","9.000","5600083021","00001","28.07.2026","5007031380"
"101","1","0001","18.400","5600083021","00001","28.07.2026","5007031396"
"641","6","0001","75.000","5600083021","00001","28.07.2026","4917902764"
"641","6","0001","75.000","5600083021","00001","28.07.2026","4917902781"
"641","6","0001","75.000","5600083021","00001","28.07.2026","4917902794"
"641","6","0001","75.000","5600083021","00001","28.07.2026","4917902798"
"641","6","0001","66.000","5600083021","00001","28.07.2026","4917902861"
"641","6","0003","9.000","5600083021","00001","28.07.2026","4917902861"
"641","6","0001","18.400","5600083021","00001","28.07.2026","4917902934"
"","8","0010","0.000","5600083021","00001","28.07.2026","9004825648"
"","8","0010","0.000","5600083021","00001","28.07.2026","9004825678"
"","8","0010","0.000","5600083021","00001","28.07.2026","9004825695"
"","8","0010","0.000","5600083021","00001","28.07.2026","9004825711"
"","8","0010","0.000","5600083021","00001","28.07.2026","9004825727"
"","8","0010","0.000","5600083021","00001","28.07.2026","9004825748"
"","8","0001","75.000","5600083021","00001","28.07.2026","9004825648"
"","8","0001","75.000","5600083021","00001","28.07.2026","9004825678"
"","8","0001","75.000","5600083021","00001","28.07.2026","9004825695"
"","8","0001","75.000","5600083021","00001","28.07.2026","9004825711"
"","8","0001","66.000","5600083021","00001","28.07.2026","9004825727"
"","8","0002","9.000","5600083021","00001","28.07.2026","9004825727"
"","8","0001","18.400","5600083021","00001","28.07.2026","9004825748"
"101","1","0001","75.000","5600083022","00001","28.07.2026","5007031400"
"101","1","0001","75.000","5600083022","00001","28.07.2026","5007031402"
"101","1","0001","75.000","5600083022","00001","28.07.2026","5007031403"
"101","1","0001","75.000","5600083022","00001","28.07.2026","5007031404"
"101","1","0001","30.000","5600083022","00001","28.07.2026","5007031406"
"641","6","0001","75.000","5600083022","00001","28.07.2026","4917902961"
"641","6","0001","75.000","5600083022","00001","28.07.2026","4917902978"
"641","6","0001","75.000","5600083022","00001","28.07.2026","4917902992"
"641","6","0001","30.000","5600083022","00001","28.07.2026","4917903007"
"641","6","0001","75.000","5600083022","00001","28.07.2026","4917903022"
"","8","0010","0.000","5600083022","00001","28.07.2026","9004825773"
"","8","0010","0.000","5600083022","00001","28.07.2026","9004825794"
"","8","0010","0.000","5600083022","00001","28.07.2026","9004825837"
"","8","0010","0.000","5600083022","00001","28.07.2026","9004825859"
"","8","0010","0.000","5600083022","00001","28.07.2026","9004825899"
"","8","0001","75.000","5600083022","00001","28.07.2026","9004825773"
"","8","0001","75.000","5600083022","00001","28.07.2026","9004825794"
"","8","0001","75.000","5600083022","00001","28.07.2026","9004825837"
