"EBELN","LOEKZ","BSART","AEDAT","RESWK"
"5600083019","","ZP06","28.07.2026","8235"
"5600083020","","ZP06","28.07.2026","8069"
"5600083021","","ZP06","28.07.2026","8069"
"5600083022","","ZP06","28.07.2026","8069"
"5600083023","","ZP06","28.07.2026","8069"
"5600083024","","ZP06","28.07.2026","4906"
"5600083027","","ZP06","28.07.2026","8076"
"5600083029","","ZP06","28.07.2026","8076"
"5600083030","","ZP06","28.07.2026","8076"
"5600083031","","ZP06","28.07.2026","8076"
"5600083032","","ZP06","28.07.2026","8076"
"5600083054","","ZP06","28.07.2026","5888"
"5600083055","","ZP06","28.07.2026","5888"
"5600083056","","ZP06","28.07.2026","5354"
"5600083057","","ZP06","28.07.2026","5354"
"5600083058","","ZP06","28.07.2026","5354"
"5600083059","","ZP06","28.07.2026","5354"
"5600083071","","ZP06","28.07.2026","8113"
"5600083084","","ZP06","28.07.2026","4906"
"5600083085","","ZP06","28.07.2026","4906"
"5600083087","","ZP06","28.07.2026","4906"
"5600083273","","ZP06","29.07.2026","8168"
"5600083275","","ZP06","29.07.2026","8168"
"5600083276","","ZP06","29.07.2026","8168"
"5600083277","","ZP06","29.07.2026","8168"
"5600083278","","ZP06","29.07.2026","8168"
"5600083281","","ZP06","29.07.2026","3928"
"5600083283","","ZP06","29.07.2026","3928"
"5600083295","","ZP06","29.07.2026","8168"
"5600083296","","ZP06","29.07.2026","8168"
"5600083297","","ZP06","29.07.2026","8168"
"5600083298","","ZP06","29.07.2026","8168"
"5600083299","","ZP06","29.07.2026","8168"
"5600083300","","ZP06","29.07.2026","3770"
"5600083301","","ZP06","29.07.2026","3770"
"5600083302","","ZP06","29.07.2026","3770"
"5600083303","","ZP06","29.07.2026","3770"
"5600083322","","ZP06","29.07.2026","6073"
"5600083329","","ZP06","29.07.2026","3772"
"5600083340","","ZP06","30.07.2026","6947"
"5600083359","","ZP06","30.07.2026","8064"
"5600083362","","ZP06","30.07.2026","8064"
"5600083365","","ZP06","30.07.2026","8064"
"5600083368","","ZP06","30.07.2026","8064"
"5600083370","","ZP06","30.07.2026","8064"
"5600083393","","ZP06","30.07.2026","5370"
"5600083394","","ZP06","30.07.2026","5370"
"5600083395","","ZP06","30.07.2026","5370"
"5600083408","","ZP06","30.07.2026","8235"
"5600083426","","ZP06","30.07.2026","5210"
"5600083430","","ZP06","30.07.2026","5210"
"5600083479","","ZP06","31.07.2026","6222"
"5600083490","","ZP06","31.07.2026","4968"
"5600083492","","ZP06","31.07.2026","4331"
"5600083493","","ZP06","31.07.2026","4331"
"5600083494","","ZP06","31.07.2026","4331"
"5600083495","","ZP06","31.07.2026","4331"
"5600083496","","ZP06","31.07.2026","4331"
"5600083498","","ZP06","31.07.2026","6967"
"5600083667","","ZP06","31.07.2026","8296"
"5600083668","","ZP06","31.07.2026","8296"
"5600083669","","ZP06","31.07.2026","8296"
"5600083678","","ZP06","31.07.2026","3747"
"5600083680","","ZP06","31.07.2026","3747"
"5600083681","","ZP06","31.07.2026","3747"
