"NAME1","KDKG1","KUNNR","LOEVM"
"SCL Beawar","A1","P1000",""
"SCL Shree Mega Power - I","A1","P1001",""
"SCL Ras","A1","P1002",""
"SCL RNCU","A1","P1003",""
"SCL-Nawalgarh","A1","P1004",""
"SCL-Khushkhera","A1","P1005",""
"SCL-Jobner","A1","P1006",""
"SHREE CEMENT LTD","A1","P1007",""
"SCL-Suratgarh -I","A1","P1008",""
"BANGUR CEMENT UNIT","A1","P1009",""
"SCL-UPGU","A1","P1010",""
"SCL-UPGU AAC","A1","P1011",""
"SCL-Panipat","A1","P1012",""
"BHUJ CEMENT PLANT","A1","P1013",""
"BANGUR CEMENT UNIT","A1","P1014",""
"SHREE CEMENT LIMITED","","P1017",""
"SHREE CEMENT LIMITED, SINLA","","P1019",""
"SCL-Khushkhera","A1","P1022",""
"SCL-Suratgarh -I","A1","P1023",""
"SCL- SGU-2 PLANT","A1","P1024",""
"SCL JGU","A1","P1025",""
"SCL RNCU","A1","P1026",""
"BANGUR SOLAR PLANT RAJASTHAN","","P1031",""
"SCL-Raipur","A1","P1040",""
"SCL-Aurangabad - 1","A1","P1041",""
"SCL-Aurangabad - 2","A1","P1042",""
"SCL-Banka Solar - 1","A1","P1043",""
"SCL-Jharkhand","A1","P1044",""
"SCL-Cuttack","A1","P1045",""
"SCL RAIPUR GU II","A1","P1046",""
"SHREE RAIPUR CEMENT PLANT","A1","P1047",""
"SHREE CEMENT LIMITED, MEGHALAYA","","P1048",""
"SCL-Kodla","A1","P1070",""
"SCL-Guntur","A1","P1071",""
"SCL-FARTHABAD","A1","P1072",""
"SCL-Patas","A1","P1073",""
"SCL-CHITTARPUR RLW SIDING","A1","P1074",""
"SCL-Jath Mendhigiri Wind","A1","P1075",""
"SCL-Kushtagi Wind - I","A1","P1076",""
"SCL-Kushtagi Wind - II","A1","P1077",""
"SCL-Basavana Wind","A1","P1078",""
"SCL-KODLA UNIT -II","A1","P1079",""
"SCL-NANDURBAR WIND POWER (6.3)","A1","P1080",""
"SCL-TAMILNADU","A1","P1081",""
"VIDARBHA CEMENT PLANT","","P1082",""
"SCNPL-Corporate - RJ","","P1100",""
"SCNPL-Sangrur","","P1101",""
"SCNPL-Etah","","P1102",""
"SCNPL-Uluberia","","P1103",""
"SCNPL- Rudrapur","","P1104",""
"SCNPL-RAJASTHAN-ISD","","P1151",""
"SCSPL-CORPORATE - KA","","P1200",""
"SCEPL-CORPORATE -WB","A1","P1300",""
"SCEPL-Purulia","A1","P1301",""
"SCEPL-Banglore","","P1302",""
"SCEPL-BIHAR","","P1303",""
"SHREE AGRA CEMENT PLANT","A1","P1304",""
"SHREE PUNJAB CEMENT PLANT","","P1305",""
"SHREE KOLKATA CEMENT PLANT","","P1306",""
"SHREE KOLKATA CEMENT PLANT","","P1307",""
"SHREE CEMENT EAST PRIVATE LIMITED","","P1308",""
"SHREE CEMENT EAST PRIVATE LIMITED,","","P1309",""
"SHREE CEMENT EAST PRIVATED LIMITED","","P1310",""
"SFT-Corporate","","P1401",""
"RHIPL-CHHATTISGARH","","P2001",""
"RHIPL-RAJASTHAN","","P2002",""
"RAIPUR HANDLING AND INFRASTRUCTURE","","P2003",""
"SCL RMC MANKHAL HYDERABAD","A4","P2101",""
"SCL RMC BOLLARAM HYDERABAD SHREE CE","A4","P2102",""
"SCL RMC YELUMALA HYDERABAD SHREE CE","A4","P2103",""
"SCL RMC MAHAPURA JAIPUR SHREE CEMEN","A4","P2104",""
"SCL RMC GREATER NOIDA SHREE CEMENT","A4","P2105",""
"SCL RMC SAKATPUR GURGAON SHREE CEME","A4","P2106",""
"SCL RMC DEONAR MUMBAI SHREE CEMENT","A4","P2107",""
"SCL RMC PADEGHAR SHREE CEMENT LIMIT","A4","P2108",""
"SCL RMC JNPT NAVI MUMBAI SHREE CEME","A4","P2109",""
"SCL RMC DOMBIVALI SHREE CEMENT LIMI","A4","P2110",""
"SCL RMC MANKOLI BHIWANDI SHREE CEME","A4","P2111",""
"SCL RMC NACHARAM HYDERABAD SHREE CE","A4","P2112",""
"SCL RMC MANGALAGIRI GUNTUR SHREE CE","A4","P2113",""
"SCL RMC SANAWADIA INDORE SHREE CEME","A4","P2114",""
"SCL RMC BHOJPUR ROAD BHOPAL SHREE C","A4","P2115",""
"SCL RMC MOHANLALGUNJ LUCKNOW SHREE","A4","P2116",""
"SCL RMC ICHCHAPORE SURAT SHREE CEME","A4","P2117",""
"SCL RMC BAIDYABATI KOLKATA SHREE CE","A4","P2118",""
"SCL RMC DEVANAHALLI BANGALORE SHREE","A4","P2119",""
"SCL RMC YELAHANKA BANGALORE SHREE C","A4","P2120",""
"SCL RMC SERIKHERI RAIPUR SHREE CEME","A4","P2121",""
"SCL RMC WAGHOLI PUNE SHREE CEMENT L","A4","P2122",""
"SCL RMC LIMBADIYA AHMEDABAD SHREE C","A4","P2123",""
"SCL RMC CUTTACK ROAD BHUBNESHWAR SH","A4","P2124",""
"SCL RMC TELAV AHMEDABAD SHREE CEMEN","A4","P2125",""
"SCL RMC MEDCHAL HYDERABAD SHREE CEM","A4","P2126",""
"SCL RMC MANJARI PUNE SHREE CEMENT L","A4","P2127",""
"SCL RMC KHORDHA ROAD BHUBNESWAR SHR","A4","P2128",""
"SCL RMC NELLORE SHREE CEMENT LIMITE","A4","P2129",""
"SCL RMC TIRUPATI SHREE CEMENT LIMIT","A4","P2130",""
"SCL RMC BHIWADI SHREE CEMENT LIMITE","A4","P2131",""
"SCL RMC UDAIPUR SHREE CEMENT LIMITE","A4","P2132",""
"SCL RMC PATNA NAUBATPUR SHREE CEMEN","A4","P2133",""
"SCL RMC RAJARHAT KOLKATA","A4","P2134",""
"SCL RMC MALHARGANJ INDORE","A4","P2135",""
"SCL RMC MARUNJI PUNE","A4","P2136",""
"SCL RMC EAST ZONE","","P2502",""
"SCL RMC WEST ZONE","","P2503",""
"SCL RMC SOUTH ZONE","","P2504",""
"UP BIJNOR (T) SC TR","A2","P3700",""
"UP BIJNOR (T) BG TR","A2","P3701",""
"UP BIJNOR (T) RS TR","A2","P3702",""
"UK DOIWALA (T) SC TR- CLOSED","A2","P3703",""
"OD MANGULI CHOWK TR RD?","A2","P3735",""
"OD SAMBALPUR TR RD","A2","P3736",""
"OD BARGARH TR RD","A2","P3737",""
"OD JHARSUGUDA TR RD","A2","P3738",""
"OD SUNDARGARH TR RD","A2","P3739",""
"RJ BARAN TR","A2","P3740",""
"UP CHANDAULI RD TR","A2","P3741",""
"OD ROURKELA TR RD","A2","P3742",""
"OD JARAKA TR RD","A2","P3745",""
"BR SAMASTIPUR TR","A2","P3746",""
"BR SAMASTIPUR TR RSD SHREE CEMENT L","A2","P3747",""
"BR TAJPUR TR [VD]","A2","P3748",""
"RJ VATIKA TR","A2","P3749",""
"GJ LIMBADIYA NT (TP)","A2","P3750",""
"PB SANGRUR TR","A2","P3751",""
"BR PANIGHATTA SALMARI TR","","P3752",""
"WB TR BOYERMARI VD SHREE CEMENT LIM","A2","P3753",""
"CG BHATAPARA HUB","A2","P3754",""
"JH HATIA TR RSD SHREE CEMENT LIMITE","A2","P3755",""
"JH DALTONGANJ TR RSD","","P3757",""
"MH KOLHAPUR RSD TR SHREE CEMENT LIM","","P3758",""
"GJ MODASA TR","A2","P3759",""
"RJ JHALRAPATAN TR","A2","P3760",""
"GJ LIMBADIYA BULK","A2","P3761",""
"MH VAIBHAVWADI TR","A2","P3762",""
"BR BUXAR TR","A2","P3764",""
"BR BUXAR TR RSD","A2","P3765",""
"BR ARA TR RSD","A2","P3766",""
"WB TR RD KRISHNANAGAR","A2","P3769",""
"WB TR KRISHNANAGAR RSD","A2","P3770",""
"WB TR NANDAKUMAR VD","A2","P3771",""
"PB PATIALA TR","A2","P3772",""
"OR -CUTTACK-RLY SIDING","A2","P3773",""
"OR -RJGR-RLY SIDING SHREE CEMENT LI","A2","P3774",""
"CG DHAMTARI SOW","A2","P3775",""
"UP SC NAKAHA JUNGLE TR RSD","A2","P3776",""
"UP BC NAKAHA JUNGLE TR RSD","A2","P3777",""
"UP BC DEORIA TR RSD SHREE CEMENT LI","A2","P3778",""
"UP SC DEORIA TR RSD","A2","P3779",""
"RJ BUNDI TR","A2","P3782",""
"UP BC DEORIA TR RSD","A2","P3783",""
"MH BARAMATI TR","A2","P3785",""
"MH PANDHARPUR TR","A2","P3786",""
"MH MHASANE PHATA TR","A2","P3788",""
"RJ NAGAUR TR","A2","P3789",""
"RJ SRI DUNGARGARH TR","A2","P3790",""
"NEEMUCH MP","A3","P3791",""
"JH RANCHI POLE FACTORY TR","A2","P3792",""
"KA GNGAVATHI TR","A2","P3797",""
"RJ BARMER TR","A2","P3799",""
"KA YELHANKA TR","A2","P3800",""
"KA PEENYA TR","A2","P3801",""
"MH BALINGE TR","A2","P3802",""
"MH GADHINGLAJ TR","A2","P3803",""
"MH CHIPRI TR","A2","P3804",""
"MH LONI TR","A2","P3805",""
"MH SOLAPUR TR","A2","P3807",""
"HR TOHANA BG TR","A2","P3809",""
"MP BALAGHAT TR [VD]","A2","P3810",""
"HP BHOTA TR","A2","P3811",""
"RJ CHHOKARWARA TR","A2","P3812",""
"RJ BEAWAR BTST","A1","P3813",""
"RJ SURATGARH BTST","A1","P3814",""
"RJ PINDWARA TR","A2","P3815",""
"KA RAMANAGARA TR","A2","P3816",""
"WB SURJAPUR TR","A2","P3817",""
"WB SURJAPUR TR RSD SHREE CEMENT LIM","A2","P3818",""
"MH JALGAON TR","A2","P3819",""
"MH NAGPUR TR [VD]","A2","P3820",""
"WB KALIGHAT TR","A2","P3821",""
"WB KALIGHAT TR RSD","A2","P3822",""
"MH CHALISGAON TR","A2","P3823",""
"UP SC PHEPHANA TR RSD","A2","P3824",""
"UP BC PHEPHANA TR RSD","A2","P3825",""
"DL BATLA HOUSE TR","A2","P3826",""
"RJ KHUSHKHERA BTST","A1","P3829",""
"DL ADARSH NAGAR TR RSD","A2","P3830",""
"MP GUNA SC TR RSD","A2","P3831",""
"MP GUNA BG TR RSD","A2","P3832",""
"HR YAMUNANAGAR RSD","A2","P3833",""
"GJ PATAN TR","A2","P3834",""
"HR MAHENDRAGARH TR","A2","P3835",""
"GJ IDAR TR","A2","P3836",""
"MH WAI TR","A2","P3837",""
"GJ MORBI TR","A2","P3838",""
"RJ RNCU BTST","A1","P3839",""
"MH CWC- KALAMBOLI TR","A2","P3840",""
"HR SATROD (HSR) RSD","A2","P3841",""
"PB CHANDIGARH TR RSD","A2","P3842",""
"PB CHANDIGARH NTR RSD","A2","P3843",""
"MP JABALPUR TR","A2","P3844",""
"BR ROSERA TR [VD]","A2","P3845",""
"MH TROMBAY- MAHUL TR","A2","P3846",""
"KA RAMANAGARA TR","A2","P3847",""
"WB KULSONA TR [VD]","A2","P3848",""
"WB VIDYANAGAR TR [VD]","A2","P3849",""
"MP NEEMUCH SOW","A2","P3850",""
"UP GAURIGANJ SC TR","A2","P3851",""
"UP GAURIGANJ SC TR","","P3852",""
"HP KANGOO MANDI - NT","A2","P3853",""
"PB KHARAR TR","A2","P3854",""
"HP MEHATPUR  UNA - TR","A2","P3855",""
"UP FAIZABAD TR","A2","P3857",""
"UP FAIZABAD SC TR","A2","P3858",""
"UP BAHRAICH TR","A2","P3859",""
"UP TR RD BALRAMPUR","A2","P3860",""
"UP BANDA TR","A2","P3861",""
"UP BASTI BG TR","A2","P3862",""
"UP HAMIRPUR TR","A2","P3863",""
"UP KAUSHAMBI TR","A2","P3864",""
"UP PRATAPGARH TR","A2","P3865",""
"UP KHALILABAD BG TR","A2","P3866",""
"UP SHRAWASTI TR","A2","P3867",""
"UP FATEHPUR TR","A2","P3868",""
"UP GONDA TR","A2","P3869",""
"UP HARDOI TR","A2","P3870",""
"UP KANPUR NAGAR BG TR","A2","P3871",""
"UP KANPUR NAGAR-II BG TR","A2","P3872",""
"UP KANPUR SC TR","A2","P3873",""
"UP LUCKNOW SC TR","A2","P3874",""
"UP ALAMNAGAR BG TR","A2","P3875",""
"UP PRAGYARAJ TR","A2","P3876",""
"UP SAHSON TR","A2","P3877",""
"UP RAEBARELI TR","A2","P3878",""
"UP SHAHJAHANPUR BG TR","A2","P3879",""
"UP SHAHJAHANPUR SC TR","A2","P3880",""
"UP SITAPUR TR","A2","P3881",""
"UP SULTANPUR TR","A2","P3882",""
"UP UNNAO SC TR","A2","P3883",""
"UP GAURIGANJ TR","A2","P3884",""
"UP SIKHOHABAD TR RD","A2","P3885",""
"UP ETAWAH BG TR","A2","P3886",""
"UP ETAWAH SC TR","A2","P3887",""
"UP FARUKKHABAD SC TR","A2","P3888",""
"UP FARUKKHABAD BG TR","A2","P3889",""
"UP FARUKKHABAD RS TR","A2","P3890",""
"UP MAINPURI SC TR","A2","P3891",""
"UP MAINPURI BG TR","A2","P3892",""
"UP KANNAUJ BG TR","A2","P3893",""
"HR JIND TR","A2","P3894",""
"HR KAITHAL TR","A2","P3895",""
"SCEPL ETAH YARD","A2","P3896",""
"MH AURANGABAD 1 TR","A2","P3897",""
"MH AURANGABAD 2 TR","A2","P3898",""
"RJ SAGWARA TR","A2","P3899",""
"MP BALAGHAT TR","A2","P3900",""
"PB MANSA TR","A2","P3905",""
"RJ CHANDAWAL TR","A2","P3907",""
"RJ RAMGARH TR","A2","P3908",""
"RJ CHIRAWA TR","A2","P3909",""
"WB COSSIMBAZAR RAJ TR","A2","P3910",""
"WB COSSIMBAZAR RAJ TR RSD","A2","P3911",""
"GJ RAJKOT TR","A2","P3912",""
"WB DHULIYAN TR","A2","P3913",""
"WB DHULIYAN TR RSD","A2","P3914",""
"RJ CHIRAWA TR","A2","P3915",""
"MH AKLUJ TR","A2","P3916",""
"MH KURDUWADI?TR","A2","P3918",""
"WB DHULIYAN TR VD","A2","P3919",""
"UP PILIBHIT SC TR","A2","P3920",""
"UP PILIBHIT BG TR","A2","P3921",""
"UP PILIBHIT RC TR","A2","P3922",""
"MH BEED TR","A2","P3924",""
"MH AMBAJOGAI TR","A2","P3925",""
"MH BHOOM TR","A2","P3926",""
"MH OSMANABAD TR","A2","P3927",""
"MP SHIVPURI TR RSD","A2","P3928",""
"UP AGRA BG TR","A2","P3929",""
"UP AGRA RS TR","A2","P3930",""
"UP AGRA SC TR","A2","P3931",""
"MP SHIVPURI TR","A2","P3932",""
"UP CHANETI RS TR","A2","P3933",""
"UP CHANETI SC TR","A2","P3934",""
"UP BAREILLY-II BG TR","A2","P3935",""
"UP MATHURA RS TR","A2","P3936",""
"UP MATHURA SC TR","A2","P3937",""
"UP MATHURA BG TR","A2","P3938",""
"UP HATHRAS BG TR E","A2","P3939",""
"UP HATHRAS RS TR E","A2","P3940",""
"UP HATHRAS SC TR E","A2","P3941",""
"UP ALIGARH SC TR E","A2","P3942",""
"UP ALIGARH BG TR E","A2","P3943",""
"UP ALIGARH RS TR E","A2","P3944",""
"UP KAGAROL SC TR E","A2","P3945",""
"UP KAGAROL BG TR E","A2","P3946",""
"UP KAGAROL RS TR E","A2","P3947",""
"UP RAMPUR BG TR E","A2","P3948",""
"UP RAMPUR SC TR E","A2","P3949",""
"UP RAMPUR SC-2 TR E","A2","P3950",""
"UP RAMPUR RC TR E","A2","P3951",""
"UP MORADABAD BG TR E","A2","P3952",""
"UP MORADABAD BG-2 TR E","A2","P3953",""
"UP MORADABAD SC TR E","A2","P3954",""
"UP MORADABAD RC TR E","A2","P3955",""
"DL KOTLA TP","A2","P3956",""
"PB PATHANKOT SOW STH","A2","P3957",""
"PB PATHANKOT SOW RAS","A2","P3958",""
"PB PATHANKOT SOW NWL","A2","P3959",""
"UP GHAZIABAD TR","A2","P3960",""
"UP GHAZIABAD RSD","A2","P3961",""
"UP GHAZIABAD NT RSD","A2","P3962",""
"UP NOIDA TR","A2","P3964",""
"UP GHAZIABAD NT","A2","P3965",""
"UP GTR NOIDA TR","A2","P3966",""
"UP LONI TR","A2","P3967",""
"UP HAPUR TR","A2","P3968",""
"UP MEERUT TR-3969","A2","P3969",""
"UP MEERUT TR RSD","A2","P3970",""
"UP MEERUT NT RSD","A2","P3971",""
"UP MEERUT NT","A2","P3972",""
"UP ETAWAH TR E","A2","P3973",""
"UP MAINPURI TR E","A2","P3974",""
"PB RAJPURA SOW STH","A2","P3975",""
"GJ VISNAGAR TR","A2","P3976",""
"PB MALOUT TR","A2","P3977",""
"PB RAIKOT SOW STH","A2","P3978",""
"PB RAIKOT SOW RAS","A2","P3979",""
"UP AZAMGARH SC TR","A2","P3980",""
"UP AZAMGARH BG TR","A2","P3981",""
"UP MAU SC TR","A2","P3982",""
"UP MAU BG II TR","A2","P3983",""
"UP VARANASI TR","A2","P3984",""
"UP MAHARAJGANJ TR","A2","P3985",""
"UP MAHARAJGANJ BG TR","A2","P3986",""
"UP DEORIA SC TR","A2","P3987",""
"UP BAITALPUR BG TR","A2","P3988",""
"UP SHIVPUR TR","A2","P3989",""
"UP BHADOHI BG TR","A2","P3990",""
"UP GORAKHPUR TR","A2","P3991",""
"UP JAUNPUR TR","A2","P3992",""
"AP SRIKAKULAM TR","A2","P3993",""
"AP VIZIANAGARAM TR","A2","P3994",""
"PB MEHARBANPUR TR","A2","P3995",""
"AP ANAKAPALLI TR","A2","P3996",""
"UP AMBEDKARNAGAR RD TR","A2","P3997",""
"MH AMBAD NSK TR","A2","P3998",""
"MH BARSHI?TR","A2","P3999",""
"AP ADONI TR","A2","P4000",""
"AP VIJAYAWADA PIPE ROAD TR","A2","P4001",""
"AP KURNOOL BG TR","A2","P4002",""
"AP NELLORE TR","A2","P4003",""
"BR ANUGRAH NARAYAN BG TR RSD","A2","P4004",""
