"VKORG","VSTEL","ERDAT","KUNNR","LFART","ERNAM","VBELN","ZZVBELN"
"1000","1000","23.03.2026","P3813","ZNL","S004153","9003414355","0004318752"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003416337","0004315389"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003416339","0004315389"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003416340","0004315389"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003417150","0004315389"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003417157","0004315389"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003417375","0004317871"
"1000","1000","23.03.2026","P3813","ZNL","S013488","9003417383","0004317871"
"1000","1008","23.03.2026","P3814","ZNL","S020444","9003418226","0004319285"
"1000","1008","24.03.2026","P3814","ZNL","S020444","9003418966","0004319285"
"1000","1000","24.03.2026","P3813","ZNL","S013488","9003422247","0004321848"
"1000","1008","24.03.2026","P3814","ZNL","S020444","9003422399","0004320253"
"1000","1008","24.03.2026","P3814","ZNL","S020444","9003422401","0004320253"
"1000","1008","24.03.2026","P3814","ZNL","S020444","9003422402","0004320253"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003422423","0004322286"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003422494","0004322262"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003422495","0004322262"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003422496","0004322262"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003422546","0004322262"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003422558","0004322262"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003423993","0004323472"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003424485","0004324017"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003426305","0004325065"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003426335","0004325283"
"1000","1000","24.03.2026","P3813","ZNL","S004153","9003426532","0004324794"
"1000","1008","24.03.2026","P3814","ZNL","S011504","9003426979","0004323593"
"1000","1008","24.03.2026","P3814","ZNL","S011504","9003426991","0004323593"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003427543","0004325432"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003428098","0004325836"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003428917","0004326872"
"1000","1000","24.03.2026","P3813","ZNL","S020126","9003428931","0004326872"
"1000","1000","24.03.2026","P3813","ZNL","S013488","9003429494","0004315389"
"1000","1000","24.03.2026","P3813","ZNL","S013488","9003429506","0004315389"
"1000","1000","24.03.2026","P3813","ZNL","S013488","9003429509","0004315389"
"1000","1000","24.03.2026","P3813","ZNL","S013488","9003429523","0004326872"
"1000","1000","24.03.2026","P3813","ZNL","S013488","9003429630","0004325764"
"1000","1000","25.03.2026","P3813","ZNL","S001520","9003432760","0004322110"
"1000","1000","25.03.2026","P3813","ZNL","S001520","9003433024","0004325432"
"1000","1000","25.03.2026","P3813","ZNL","S001520","9003433026","0004323472"
"1000","1000","25.03.2026","P3813","ZNL","S001520","9003433027","0004327076"
"1000","1000","25.03.2026","P3813","ZNL","S001520","9003433028","0004322182"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003434124","0004329026"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003434136","0004329053"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003434246","0004327046"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003434374","0004323615"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003434375","0004323615"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003434376","0004323615"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003434378","0004323615"
"1000","1000","25.03.2026","P3813","ZNL","S004153","9003434709","0004329508"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003436638","0004331761"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003436649","0004331746"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003436707","0004323615"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003436730","0004323615"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003436973","0004332104"
"1000","1008","25.03.2026","P3814","ZNL","S011504","9003437083","0004332162"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003438498","0004332104"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003438726","0004332269"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003438738","0004332269"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003438739","0004332269"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003438764","0004330650"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003438779","0004330650"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003439300","0004331350"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003439302","0004331350"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003439304","0004331350"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003439498","0004332758"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003439511","0004332824"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003439534","0004333214"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003439535","0004333214"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003439556","0004333878"
"1000","1000","25.03.2026","P3813","ZNL","S020126","9003440250","0004332994"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003440825","0004334177"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003440865","0004333058"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003440866","0004333058"
"1000","1008","25.03.2026","P3814","ZNL","S010776","9003440867","0004333058"
"1000","1008","25.03.2026","P3814","ZNL","S018220","9003441515","0004335643"
"1000","1008","25.03.2026","P3814","ZNL","S018220","9003441527","0004333360"
"1000","1008","25.03.2026","P3814","ZNL","S018220","9003441533","0004335658"
"1000","1008","25.03.2026","P3814","ZNL","S018220","9003442852","0004335794"
"1000","1008","25.03.2026","P3814","ZNL","S018220","9003442854","0004335794"
"1000","1008","25.03.2026","P3814","ZNL","S018220","9003444121","0004336474"
"1000","1000","25.03.2026","P3813","ZNL","S004153","9003445058","0004332708"
"1000","1008","25.03.2026","P3814","ZNL","S020444","9003445352","0004336932"
"1000","1008","25.03.2026","P3814","ZNL","S020444","9003445353","0004336932"
"1000","1008","25.03.2026","P3814","ZNL","S020444","9003445354","0004333360"
"1000","1008","25.03.2026","P3814","ZNL","S020444","9003445355","0004336452"
"1000","1000","25.03.2026","P3813","ZNL","S004153","9003445435","0004332708"
"1000","1008","26.03.2026","P3814","ZNL","S020444","9003445523","0004335801"
"1000","1008","26.03.2026","P3814","ZNL","S020444","9003445566","0004336495"
"1000","1008","26.03.2026","P3814","ZNL","S020444","9003445567","0004336495"
"1000","1008","26.03.2026","P3814","ZNL","S020444","9003445988","0004331350"
"1000","1008","26.03.2026","P3814","ZNL","S020444","9003445989","0004331350"
"1000","1008","26.03.2026","P3814","ZNL","S011504","9003446376","0004335565"
"1000","1008","26.03.2026","P3814","ZNL","S011504","9003446392","0004331751"
"1000","1008","26.03.2026","P3814","ZNL","S011504","9003446393","0004331755"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003447037","0004337470"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003447038","0004337470"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003447132","0004337492"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003447232","0004337449"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003447233","0004337449"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003448739","0004337966"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003448853","0004338286"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003449235","0004337558"
"1000","1000","26.03.2026","P3813","ZNL","S020126","9003449254","0004339093"
