"FAKSK","VTWEG","ERDAT","KUNNR","VBELN","SPART","LIFSK","ERNAM","CMGST","GBSTK","AUART"
"","10","10.08.2026","0011013994","0005284000","10","","SCLADMIN","A","B","ZTRD"
"","10","10.08.2026","0011006311","0005284001","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011015012","0005284002","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011022326","0005284003","10","","SCLADMIN","B","B","ZTRD"
"","10","10.08.2026","0011099003","0005284004","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011083904","0005284005","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011026230","0005284006","10","","SCLADMIN","B","B","ZTRD"
"","10","10.08.2026","0011053093","0005284007","10","","SH01337","A","C","ZTRD"
"","20","10.08.2026","0011021041","0005284008","10","","S013232","A","C","ZNTR"
"","10","10.08.2026","0011041313","0005284009","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011027312","0005284010","10","","SCLADMIN","B","C","ZTRD"
"","10","10.08.2026","0011036351","0005284011","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011109529","0005284012","10","","S023539","A","C","ZNTR"
"","10","10.08.2026","0011026230","0005284013","10","","SCLADMIN","B","C","ZTRD"
"","10","10.08.2026","0011021286","0005284014","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011103713","0005284015","10","","S020603","A","C","ZNTR"
"","20","10.08.2026","0011030199","0005284016","10","","S013232","A","C","ZNTR"
"","10","10.08.2026","0011036351","0005284017","10","","SCLADMIN","B","B","ZTRD"
"","10","10.08.2026","0011043410","0005284018","10","","SH01337","A","C","ZTRD"
"","10","10.08.2026","0011026230","0005284019","10","","SCLADMIN","B","B","ZTRD"
"","10","10.08.2026","0011021286","0005284020","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011107700","0005284021","10","","S020603","A","B","ZNTR"
"","10","10.08.2026","0011110185","0005284022","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011102618","0005284023","10","","S020603","A","","ZNTR"
"","20","10.08.2026","0011070022","0005284024","10","","S020603","A","C","ZNTR"
"","10","10.08.2026","0011029045","0005284025","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011047602","0005284026","10","","SCLADMIN","D","C","ZTRD"
"","20","10.08.2026","0011102479","0005284027","10","","S020603","A","C","ZNTR"
"","10","10.08.2026","0011115006","0005284028","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011049341","0005284029","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011028151","0005284030","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011075706","0005284031","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011070042","0005284032","10","","S020603","A","B","ZNTR"
"","20","10.08.2026","0011115214","0005284033","20","","S020355","A","B","ZRNT"
"","10","10.08.2026","0011022326","0005284034","10","","SCLADMIN","B","B","ZTRD"
"","10","10.08.2026","0011050604","0005284035","10","","SCLADMIN","B","C","ZTRD"
"","10","10.08.2026","0011025513","0005284036","10","","SCLADMIN","B","C","ZTRD"
"","20","10.08.2026","0011098208","0005284037","10","","S013232","B","B","ZNTR"
"","10","10.08.2026","0011036622","0005284038","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011075706","0005284039","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011070042","0005284040","10","","S020603","A","C","ZNTR"
"","10","10.08.2026","0011041881","0005284041","10","","SCLADMIN","A","B","ZTRD"
"","10","10.08.2026","0011106643","0005284042","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011050604","0005284043","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011100678","0005284044","10","","S020603","A","B","ZNTR"
"","10","10.08.2026","0011113499","0005284045","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011050604","0005284046","10","","SCLADMIN","B","C","ZTRD"
"","10","10.08.2026","0011028151","0005284047","10","","SCLADMIN","B","C","ZTRD"
"","10","10.08.2026","0011022326","0005284048","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011100678","0005284049","10","","S020603","A","C","ZNTR"
"","10","10.08.2026","0011057499","0005284050","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011038985","0005284051","10","","SCLADMIN","A","B","ZTRD"
"","10","10.08.2026","0011050298","0005284052","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011028908","0005284053","10","","S020603","A","C","ZNTR"
"","20","10.08.2026","0011111458","0005284054","10","","S023539","A","C","ZNTR"
"","10","10.08.2026","0011088424","0005284055","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011028908","0005284056","10","","S020603","A","C","ZNTR"
"","10","10.08.2026","0011088424","0005284057","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011036351","0005284058","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011039649","0005284059","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011038985","0005284060","10","","SCLADMIN","A","B","ZTRD"
"","10","10.08.2026","0011020694","0005284061","10","","SCLADMIN","A","C","ZTRD"
"","20","10.08.2026","0011102479","0005284062","10","","S020603","A","B","ZNTR"
"","10","10.08.2026","0011104840","0005284063","10","","S016159","A","C","ZTRD"
"","10","10.08.2026","0011008721","0005284064","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011057499","0005284065","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011045771","0005284066","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011029099","0005284067","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011029099","0005284068","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011073559","0005284069","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011079965","0005284070","10","","SCLADMIN","B","B","ZTRD"
"","10","10.08.2026","0011028151","0005284071","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011044867","0005284072","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011097759","0005284073","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011051642","0005284074","10","","SCLADMIN","A","C","ZTRD"
"","10","10.08.2026","0011043374","0005284075","10","","SCLADMIN","A","C","ZTRD"
