"KWMENG","WERKS","LFSTA","VSTEL","POSNR","GBSTA","PSTYV","ABGRU","VRKME","MATNR","VBELN"
"2.500","6838","A","6838","000010","A","ZO99","","TO","000000000015000266","0005284000"
"6","6924","A","6924","000010","C","ZO99","22","TO","000000000015000264","0005284001"
"6","1004","C","1004","000010","C","ZO99","","TO","000000000015000443","0005284002"
"32","4275","A","4275","000010","A","ZO99","","TO","000000000015000458","0005284003"
"10","1041","C","1041","000010","C","ZO99","","TO","000000000015000114","0005284004"
"2.500","8178","C","8178","000010","C","ZO99","","TO","000000000015000458","0005284005"
"12","5415","A","5415","000010","A","ZO99","","TO","000000000015000118","0005284006"
"6","6022","C","6022","000010","C","ZO99","","TO","000000000015000354","0005284007"
"45","1004","C","1004","000010","C","ZO99","","TO","000000000015000177","0005284008"
"20","1044","C","1044","000010","C","ZO99","","TO","000000000015000262","0005284009"
"15","4424","A","4424","000010","C","ZO99","22","TO","000000000015000114","0005284010"
"25","8203","C","8203","000010","C","ZO99","","TO","000000000015000262","0005284011"
"40","1079","C","1079","000010","C","ZO99","","TO","000000000015000194","0005284012"
"15","5415","A","5415","000010","C","ZO99","22","TO","000000000015000115","0005284013"
"50","8261","C","8261","000010","C","ZO99","","TO","000000000015000114","0005284014"
"25","5415","C","5415","000010","C","ZO99","","TO","000000000015000208","0005284015"
"50","1004","C","1004","000010","C","ZO99","","TO","000000000015000177","0005284016"
"25","8203","A","8203","000010","A","ZO99","","TO","000000000015000262","0005284017"
"18","8058","C","8058","000010","C","ZO99","","TO","000000000015000458","0005284018"
"15","5415","A","5415","000010","A","ZO99","","TO","000000000015000115","0005284019"
"25","8261","C","8261","000010","C","ZO99","","TO","000000000015000114","0005284020"
"25","5415","A","5415","000010","A","ZO99","","TO","000000000015000208","0005284021"
"15","1005","C","1005","000010","C","ZO99","","TO","000000000015000266","0005284022"
"0","5415","","5415","000010","","ZO99","","TO","000000000015000208","0005284023"
"25","5415","C","5415","000010","C","ZO99","","TO","000000000015000208","0005284024"
"7","5415","C","5415","000010","C","ZO99","","TO","000000000015000115","0005284025"
"16","1045","C","1045","000010","C","ZO99","","TO","000000000015000458","0005284026"
"25","5415","C","5415","000010","C","ZO99","","TO","000000000015000208","0005284027"
"25","1040","C","1040","000010","C","ZO99","","TO","000000000015000262","0005284028"
"18","1014","C","1014","000010","C","ZO99","","TO","000000000015000266","0005284029"
"25","1041","C","1041","000010","C","ZO99","","TO","000000000015000114","0005284030"
"30","4907","C","4907","000010","C","ZO99","","TO","000000000015000262","0005284031"
"25","5415","B","5415","000010","B","ZO99","","TO","000000000015000474","0005284032"
"4","2105","A","2105","000010","A","ZRMC","","M3","000000000023000832","0005284033"
"32","5206","A","5206","000010","A","ZO99","","TO","000000000015000458","0005284034"
"10","1012","A","1012","000010","C","ZO99","22","TO","000000000015000266","0005284035"
"10","1045","A","1045","000010","C","ZO99","22","TO","000000000015000114","0005284036"
"45","1006","A","1006","000010","A","ZO99","","TO","000000000015000177","0005284037"
"7","5415","C","5415","000010","C","ZO99","","TO","000000000015000115","0005284038"
"10","4907","C","4907","000010","C","ZO99","","TO","000000000015000262","0005284039"
"40","5415","C","5415","000010","C","ZO99","","TO","000000000015000238","0005284040"
"20","1005","B","1005","000010","B","ZO99","","TO","000000000015000266","0005284041"
"25","6805","C","6805","000010","C","ZO99","","TO","000000000015000069","0005284042"
"5","1012","A","1012","000010","C","ZO99","22","TO","000000000015000266","0005284043"
"25","5415","B","5415","000010","B","ZO99","","TO","000000000015000210","0005284044"
"12","1002","C","1002","000010","C","ZO99","","TO","000000000015000358","0005284045"
"7","1012","A","1012","000010","C","ZO99","22","TO","000000000015000266","0005284046"
"35","1041","A","1041","000010","C","ZO99","22","TO","000000000015000445","0005284047"
"30","4275","C","4275","000010","C","ZO99","","TO","000000000015000458","0005284048"
"25","5415","C","5415","000010","C","ZO99","","TO","000000000015000208","0005284049"
"13","5415","C","5415","000010","C","ZO99","","TO","000000000015000459","0005284050"
"3","6788","A","6788","000010","A","ZO99","","TO","000000000015000444","0005284051"
"18","1044","C","1044","000010","C","ZO99","","TO","000000000015000262","0005284052"
