"VSART","VBELN","POSNR","SDABW","INCO1"
"01","0005284000","000000","SP01","FTB"
"01","0005284000","000010","SP01","FTP"
"01","0005284001","000000","SP01","FTB"
"01","0005284001","000010","SP01","FTB"
"01","0005284002","000000","SP01","FTB"
"01","0005284002","000010","SP01","FTB"
"01","0005284003","000000","SP02","FTB"
"01","0005284003","000010","SP02","FTP"
"01","0005284004","000000","SP01","FTB"
"01","0005284004","000010","SP01","FTB"
"01","0005284005","000000","SP02","FTB"
"01","0005284005","000010","SP02","EXP"
"01","0005284006","000000","SP01","FTB"
"01","0005284006","000010","SP01","FTB"
"01","0005284007","000000","SP02","FTP"
"01","0005284007","000010","SP02","FTP"
"01","0005284008","000000","VT01","FTB"
"01","0005284009","000000","SP01","FTB"
"01","0005284009","000010","SP01","FTB"
"01","0005284010","000000","SP01","FTB"
"01","0005284010","000010","SP01","FTP"
"01","0005284011","000000","SP01","FTB"
"01","0005284011","000010","SP01","EXP"
"01","0005284012","000000","VT01","FTB"
"01","0005284013","000000","SP01","FTB"
"01","0005284013","000010","SP01","FTB"
"01","0005284014","000000","SP05","EXP"
"01","0005284014","000010","SP05","EXP"
"01","0005284015","000000","VT01","FTB"
"01","0005284015","000010","VT01","FTB"
"01","0005284016","000000","VT01","FTB"
"01","0005284016","000010","VT01","FTB"
"01","0005284017","000000","SP01","FTB"
"01","0005284017","000010","SP01","EXP"
"01","0005284018","000000","SP02","FTP"
"01","0005284018","000010","SP02","FTP"
"01","0005284019","000000","SP01","FTB"
"01","0005284019","000010","SP01","FTB"
"01","0005284020","000000","SP05","EXP"
"01","0005284020","000010","SP05","EXP"
"01","0005284021","000000","VT01","FTB"
"01","0005284022","000000","SP01","FTB"
"01","0005284022","000010","SP01","FTB"
"01","0005284023","000000","VT01","FTB"
"01","0005284024","000000","VT01","FTB"
"01","0005284024","000010","VT01","FTB"
"01","0005284025","000000","SP01","FTB"
"01","0005284025","000010","SP01","FTB"
"01","0005284026","000000","SP01","FTB"
"01","0005284026","000010","SP01","FTB"
"01","0005284027","000000","VT01","FTB"
"01","0005284027","000010","VT01","FTB"
"01","0005284028","000000","SP01","FTB"
"01","0005284028","000010","SP01","FTB"
"01","0005284029","000000","SP01","FTB"
"01","0005284029","000010","SP01","FTB"
"01","0005284030","000000","SP01","FTB"
"01","0005284030","000010","SP01","FTB"
"01","0005284031","000000","SP01","FTB"
"01","0005284031","000010","SP01","EXP"
"01","0005284032","000000","VT01","FTB"
"01","0005284032","000010","VT01","FTB"
"","0005284033","000000","","FTB"
"01","0005284034","000000","SP05","FTB"
"01","0005284034","000010","SP05","FTP"
"01","0005284035","000000","SP01","FTB"
"01","0005284035","000010","SP01","FTB"
"01","0005284036","000000","SP01","FTB"
"01","0005284036","000010","SP01","FTB"
"01","0005284037","000000","VT01","FTB"
"01","0005284037","000010","VT01","FTB"
"01","0005284038","000000","SP01","FTB"
"01","0005284038","000010","SP01","FTB"
"01","0005284039","000000","SP01","FTB"
"01","0005284039","000010","SP01","EXP"
"01","0005284040","000000","VT01","FTB"
"01","0005284040","000010","VT01","FTB"
"01","0005284041","000000","SP01","FTB"
"01","0005284041","000010","SP01","FTB"
"01","0005284042","000000","SP01","FTB"
"01","0005284042","000010","SP01","FTB"
"01","0005284043","000000","SP01","FTB"
"01","0005284043","000010","SP01","FTB"
"01","0005284044","000000","VT01","FTB"
"01","0005284044","000010","VT01","FTB"
"01","0005284045","000000","SP01","FTB"
"01","0005284045","000010","SP01","FTB"
"01","0005284046","000000","SP01","FTB"
"01","0005284046","000010","SP01","FTB"
"01","0005284047","000000","SP01","FTB"
"01","0005284047","000010","SP01","FTB"
"01","0005284048","000000","SP02","FTB"
"01","0005284048","000010","SP02","FTP"
"01","0005284049","000000","VT01","FTB"
"01","0005284049","000010","VT01","FTB"
"01","0005284050","000000","SP01","FTB"
"01","0005284050","000010","SP01","FTB"
"01","0005284051","000000","SP01","FTB"
"01","0005284051","000010","SP01","FTB"
"01","0005284052","000000","SP01","FTB"
"01","0005284052","000010","SP01","FTB"
"01","0005284053","000000","VT01","FTB"
"01","0005284053","000010","VT01","FTB"
"01","0005284054","000000","VT01","FTB"
"01","0005284055","000000","SP01","FTB"
"01","0005284055","000010","SP01","FTB"
"01","0005284056","000000","VT01","FTB"
"01","0005284056","000010","VT01","FTB"
"01","0005284057","000000","SP01","FTB"
"01","0005284057","000010","SP01","FTB"
"01","0005284058","000000","SP01","FTB"
"01","0005284058","000010","SP01","EXP"
"01","0005284059","000000","SP01","FTB"
"01","0005284059","000010","SP01","FTB"
"01","0005284060","000000","SP01","FTB"
"01","0005284060","000010","SP01","FTB"
"01","0005284061","000000","SP01","FTB"
"01","0005284061","000010","SP01","FTB"
"01","0005284062","000000","VT01","FTB"
"01","0005284062","000010","VT01","FTB"
"01","0005284063","000000","SP01","FTB"
"01","0005284064","000000","SP01","FTB"
"01","0005284064","000010","SP01","FTB"
"01","0005284065","000000","SP01","FTB"
"01","0005284065","000010","SP01","FTB"
"01","0005284066","000000","SP02","FTB"
"01","0005284066","000010","SP02","EXP"
"01","0005284067","000000","SP01","FTB"
"01","0005284067","000010","SP01","FTB"
"01","0005284068","000000","SP01","FTB"
"01","0005284068","000010","SP01","FTB"
"01","0005284069","000000","SP01","FTB"
"01","0005284069","000010","SP01","FTP"
"01","0005284070","000000","SP02","EXP"
"01","0005284070","000010","SP05","EXP"
"01","0005284071","000000","SP01","FTB"
"01","0005284071","000010","SP01","FTB"
"01","0005284072","000000","SP01","FTB"
"01","0005284072","000010","SP01","FTB"
"01","0005284073","000000","SP01","FTB"
"01","0005284073","000010","SP01","FTB"
"01","0005284074","000000","SP01","FTB"
"01","0005284074","000010","SP01","FTB"
"01","0005284075","000000","SP01","FTB"
"01","0005284075","000010","SP01","EXP"
"01","0005284076","000000","SP01","FTB"
"01","0005284076","000010","SP01","FTP"
"01","0005284077","000000","SP01","FTB"
"01","0005284077","000010","SP01","FTB"
"01","0005284078","000000","SP01","FTB"
"01","0005284078","000010","SP01","FTP"
"01","0005284079","000000","SP01","FTB"
"01","0005284079","000010","SP01","FTB"
"01","0005284080","000000","SP01","FTB"
"01","0005284080","000010","SP01","FTB"
"01","0005284081","000000","SP01","FTB"
"01","0005284081","000010","SP01","EXP"
"01","0005284082","000000","SP02","FTB"
"01","0005284082","000010","SP02","EXP"
"01","0005284083","000000","SP01","FTB"
"01","0005284083","000010","SP01","FTB"
"01","0005284084","000000","SP01","FTB"
"01","0005284084","000010","SP01","FTP"
"01","0005284085","000000","SP01","FTB"
"01","0005284085","000010","SP01","FTP"
"01","0005284086","000000","SP01","FTB"
"01","0005284086","000010","SP01","FTP"
"01","0005284087","000000","SP01","FTB"
"01","0005284087","000010","SP01","FTB"
"01","0005284088","000000","SP01","FTB"
"01","0005284088","000010","SP01","FTB"
"01","0005284089","000000","SP01","FTB"
"01","0005284089","000010","SP01","FTB"
"01","0005284090","000000","SP01","FTB"
"01","0005284090","000010","SP01","FTB"
"01","0005284091","000000","SP01","FTB"
"01","0005284091","000010","SP01","FTP"
"01","0005284092","000000","SP02","FTP"
"01","0005284092","000010","SP02","FTP"
"01","0005284093","000000","SP01","FTB"
"01","0005284093","000010","SP01","FTB"
"01","0005284094","000000","SP02","FTP"
"01","0005284094","000010","SP02","FTP"
"01","0005284095","000000","SP01","FTB"
"01","0005284095","000010","SP01","FTB"
"01","0005284096","000000","SP01","FTB"
"01","0005284096","000010","SP01","FTP"
"01","0005284097","000000","SP02","FTB"
"01","0005284097","000010","SP02","EXP"
"01","0005284098","000000","SP02","FTP"
"01","0005284098","000010","SP02","FTP"
"01","0005284099","000000","SP01","FTB"
"01","0005284099","000010","SP01","FTB"
"01","0005284100","000000","SP01","FTB"
"01","0005284100","000010","SP01","FTP"
"01","0005284101","000000","SP01","FTB"
"01","0005284101","000010","SP01","EXP"
"01","0005284102","000000","SP01","FTB"
"01","0005284102","000010","SP01","FTB"
"01","0005284103","000000","SP01","FTB"
"01","0005284103","000010","SP01","FTB"
"01","0005284104","000000","SP01","FTB"
"01","0005284104","000010","SP01","FTP"
"","0005284105","000000","","FTB"
"","0005284105","000010","","FTB"
"01","0005284106","000000","SP01","FTB"
"01","0005284106","000010","SP01","FTB"
"01","0005284107","000000","SP01","FTB"
"01","0005284107","000010","SP01","FTP"
"01","0005284108","000000","SP01","FTB"
"01","0005284108","000010","SP01","EXP"
"01","0005284109","000000","SP01","FTB"
"01","0005284109","000010","SP01","FTB"
"01","0005284110","000000","SP01","FTB"
"01","0005284110","000010","SP01","FTP"
"01","0005284111","000000","SP01","FTB"
"01","0005284111","000010","SP01","EXP"
"01","0005284112","000000","SP01","FTB"
"01","0005284112","000010","SP01","FTB"
"01","0005284113","000000","VT01","FTB"
"01","0005284113","000010","VT01","FTB"
"01","0005284114","000000","SP01","FTB"
"01","0005284114","000010","SP01","FTB"
"01","0005284115","000000","SP01","FTB"
"01","0005284115","000010","SP01","EXP"
"01","0005284116","000000","VT01","FTB"
"01","0005284116","000010","VT01","FTB"
"01","0005284117","000000","SP01","FTB"
"01","0005284117","000010","SP01","FTP"
"01","0005284118","000000","SP01","FTB"
"01","0005284118","000010","SP01","FTB"
"01","0005284119","000000","SP01","FTB"
"01","0005284119","000010","SP01","FTB"
"01","0005284120","000000","SP01","FTB"
"01","0005284120","000010","SP01","FTB"
"01","0005284121","000000","SP02","FTP"
"01","0005284121","000010","SP02","FTP"
"01","0005284122","000000","SP01","FTB"
"01","0005284122","000010","SP01","FTB"
"01","0005284123","000000","SP07","FTB"
"01","0005284123","000010","SP07","EXP"
"01","0005284124","000000","SP01","FTB"
"01","0005284124","000010","SP01","FTP"
"01","0005284125","000000","SP01","FTB"
"01","0005284125","000010","SP01","FTB"
"01","0005284126","000000","VT01","FTB"
"01","0005284127","000000","","FTB"
"01","0005284128","000000","SP01","FTB"
"01","0005284128","000010","SP01","FTB"
"01","0005284129","000000","SP01","FTB"
"01","0005284129","000010","SP01","FTB"
"01","0005284130","000000","SP01","FTB"
"01","0005284130","000010","SP01","FTB"
"01","0005284131","000000","SP01","FTB"
"01","0005284131","000010","SP01","FTB"
"","0005284132","000000","","FTB"
"01","0005284133","000000","SP01","FTB"
"01","0005284133","000010","SP01","FTB"
"","0005284134","000000","","FTB"
"01","0005284135","000000","SP01","FTB"
"01","0005284135","000010","SP01","FTB"
"01","0005284136","000000","SP01","FTB"
"01","0005284136","000010","SP01","FTB"
"01","0005284137","000000","SP01","FTB"
"01","0005284137","000010","SP01","FTP"
"01","0005284138","000000","SP01","FTB"
"01","0005284138","000010","SP01","FTP"
"01","0005284139","000000","SP01","FTB"
"01","0005284139","000010","SP01","FTP"
"01","0005284140","000000","SP02","FTB"
"01","0005284140","000010","SP02","EXP"
"01","0005284141","000000","SP01","FTB"
"01","0005284141","000010","SP01","FTB"
"01","0005284142","000000","SP05","EXP"
"01","0005284142","000010","SP05","EXP"
"01","0005284143","000000","SP05","FTB"
"01","0005284143","000010","SP05","EXP"
"01","0005284144","000000","SP01","FTB"
"01","0005284144","000010","SP01","FTP"
"01","0005284145","000000","SP01","FTB"
"01","0005284145","000010","SP01","FTB"
"","0005284146","000000","","FTB"
"","0005284146","000010","","FTB"
"01","0005284147","000000","SP05","EXP"
"01","0005284147","000010","SP05","EXP"
"","0005284148","000000","","FTB"
"01","0005284149","000000","VT01","FTB"
"01","0005284149","000010","VT01","FTB"
"01","0005284150","000000","SP01","FTB"
"01","0005284150","000010","SP01","FTB"
"01","0005284151","000000","VT01","FTB"
"01","0005284152","000000","VT01","FTB"
"01","0005284152","000010","VT01","FTB"
"01","0005284153","000000","SP01","FTB"
"01","0005284153","000010","SP01","FTB"
"01","0005284154","000000","SP02","FTP"
"01","0005284154","000010","SP02","FTP"
"01","0005284155","000000","SP01","FTP"
"01","0005284155","000010","SP01","FTP"
"01","0005284156","000000","SP05","EXP"
