"FDNAM","VBELN","POSNR","FEHGR","TBNAM"
"BRGEW","0005284023","000010","ZO","VBAP"
"KWMENG","0005284023","000010","ZO","VBAP"
"NETWR","0005284023","000010","ZO","VBAP"
"NTGEW","0005284023","000010","ZO","VBAP"
"SDABW","0005284127","000000","ZS","VBKD"
"BRGEW","0005284135","000010","ZO","VBAP"
"KWMENG","0005284135","000010","ZO","VBAP"
"NETWR","0005284135","000010","ZO","VBAP"
"NTGEW","0005284135","000010","ZO","VBAP"
"BRGEW","0005284155","000010","ZO","VBAP"
"KWMENG","0005284155","000010","ZO","VBAP"
"NETWR","0005284155","000010","ZO","VBAP"
"NTGEW","0005284155","000010","ZO","VBAP"
"SDABW","0005284520","000000","ZS","VBKD"
"TRATY","0005284520","000000","ZS","VBKD"
"VSART","0005284520","000000","ZS","VBKD"
"SDABW","0005284571","000000","ZS","VBKD"
"TRATY","0005284571","000000","ZS","VBKD"
"VSART","0005284571","000000","ZS","VBKD"
"PRSOK","0005284571","000010","ZO","VBAP"
"PRSOK","0005284617","000010","ZO","VBAP"
"SDABW","0005284671","000000","ZS","VBKD"
"SDABW","0005284672","000000","ZS","VBKD"
"SDABW","0005284673","000000","ZS","VBKD"
"SDABW","0005284674","000000","ZS","VBKD"
"SDABW","0005284677","000000","ZS","VBKD"
"PRSOK","0005284776","000010","ZO","VBAP"
"PRSOK","0005284781","000010","ZO","VBAP"
"SDABW","0005284786","000000","ZS","VBKD"
"SDABW","0005284800","000000","ZS","VBKD"
"SDABW","0005284801","000000","ZS","VBKD"
"SDABW","0005284803","000000","ZS","VBKD"
"PRSOK","0005284810","000010","ZO","VBAP"
"SDABW","0005284812","000000","ZS","VBKD"
"SDABW","0005284813","000000","ZS","VBKD"
"SDABW","0005284855","000000","ZS","VBKD"
"SDABW","0005284856","000000","ZS","VBKD"
"SDABW","0005284860","000000","ZS","VBKD"
"SDABW","0005284861","000000","ZS","VBKD"
"SDABW","0005284897","000000","ZS","VBKD"
