17.09.2026            Dynamic List Display                                                                      1


	VBELN	ERNAM	ERDAT	VSTEL	LFART	INCO1	ROUTE	LIFSK	KUNNR	WADAT_IST	WERKS	SDABW	WBSTK	ZZVBELN

	9004860000	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424		4424
	9004860001	SH01092	31.07.2026	6786	ZNP	FTB	D41521		0020362992	31.07.2026		SP01	C
	9004860002	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424		4424
	9004860003	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424		4424
	9004860004	S023057	31.07.2026	1010	ZLF	EXW	RT0001		0011065831	31.07.2026			C
	9004860005	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424		4424
	9004860006	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424		4424
	9004860007	S018137	31.07.2026	1010	ZNP	FTB	Q16936		0040089083	31.07.2026			C
	9004860008	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424		4424
	9004860009	S018990	31.07.2026	1070	ZNL	EXP	P21969		P4424	31.07.2026	4424		C
	9004860010	SH01687	31.07.2026	4497	ZNP	FTP	E14989		0040035281	31.07.2026		SP01	C
	9004860011	S016577	31.07.2026	1014	ZNL	FTB	Q01027		P6582	31.07.2026	6582		C
	9004860012	SH01688	31.07.2026	6784	ZNP	FTB	D41484		0020360679	31.07.2026		SP03	C
	9004860013	S004788	31.07.2026	1073	ZLF	EXW	RT0001		0011078709	31.07.2026			C
	9004860014	S019617	31.07.2026	1301	ZLF	FTB	Q95276		0011113617	31.07.2026		RLCO	C
	9004860015	SH01473	31.07.2026	5593	ZNP	FTP	E27535		0020288412	31.07.2026		SP01	C
	9004860016	S023057	31.07.2026	1010	ZLF	EXW	RT0001		0011065831	31.07.2026			C
	9004860017	SH01607	31.07.2026	8027	ZNP	FTP	E42394		0011037816	31.07.2026		SP01	C
	9004860018	SH00321	31.07.2026	5008	ZNP	FTP	E10742		0020030337	31.07.2026		SP03	C
	9004860019	S023057	31.07.2026	1010	ZLF	EXW	RT0001		0011065831	31.07.2026			C
	9004860020	S004788	31.07.2026	1073	ZLF	EXW	RT0001		0011078709	31.07.2026			C
	9004860021	S021857	31.07.2026	2135	ZRMC	FTB	RT0001		0020359277	31.07.2026			C
	9004860022	SCLADMIN	31.07.2026	2121	ZRMC	FTB	RT0001		0020319003	31.07.2026			C
