SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=Z
SELFIELD|txtI1-HIGH=Z~
SELFIELD|txtI2-LOW=A
SELFIELD|txtI4-LOW=SAPMV50A
TABLE|ENHINCINX
TITLE|Data Browser: Table ENHINCINX Select Entries         11
SBAR|
ALV|rows=11|cols=10
HDR|ENHNAME	VERSION	IS_ENH	PROGRAMNAME	ID	OVERWRITE	METHOD	ENHMODE	FULL_NAME	ENHINCLUDE	
ROW0|ZEI_LE_ADD_CHECK_BUTTON_HEAD	A		SAPMV50A	1			S	\PR:SAPMV50A\FO:CUA_SETZEN\SE:END\EI	ZEI_LE_ADD_CHECK_BUTTON_HEAD==E	
ROW1|ZEI_LE_ADD_CHECK_BUTTON_PAI	A		SAPMV50A	1			S	\PR:SAPMV50A\FO:FCODE_BEARBEITEN\SE:BEGIN\EI	ZEI_LE_ADD_CHECK_BUTTON_PAI===E	
ROW2|ZEI_LE_UPDATE_DELIVERY_HEAD	A		SAPMV50A	2			D	\PR:SAPMV50A\FO:USEREXIT_MOVE_FIELD_TO_LIPS\SE:END\EI	ZEI_LE_UPDATE_DELIVERY_HEAD===E	
ROW3|ZEI_LE_UPDATE_DELIVERY_HEAD	A		SAPMV50A	3			D	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT\SE:END\EI	ZEI_LE_UPDATE_DELIVERY_HEAD===E	
ROW4|ZEI_LE_VALIDATE_TRANSPOTER	A		SAPMV50A	1			S	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT\SE:END\EI	ZEI_LE_VALIDATE_TRANSPOTER====E	
ROW5|ZEI_LE_VALIDATE_YSTO	A		SAPMV50A	1			S	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT\SE:END\EI	ZEI_LE_VALIDATE_YSTO==========E	
ROW6|ZEI_SD_CHANGE_CALC_TPE	A		SAPMV50A	2			D	\PR:SAPMV50A\FO:PREISFINDUNG_GESAMT\SE:END\EI	ZEI_SD_CHANGE_CALC_TPE========E	
ROW7|ZEI_SD_UPDATE_DELBILLINGTYPE	A		SAPMV50A	1			S	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT_PREPARE\SE:BEGIN\EI	ZEI_SD_UPDATE_DELBILLINGTYPE==E	
ROW8|ZSD_DEL_SAVE_CHECK	A		SAPMV50A	1			D	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT_PREPARE\SE:END\EI	ZSD_DEL_SAVE_CHECK============E	
ROW9|ZSD_SHIP_CHECK	A		SAPMV50A	1			D	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT_PREPARE\SE:BEGIN\EI	ZSD_SHIP_CHECK================E	
ROW10|ZZCRM_DI_SEND	A		SAPMV50A	1			D	\PR:SAPMV50A\FO:USEREXIT_SAVE_DOCUMENT\SE:END\EI	ZZCRM_DI_SEND=================E	
