SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI2-LOW=10.08.2026
TABLE|LIKP
TITLE|Data Browser: Table LIKP Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=312
HDR|MANDT	VBELN	ERNAM	ERZET	ERDAT	BZIRK	VSTEL	VKORG	LFART	AUTLF	KZAZU	WADAT	LDDAT	TDDAT	LFDAT	KODAT	ABLAD	INCO1	INCO2	EXPKZ	ROUTE	FAKSK	LIFSK	VBTYP	KNFAK	TPQUA	TPGRP	LPRIO	VSBED	KUNNR	KUNAG	KDGRP	STZKL	STZZU	BTGEW	NTGEW	GEWEI	VOLUM	VOLEH	ANZPK	BEROT	LFUHR	GRULG	LSTEL	TRAGR	FKARV	FKDAT	PERFK	ROUTA	STAFO	KALSM	KNUMV	WAERK	VKBUR	VBEAK	ZUKRL	VERUR	COMMN	STWAE	STCUR	EXNUM	AENAM	AEDAT	LGNUM	LISPL	VKOIV	VTWIV	SPAIV	FKAIV	PIOIV	FKDIV	KUNIV	KKBER	KNKLI	GRUPP	SBGRP	CTLPC	CMWAE	AMTBL	BOLNR	LIFNR	TRATY	TRAID	CMFRE	CMNGV	XABLN	BLDAT	WADAT_IST	TRSPG	TPSID	LIFEX	TERNR	KALSM_CH	KLIEF	KALSP	KNUMP	NETWR	AULWE	WERKS	LCNUM	ABSSC	KOUHR	TDUHR	LDUHR	WAUHR	LGTOR	LGBZO	AKWAE	AKKUR	AKPRZ	PROLI	XBLNR	HANDLE	TSEGFL	TSEGTP	TZONIS	TZONRC	CONT_DG	VERURSYS	KZWAB	TCODE	VSART	TRMTYP	SDABW	VBUND	XWOFF	DIRTA	PRVBE	FOLAR	PODAT	POTIM	VGANZ	IMWRK	SPE_LOEKZ	SPE_LOC_SEQ	SPE_ACC_APP_STS	SPE_SHP_INF_STS	SPE_RET_CANC	SPE_WAUHR_IST	SPE_WAZONE_IST	SPE_REV_VLSTK	SPE_LE_SCENARIO	SPE_ORIG_SYS	SPE_CHNG_SYS	SPE_GEOROUTE	SPE_GEOROUTEIND	SPE_CARRIER_IND	SPE_GTS_REL	SPE_GTS_RT_CDE	SPE_REL_TMSTMP	SPE_UNIT_SYSTEM	SPE_INV_BFR_GI	SPE_QI_STATUS	SPE_RED_IND	SAKES	SPE_LIFEX_TYPE	SPE_TTYPE	SPE_PRO_NUMBER	LOC_GUID	SPE_BILLING_IND	PRINTER_PROFILE	MSR_ACTIVE	PRTNR	STGE_LOC_CHANGE	TM_CTRL_KEY	DLV_SPLIT_INITIA	DLV_VERSION	_DATAAGING	GTS_VORPA	GTS_VORNU	GTS_EXPVZ	GTS_PORTI	ITM_EXPVZ	ITM_STGBE	ITM_KZGBE	ITM_VYGID	ITM_IEVER	ITM_STABE	ITM_KZABE	HANDOVERLOC	HANDOVERDATE	HANDOVERTIME	HANDOVERTZONE	BESTK	CMPSC	CMPSD	CMPSI	CMPSJ	CMPSK	CMPS_CM	CMPS_TE	CMGST	FKIVK	FKSTK	GBSTK	HDALL	HDALS	KOQUK	KOSTK	KOSTK_WH	LVSTK	PDSTK	PKSTK	SPE_TMPID	SPSTG	TRSTA	UVALL	UVALS	UVFAK	UVFAS	UVPAK	UVPAS	UVPIK	UVPIS	UVVLK	UVVLS	UVWAK	UVWAS	VESTK	VLSTK	WBSTK	UVK01	UVK02	UVK03	UVK04	UVK05	UVS01	UVS02	UVS03	UVS04	UVS05	TOTAL_PCSTA	TOTAL_DGSTA	TOTAL_SDSSTA	TOTAL_ARC_STATUS	ICO_FKIVK	TOTAL_EMCST	TOTAL_SLCST	TOTAL_LCCST	/SAPMP/LBASK	INCOV	INCO2_L	INCO3_L	INCO2_KEY	INCO3_KEY	INCO4_KEY	OID_EXTBOL	OID_MISCDL	EXT_BUS_SYST_ID	SITKZ_DB	TM_ADV_SHIP_RECV	TM_WHSE_EXEC	TM_WHSE_BLOCK	LGLC_LIC_IND	CREATION_TS	CHANGED_TS	CORR_IND	PICKUPCODE	DUMMY_DELIVERY_INCL_EEW_PS	ZZLRGRNO	ZZLRGRDATE	ZZVEHICLE_NO	ZZDRIVER_NO	ZZDRIVER_NAME	ZZDRIVERMOB	ZZWERKS	ZZPARTNER	ZZVHCLTYP	ZZVBELN	ZZEBELN	ZZAUFNR	ZZSEALNO	ZZREFDI	/BEV1/LULEINH	/BEV1/RPFAESS	/BEV1/RPKIST	/BEV1/RPCONT	/BEV1/RPSONST	/BEV1/RPFLGNR	IDT_CUR_EVTLOC	IDT_CUR_EVTQUA	IDT_CUR_EVTTST	IDT_CUR_ESTLOC	IDT_CUR_ESTQUA	IDT_CUR_ESTTST	IDT_CUR_WRKQUA	IDT_PRE_EVTLOC	IDT_PRE_EVTQUA	IDT_PRE_EVTTST	IDT_PRE_ESTLOC	IDT_PRE_ESTQUA	IDT_PRE_ESTTST	IDT_PRE_WRKQUA	IDT_REF_ESTLOC	IDT_REF_ESTQUA	IDT_REF_ESTTST	IDT_FIRM_LFDAT	IDT_DOCNUM	BORGR_GRP	KBNKZ	FSH_TRANSACTION	FSH_VAS_LAST_ITEM	FSH_VAS_CG	RFM_PSST_GROUP	EXT_ACT_DATE_TOCD	EXT_PLAN_DATE_TOCD	EXT_TZONE_TOCD	INT_ACT_DATE_TOCD	INT_PLAN_DATE_TOCD	INT_TZONE_TOCD	JIT_RLVNT	ZZZABC	
ROW0|700	0181095917	SCLADMIN	00:06:45	10.08.2026				EL		X				10.08.2026			EXP	MIGO & Frt on plant  Wgt.					7				00					0.00	0	35	35	TO			00000		00:06:45	9999		0001	ZSTO					E10001				0.00					0.00000																					0011000025	A006					10.08.2026															00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			2vgI6G5N7{6bX2abWD3BoG		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0001															00:00:00													A											A	C	C	C	C	C	C	C	C	C	C	C	C			A																					MIGO & Frt on plant  Wgt.		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,183,645.0000000	0.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW1|700	0181095918	SCLADMIN	00:12:57	10.08.2026				EL		X				10.08.2026			EXW	road					7				00					0.00	0	43.530	43.530	TO			00000		00:12:57	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011000082	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			nqCtqNQw7{6bX4IfZgS2mG		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					road		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,257.0000000	20,260,809,210,655.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW2|700	0181095919	SCLADMIN	00:14:49	10.08.2026				EL		X				10.08.2026			EXP	MIGO & FRT. ON PLANT WEIGHT					7				00					0.00	0	34.810	34.810	TO			00000		00:14:49	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011003712	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			3V2DFZPl7z6bX4qrCZHB1W		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					MIGO & FRT. ON PLANT WEIGHT		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,449.0000000	20,260,809,224,734.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW3|700	0181095920	SCLADMIN	00:14:55	10.08.2026				EL		X				10.08.2026			EXP	MIGO & FRT. ON PLANT WEIGHT					7				00					0.00	0	36.940	36.940	TO			00000		00:14:55	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011003712	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			3V2DFZPl7z6bX4qrCZQB1W		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					MIGO & FRT. ON PLANT WEIGHT		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,455.0000000	20,260,809,224,839.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW4|700	0181095921	SCLADMIN	00:16:52	10.08.2026				EL		X				10.08.2026			EXW	ROAD					7				00					0.00	0	40.750	40.750	TO			00000		00:16:52	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011009348	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			Y}BlgXPD7z6bX5No6sLKn0		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					ROAD		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,652.0000000	20,260,809,184,703.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW5|700	0181095922	SCLADMIN	00:16:54	10.08.2026				EL		X				10.08.2026			EXW	MIGO & Frt. On disp. Wgt					7				00					0.00	0	36.910	36.910	TO			00000		00:16:54	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011000082	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			Y}BlgXPD7z6bX5Og2KLKzG		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					MIGO & Frt. On disp. Wgt		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,654.0000000	20,260,809,214,054.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW6|700	0181095923	SCLADMIN	00:16:57	10.08.2026				EL		X				10.08.2026			EXW	MIGO & Frt. On disp. Wgt					7				00					0.00	0	40.650	40.650	TO			00000		00:16:57	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011000082	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			Y}BlgXPD7z6bX5PJGU1r3W		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					MIGO & Frt. On disp. Wgt		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,657.0000000	20,260,809,205,905.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW7|700	0181095924	SCLADMIN	00:18:51	10.08.2026				EL		X				10.08.2026			FOR	Road					7				00					0.00	0	39.520	39.520	TO			00000		00:18:51	9999		0001	ZSTO					E10001				0.00					0.00000																					0011100870						10.08.2026															00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			2vgI6G5N7z6bX5xGpPy0Lm		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0001															00:00:00													A											A	C	C	C	C	C	C	C	C	C	C	C	C			A																					Road		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,851.0000000	0.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW8|700	0181095925	SCLADMIN	00:18:52	10.08.2026				EL		X				10.08.2026			EXW	MIGO & Frt. On disp. Wgt					7				00					0.00	0	37	37	TO			00000		00:18:52	9999		0001	ZSTO					E10001				0.00					0.00000		SCLADMIN	10.08.2026																		0011000059	A006					10.08.2026	10.08.2026														00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			2vgI6G5N7z6bX5y9geG0Um		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0004															00:00:00													C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					MIGO & Frt. On disp. Wgt		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,184,852.0000000	20,260,809,211,139.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW9|700	0181095926	SCLADMIN	00:20:56	10.08.2026				EL		X				10.08.2026			FOR	Road					7				00					0.00	0	38.050	38.050	TO			00000		00:20:56	9999		0001	ZSTO					E10001				0.00					0.00000																					0011100870						10.08.2026															00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			3V2DFZPl7z6bX6XdnTBKTm		IDHDR	INDIA	INDIA			I		01									00:00:00	0							00:00:00											0									00000000000000000000000000000000				0000000000				0001															00:00:00													A											A	C	C	C	C	C	C	C	C	C	C	C	C			A																					Road		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,809,185,056.0000000	0.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
