SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=ZCL_IM_LE_SHP_DELIVERY_PROC*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         25
SBAR|
ALV|rows=25|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|ZCL_IM_LE_SHP_DELIVERY_PROC===CCDEF	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	187	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00080000121F9D02DA4E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW1|ZCL_IM_LE_SHP_DELIVERY_PROC===CCIMP	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	174	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00080000121F9D02D23EB5AC300803C1F994A5C7D29F0A51A9104D31E9A15F6F67372D7A10726B6909C324E33E4498112BCE3891823B127ADE19578CD44246	
ROW2|ZCL_IM_LE_SHP_DELIVERY_PROC===CCMAC	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	144	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00060000121F9D02B447062B08C430109D4F091EFDABD2AD28D846DC7AD8AF5F5FABB817C1EB226518329926E961B4EAA803343D342B51ABCEBAA00D3AEE5D	
ROW3|ZCL_IM_LE_SHP_DELIVERY_PROC===CI	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	49	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00020000121F9D021DC37F86028622864C86328644861286540605866220990C646732E433E431E8014546E1B0850000	
ROW4|ZCL_IM_LE_SHP_DELIVERY_PROC===CM001	A			D$				I	S		IBMABAP15	16.12.2023	000017			200		SEHAJTECH	21.08.2026	13:23:16	9,791	X	S	X		21.08.2026	132316	21.08.2026	132316	D$S	X	0	FF00940300121F9D026DDF4A7BDAC89676FD146B467A4972C315C96C49941B8518024CD82606B229B28C31608131F202840FF3D7F33E55A78FFBF46A830DF452	
ROW5|ZCL_IM_LE_SHP_DELIVERY_PROC===CM002	A			D$				I	S		IBMABAP15	16.12.2023	000003			200		IBMABAP19	20.08.2025	11:25:58	2,443	X	S	X		20.08.2025	112558	20.08.2025	112558	D$S	X	0	FF00DC0000121F9D02BB7D6BED691B0BA2F3532CF603EDAAACA09556DD9558159214529E25A1DDB6AAA22484820804414AE97EE85F67CFCCC4B1E3C42F08C4B1	
ROW6|ZCL_IM_LE_SHP_DELIVERY_PROC===CM003	A			D$				I	S		IBMABAP15	16.12.2023	000003			200		IBMABAP15	19.01.2024	20:50:42	135	X	S	X		19.01.2024	205042	19.01.2024	205042	D$S	X	0	FF00060000121F9D02670CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW7|ZCL_IM_LE_SHP_DELIVERY_PROC===CM004	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	127	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D02AF5D72C7411088A2E8590A2B700F7C858428C14FA0A29184066DA8DD3A1CB1710716909399FB7E3353DC612690919E8981170FB3828C8E	
ROW8|ZCL_IM_LE_SHP_DELIVERY_PROC===CM005	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	104	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D021DC37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW9|ZCL_IM_LE_SHP_DELIVERY_PROC===CM006	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	110	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D023686FF0C0A4098CB90CA50C290C190CF9002E47932B831C433B8324400491F201DCF10CCE0C11000A45D803C1FA07C18900E6288048A04	
ROW10|ZCL_IM_LE_SHP_DELIVERY_PROC===CM007	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	120	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D026F0CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW11|ZCL_IM_LE_SHP_DELIVERY_PROC===CM008	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	111	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D0219C37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW12|ZCL_IM_LE_SHP_DELIVERY_PROC===CM009	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	108	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D023686FF0C0A4098CB90CA50C290C190CF9002E47932B831C433B8324400491F201DCF10CCE0C11000A45D803C1FA07C18900E6288048A04	
ROW13|ZCL_IM_LE_SHP_DELIVERY_PROC===CM00A	A			D$				I	S		IBMABAP15	16.12.2023	000002			200		IBMABAP19	20.08.2025	11:25:58	122	X	S	X		20.08.2025	112558	20.08.2025	112558	D$S	X	0	FF00060000121F9D021DC37F060520F46570650861F060F0677001F23219D218E21952192A80640E908E672866C8602800D229405E0E50BE0C4817315402450A	
ROW14|ZCL_IM_LE_SHP_DELIVERY_PROC===CM00B	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	110	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D02770CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW15|ZCL_IM_LE_SHP_DELIVERY_PROC===CM00C	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	123	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D021DC37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW16|ZCL_IM_LE_SHP_DELIVERY_PROC===CM00D	A			D$				I	S		IBMABAP15	16.12.2023	000003			200		IBMABAP11	20.08.2025	11:25:58	128	X	S	X		20.08.2025	112558	20.08.2025	112558	D$S	X	0	FF00040000121F9D02670CFF191480D097C1952184C183C19FC105C8CB64486388674865A8009239403A9EA1982183A10048A700793940F932205DC450091429	
ROW17|ZCL_IM_LE_SHP_DELIVERY_PROC===CM00E	A			D$				I	S		IBMABAP15	16.12.2023	000001			200		IBMABAP15	16.12.2023	15:15:55	114	X	S	X		16.12.2023	151555	16.12.2023	151555	D$S	X	0	FF00040000121F9D02BB5D72C701080C82F07714277007F1FA255E41844A43A241A37675263412179090C9EEEC335BCCB2630913032B230BBDB288800E9F463E	
