SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=ZCL_IM_LE_SHP_DELV_INTECO*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         25
SBAR|
ALV|rows=25|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|ZCL_IM_LE_SHP_DELV_INTECO=====CCDEF	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	187	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00080000121F9D02DA4E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW1|ZCL_IM_LE_SHP_DELV_INTECO=====CCIMP	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	174	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00080000121F9D02D23EB5AC300803C1F994A5C7D29F0A51A9104D31E9A15F6F67372D7A10726B6909C324E33E4498112BCE3891823B127ADE19578CD44246	
ROW2|ZCL_IM_LE_SHP_DELV_INTECO=====CCMAC	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	144	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00060000121F9D02B447062B08C430109D4F091EFDABD2AD28D846DC7AD8AF5F5FABB817C1EB226518329926E961B4EAA803343D342B51ABCEBAA00D3AEE5D	
ROW3|ZCL_IM_LE_SHP_DELV_INTECO=====CI	A			D$				I	S		IBMABAP02	19.10.2024	000002			200		IBMABAP02	19.10.2024	10:10:18	49	X	S	X		19.10.2024	101018	19.10.2024	101018	D$S	X	0	FF00020000121F9D021DC37F86028622864C86328644861286540605866220990C646732E433E431E8014546E1B0850000	
ROW4|ZCL_IM_LE_SHP_DELV_INTECO=====CM001	A			D$				I	S		IBMABAP02	18.10.2024	000003			200		IBMABAP15	11.02.2025	13:20:21	412	X	S	X		11.02.2025	132021	11.02.2025	132021	D$S	X	0	FF00180000121F9D026DC75A76120882607DCADCD003463D6862D464914527591E0A07D70B8115A21191B84AF0E2AF634D8F1147387813DC4E85E9ED999EE550	
ROW5|ZCL_IM_LE_SHP_DELV_INTECO=====CM002	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	127	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D02B44B063908C250149CA37802EE8002624284001A587523891B75C3DAABEBA46EBC010BC8A47D7DBFFDEDE2950F3B79303173E7C54D77A2	
ROW6|ZCL_IM_LE_SHP_DELV_INTECO=====CM003	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	126	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D02DE2EB9E320084451F42C8515B807BE424294E02750D148428336D46E1D8ED8B8030BC8C9CC7DBF9929EE3013C848CFC4C08B8759414647	
ROW7|ZCL_IM_LE_SHP_DELV_INTECO=====CM004	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	104	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D0219C37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW8|ZCL_IM_LE_SHP_DELV_INTECO=====CM005	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	110	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D026F0CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW9|ZCL_IM_LE_SHP_DELV_INTECO=====CM006	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	120	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D021DC37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW10|ZCL_IM_LE_SHP_DELV_INTECO=====CM007	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	111	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D023686FF0C0A4098CB90CA50C290C190CF9002E47932B831C433B8324400491F201DCF10CCE0C11000A45D803C1FA07C18900E6288048A04	
ROW11|ZCL_IM_LE_SHP_DELV_INTECO=====CM008	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	108	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D026F0CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW12|ZCL_IM_LE_SHP_DELV_INTECO=====CM009	A			D$				I	S		IBMABAP02	19.10.2024	000005			200		IBMABAP19	06.05.2025	16:02:52	1,655	X	S	X		06.05.2025	160252	06.05.2025	160252	D$S	X	0	FF00980000121F9D026DDF6C7BD2C8A2387E3E0A695FD89AB5D1DAA671B36E44A06B372A4650E3360D01E4C1884870646D5FEC5777FFE7DC196706EE801B669B	
ROW13|ZCL_IM_LE_SHP_DELV_INTECO=====CM00A	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	128	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D023686FF0C0A4098CB90CA50C290C190CF9002E47932B831C433B8324400491F201DCF10CCE0C11000A45D803C1FA07C18900E6288048A04	
ROW14|ZCL_IM_LE_SHP_DELV_INTECO=====CM00B	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP02	19.10.2024	10:10:19	123	X	S	X		19.10.2024	101019	19.10.2024	101019	D$S	X	0	FF00040000121F9D02770CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW15|ZCL_IM_LE_SHP_DELV_INTECO=====CM00C	A			D$				I	S		IBMABAP02	19.10.2024	000003			200		IBMABAP15	11.02.2025	13:20:21	141	X	S	X		11.02.2025	132021	11.02.2025	132021	D$S	X	0	FF00060000121F9D026F0CFF191480D097C1952184C183C19FC105C8CB64486388674865A8009239403A9EA1982183A10048A700793940F932205DC450091429	
