SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=ZCL_IM_SDE034_LIC_NOTIF*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         25
SBAR|
ALV|rows=25|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|ZCL_IM_SDE034_LIC_NOTIF=======CCDEF	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	187	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00080000121F9D02DA4E19AC200C0341743E257852F1A7425A31A04969AA90AFAFB3DBCA9EA4C78A8461E96666D31EDE52CC38E3C07278A2A0E773C20D91BD	
ROW1|ZCL_IM_SDE034_LIC_NOTIF=======CCIMP	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	174	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00080000121F9D02D23EB5AC300803C1F994A5C7D29F0A51A9104D31E9A15F6F67372D7A10726B6909C324E33E4498112BCE3891823B127ADE19578CD44246	
ROW2|ZCL_IM_SDE034_LIC_NOTIF=======CCMAC	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	144	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00060000121F9D02B447062B08C430109D4F091EFDABD2AD28D846DC7AD8AF5F5FABB817C1EB226518329926E961B4EAA803343D342B51ABCEBAA00D3AEE5D	
ROW3|ZCL_IM_SDE034_LIC_NOTIF=======CI	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	49	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00020000121F9D021DC37F86028622864C86328644861286540605866220990C646732E433E431E8014546E1B0850000	
ROW4|ZCL_IM_SDE034_LIC_NOTIF=======CM001	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	127	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00040000121F9D02B44B063908C250149CA37802EE8002624284001A587523891B75C3DAABEBA46EBC010BC8A47D7DBFFDEDE2950F3B79303173E7C54D77A2	
ROW5|ZCL_IM_SDE034_LIC_NOTIF=======CM002	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	126	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00040000121F9D02DE2EB9E320084451F42C8515B807BE424294E02750D148428336D46E1D8ED8B8030BC8C9CC7DBF9929EE3013C848CFC4C08B8759414647	
ROW6|ZCL_IM_SDE034_LIC_NOTIF=======CM003	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	104	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00040000121F9D0219C37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW7|ZCL_IM_SDE034_LIC_NOTIF=======CM004	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	110	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00040000121F9D026F0CFF19148030972195A1842183219F2105C8F3647063886770658800923E403A9E2198C183210048BB00793E40F930201DC410091409	
ROW8|ZCL_IM_SDE034_LIC_NOTIF=======CM005	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	120	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00040000121F9D021DC37F060520CC6548652861C860C8674801F23C19DC18E2195C192280A40F908E670866F0600800D22E409E0F503E0C48073144024502	
ROW9|ZCL_IM_SDE034_LIC_NOTIF=======CM006	A			D$				I	S		UCCDTTABAP01	28.06.2025	000001			200		UCCDTTABAP01	28.06.2025	14:17:36	111	X	S	X		28.06.2025	141736	28.06.2025	141736	D$S	X	0	FF00040000121F9D023686FF0C0A4098CB90CA50C290C190CF9002E47932B831C433B8324400491F201DCF10CCE0C11000A45D803C1FA07C18900E6288048A04	
