SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=003004342633
SELFIELD|ctxtI1-HIGH=003004365835
SELFIELD|ctxtI3-LOW=000000000015000177
TABLE|AFPO
TITLE|Data Browser: Table AFPO Select Entries        200
SBAR|Selection restricted to 200 hits
ALV|rows=200|cols=100
HDR|MANDT	AUFNR	POSNR	PSOBS	QUNUM	QUPOS	PROJN	PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS	MATNR	PAMNG	PGMNG	KNTTP	TPAUF	LTRMI	LTRMP	KALNR	UEBTO	UEBTK	UNTTO	INSMK	WEPOS	BWTAR	BWTTY	PWERK	LGORT	UMREZ	UMREN	WEBAZ	ELIKZ	SAFNR	VERID	SERNR	TECHS	DWERK	DAUTY	DAUAT	DGLTP	DGLTS	DFREI	DNREL	VERTO	SOBKZ	KZVBR	WEWRT	WEUNB	ABLAD	WEMPF	CHARG	GSBER	WEAED	CUOBJ	KBNKZ	ARSNR	ARSPS	KRSNR	KRSPS	KCKEY	RTP01	RTP02	RTP03	RTP04	KSVON	KSBIS	OBJNP	NDISR	VFMNG	GSBTR	KZAVC	KZBWS	XLOEK	SERNP	ANZSN	OBJTYPE	CH_PROC	FXPRU	CUOBJ_ROOT	BERID	TECHS_COPY	SGT_SCAT	KUNNR2	FSH_SEASON_YEAR	FSH_SEASON	FSH_COLLECTION	FSH_THEME	FSH_SALLOC_QTY	MILL_OC_AUFNR_U	MILL_OC_RUMNG	MILL_OC_SORT	
ROW0|700	003004342679	0001	E		000	00000000					000000	0000		0	50	50	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1009	FBCU	1	1	0	X		FG01			1009	40	ZPFG	05.08.2026	05.08.2026	1					184,247.00		9004901276			1008		000000000000000000		0000000000	0000	0000000000	0000										50	05.08.2026	1				0				000000000000000000	1009								0		0	00000000	
ROW1|700	003004342680	0001	E		000	00000000					000000	0000		0	50	50	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1009	FBCU	1	1	0	X		FG01			1009	40	ZPFG	05.08.2026	05.08.2026	1					184,247.00		9004901277			1008		000000000000000000		0000000000	0000	0000000000	0000										50	05.08.2026	1				0				000000000000000000	1009								0		0	00000000	
ROW2|700	003004342687	0001	E		000	00000000					000000	0000		0	50	50	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1009	FBCU	1	1	0	X		FG01			1009	40	ZPFG	05.08.2026	05.08.2026	1					184,247.00		9004901311			1008		000000000000000000		0000000000	0000	0000000000	0000										50	05.08.2026	1				0				000000000000000000	1009								0		0	00000000	
ROW3|700	003004342753	0001	E		000	00000000					000000	0000		0	10	11	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1007	FRGU	1	1	0	X		FG01			1007	40	ZPFG	05.08.2026	05.08.2026	1					49,036.13		9004901551			1005		000000000000000000		0000000000	0000	0000000000	0000										10	05.08.2026	1				0				000000000000000000	1007								0		0	00000000	
ROW4|700	003004342754	0001	E		000	00000000					000000	0000		0	2	2	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1007	FRGU	1	1	0	X		FG01			1007	40	ZPFG	05.08.2026	05.08.2026	1					8,915.66		9004901552			1005		000000000000000000		0000000000	0000	0000000000	0000										2	05.08.2026	1				0				000000000000000000	1007								0		0	00000000	
ROW5|700	003004342760	0001	E		000	00000000					000000	0000		0	45	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1004	FNWL	1	1	0			FG01			1004	40	ZPFG	05.08.2026	05.08.2026	1					0.00		9004901585			1008		000000000000000000		0000000000	0000	0000000000	0000										45	05.08.2026	1				0				000000000000000000	1004								0		0	00000000	
ROW6|700	003004342761	0001	E		000	00000000					000000	0000		0	45	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1004	FNWL	1	1	0			FG01			1004	40	ZPFG	05.08.2026	05.08.2026	1					0.00		9004901586			1008		000000000000000000		0000000000	0000	0000000000	0000										45	05.08.2026	1				0				000000000000000000	1004								0		0	00000000	
ROW7|700	003004342762	0001	E		000	00000000					000000	0000		0	42	42	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1004	FNWL	1	1	0	X		FG01			1004	40	ZPFG	05.08.2026	05.08.2026	1					117,206.46		9004901587			1008		000000000000000000		0000000000	0000	0000000000	0000										42	05.08.2026	1				0				000000000000000000	1004								0		0	00000000	
ROW8|700	003004342763	0001	E		000	00000000					000000	0000		0	45	42	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1004	FNWL	1	1	0			FG01			1004	40	ZPFG	05.08.2026	05.08.2026	1					117,206.46		9004901588			1008		000000000000000000		0000000000	0000	0000000000	0000										45	05.08.2026	1				0				000000000000000000	1004								0		0	00000000	
ROW9|700	003004342764	0001	E		000	00000000					000000	0000		0	45	45	0	TO	TO	000000000015000177	0	0			05.08.2026		000000000000	0.0	X	0.0		X			1004	FNWL	1	1	0	X		FG01			1004	40	ZPFG	05.08.2026	05.08.2026	1					125,578.35		9004901589			1008		000000000000000000		0000000000	0000	0000000000	0000										45	05.08.2026	1				0				000000000000000000	1004								0		0	00000000	
