SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=003004362386
SELFIELD|ctxtI1-HIGH=003004363999
SELFIELD|ctxtI3-LOW=000000000015000177
TABLE|AFPO
TITLE|Data Browser: Table AFPO Select Entries        154
SBAR|
ALV|rows=154|cols=100
HDR|MANDT	AUFNR	POSNR	PSOBS	QUNUM	QUPOS	PROJN	PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS	MATNR	PAMNG	PGMNG	KNTTP	TPAUF	LTRMI	LTRMP	KALNR	UEBTO	UEBTK	UNTTO	INSMK	WEPOS	BWTAR	BWTTY	PWERK	LGORT	UMREZ	UMREN	WEBAZ	ELIKZ	SAFNR	VERID	SERNR	TECHS	DWERK	DAUTY	DAUAT	DGLTP	DGLTS	DFREI	DNREL	VERTO	SOBKZ	KZVBR	WEWRT	WEUNB	ABLAD	WEMPF	CHARG	GSBER	WEAED	CUOBJ	KBNKZ	ARSNR	ARSPS	KRSNR	KRSPS	KCKEY	RTP01	RTP02	RTP03	RTP04	KSVON	KSBIS	OBJNP	NDISR	VFMNG	GSBTR	KZAVC	KZBWS	XLOEK	SERNP	ANZSN	OBJTYPE	CH_PROC	FXPRU	CUOBJ_ROOT	BERID	TECHS_COPY	SGT_SCAT	KUNNR2	FSH_SEASON_YEAR	FSH_SEASON	FSH_COLLECTION	FSH_THEME	FSH_SALLOC_QTY	MILL_OC_AUFNR_U	MILL_OC_RUMNG	MILL_OC_SORT	
ROW0|700	003004362386	0001	E		000	00000000					000000	0000		0	8	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946071			1309		000000000000000000		0000000000	0000	0000000000	0000										8	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW1|700	003004362387	0001	E		000	00000000					000000	0000		0	35	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946072			1309		000000000000000000		0000000000	0000	0000000000	0000										35	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW2|700	003004362388	0001	E		000	00000000					000000	0000		0	10	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946073			1309		000000000000000000		0000000000	0000	0000000000	0000										10	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW3|700	003004362398	0001	E		000	00000000					000000	0000		0	50	50	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1009	FBCU	1	1	0	X		FG01			1009	40	ZPFG	10.08.2026	10.08.2026	1					184,247.00		9004946092			1008		000000000000000000		0000000000	0000	0000000000	0000										50	10.08.2026	1				0				000000000000000000	1009								0		0	00000000	
ROW4|700	003004362399	0001	E		000	00000000					000000	0000		0	50	50	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1009	FBCU	1	1	0	X		FG01			1009	40	ZPFG	10.08.2026	10.08.2026	1					184,247.00		9004946093			1008		000000000000000000		0000000000	0000	0000000000	0000										50	10.08.2026	1				0				000000000000000000	1009								0		0	00000000	
ROW5|700	003004362419	0001	E		000	00000000					000000	0000		0	35	35	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1046	FNRC	1	1	0	X		FG01			1046	40	ZPFG	10.08.2026	10.08.2026	1					97,008.80		9004946146			1022		000000000000000000		0000000000	0000	0000000000	0000										35	10.08.2026	1				0				000000000000000000	1046								0		0	00000000	
ROW6|700	003004362420	0001	E		000	00000000					000000	0000		0	35	35	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1046	FNRC	1	1	0	X		FG01			1046	40	ZPFG	10.08.2026	10.08.2026	1					97,008.80		9004946147			1022		000000000000000000		0000000000	0000	0000000000	0000										35	10.08.2026	1				0				000000000000000000	1046								0		0	00000000	
ROW7|700	003004362444	0001	E		000	00000000					000000	0000		0	42	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946211			1309		000000000000000000		0000000000	0000	0000000000	0000										42	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW8|700	003004362473	0001	E		000	00000000					000000	0000		0	42	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946248			1309		000000000000000000		0000000000	0000	0000000000	0000										42	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW9|700	003004362476	0001	E		000	00000000					000000	0000		0	43	42	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					129,002.16		9004946258			1008		000000000000000000		0000000000	0000	0000000000	0000										43	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW10|700	003004362477	0001	E		000	00000000					000000	0000		0	45	43	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					132,073.64		9004946259			1008		000000000000000000		0000000000	0000	0000000000	0000										45	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW11|700	003004362478	0001	E		000	00000000					000000	0000		0	43	42	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					129,002.16		9004946260			1008		000000000000000000		0000000000	0000	0000000000	0000										43	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW12|700	003004362479	0001	E		000	00000000					000000	0000		0	45	43	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					132,073.64		9004946261			1008		000000000000000000		0000000000	0000	0000000000	0000										45	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW13|700	003004362482	0001	E		000	00000000					000000	0000		0	44	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946265			1008		000000000000000000		0000000000	0000	0000000000	0000										44	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW14|700	003004362486	0001	E		000	00000000					000000	0000		0	45	43	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					132,073.64		9004946272			1008		000000000000000000		0000000000	0000	0000000000	0000										45	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW15|700	003004362500	0001	E		000	00000000					000000	0000		0	35	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946306			1309		000000000000000000		0000000000	0000	0000000000	0000										35	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW16|700	003004362501	0001	E		000	00000000					000000	0000		0	44	44	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0	X		FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					135,145.12		9004946307			1008		000000000000000000		0000000000	0000	0000000000	0000										44	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW17|700	003004362528	0001	E		000	00000000					000000	0000		0	35	35	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1046	FNRC	1	1	0	X		FG01			1046	40	ZPFG	10.08.2026	10.08.2026	1					97,008.80		9004946377			1022		000000000000000000		0000000000	0000	0000000000	0000										35	10.08.2026	1				0				000000000000000000	1046								0		0	00000000	
ROW18|700	003004362552	0001	E		000	00000000					000000	0000		0	45	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1004	FNWL	1	1	0			FG01			1004	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946425			1008		000000000000000000		0000000000	0000	0000000000	0000										45	10.08.2026	1				0				000000000000000000	1004								0		0	00000000	
ROW19|700	003004362580	0001	E		000	00000000					000000	0000		0	42	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1046	FNRC	1	1	0			FG01			1046	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946480			1022		000000000000000000		0000000000	0000	0000000000	0000										42	10.08.2026	1				0				000000000000000000	1046								0		0	00000000	
ROW20|700	003004362616	0001	E		000	00000000					000000	0000		0	50	55	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1009	FBCU	1	1	0	X		FG01			1009	40	ZPFG	10.08.2026	10.08.2026	1					202,671.70		9004946580			1008		000000000000000000		0000000000	0000	0000000000	0000										50	10.08.2026	1				0				000000000000000000	1009								0		0	00000000	
ROW21|700	003004362668	0001	E		000	00000000					000000	0000		0	5	5	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1070	FKDL	1	1	0	X		FG01			1070	40	ZPFG	10.08.2026	10.08.2026	1					24,432.35		9004946694			1029		000000000000000000		0000000000	0000	0000000000	0000										5	10.08.2026	1				0				000000000000000000	1070								0		0	00000000	
ROW22|700	003004362678	0001	E		000	00000000					000000	0000		0	1	45	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0	X		FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					138,216.60		9004946713			1008		000000000000000000		0000000000	0000	0000000000	0000										1	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW23|700	003004362685	0001	E		000	00000000					000000	0000		0	42	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1304	FEGU	1	1	0			FG01			1304	40	ZPFG	10.08.2026	10.08.2026	1					0.00		9004946729			1309		000000000000000000		0000000000	0000	0000000000	0000										42	10.08.2026	1				0				000000000000000000	1304								0		0	00000000	
ROW24|700	003004362700	0001	E		000	00000000					000000	0000		0	1	45	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0	X		FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					138,216.60		9004946752			1008		000000000000000000		0000000000	0000	0000000000	0000										1	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
ROW25|700	003004362789	0001	E		000	00000000					000000	0000		0	45	42	0	TO	TO	000000000015000177	0	0			10.08.2026		000000000000	0.0	X	0.0		X			1003	FRNC	1	1	0			FG01			1003	40	ZPFG	10.08.2026	10.08.2026	1					129,002.16		9004946938			1008		000000000000000000		0000000000	0000	0000000000	0000										45	10.08.2026	1				0				000000000000000000	1003								0		0	00000000	
