SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=003004365590
SELFIELD|ctxtI1-HIGH=003004365835
SELFIELD|ctxtI3-LOW=000000000015000177
TABLE|AFPO
TITLE|Data Browser: Table AFPO Select Entries         15
SBAR|
ALV|rows=15|cols=100
HDR|MANDT	AUFNR	POSNR	PSOBS	QUNUM	QUPOS	PROJN	PLNUM	STRMP	ETRMP	KDAUF	KDPOS	KDEIN	BESKZ	PSAMG	PSMNG	WEMNG	IAMNG	AMEIN	MEINS	MATNR	PAMNG	PGMNG	KNTTP	TPAUF	LTRMI	LTRMP	KALNR	UEBTO	UEBTK	UNTTO	INSMK	WEPOS	BWTAR	BWTTY	PWERK	LGORT	UMREZ	UMREN	WEBAZ	ELIKZ	SAFNR	VERID	SERNR	TECHS	DWERK	DAUTY	DAUAT	DGLTP	DGLTS	DFREI	DNREL	VERTO	SOBKZ	KZVBR	WEWRT	WEUNB	ABLAD	WEMPF	CHARG	GSBER	WEAED	CUOBJ	KBNKZ	ARSNR	ARSPS	KRSNR	KRSPS	KCKEY	RTP01	RTP02	RTP03	RTP04	KSVON	KSBIS	OBJNP	NDISR	VFMNG	GSBTR	KZAVC	KZBWS	XLOEK	SERNP	ANZSN	OBJTYPE	CH_PROC	FXPRU	CUOBJ_ROOT	BERID	TECHS_COPY	SGT_SCAT	KUNNR2	FSH_SEASON_YEAR	FSH_SEASON	FSH_COLLECTION	FSH_THEME	FSH_SALLOC_QTY	MILL_OC_AUFNR_U	MILL_OC_RUMNG	MILL_OC_SORT	
ROW0|700	003004365610	0001	E		000	00000000					000000	0000		0	16	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1002	FRAS	1	1	0			FG01			1002	40	ZPFG	13.08.2026	13.08.2026	1					0.00		9004953073			1008		000000000000000000		0000000000	0000	0000000000	0000										16	13.08.2026	1				0				000000000000000000	1002								0		0	00000000	
ROW1|700	003004365614	0001	E		000	00000000					000000	0000		0	10	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1002	FRAS	1	1	0			FG01			1002	40	ZPFG	13.08.2026	13.08.2026	1					0.00		9004953077			1008		000000000000000000		0000000000	0000	0000000000	0000										10	13.08.2026	1				0				000000000000000000	1002								0		0	00000000	
ROW2|700	003004365615	0001	E		000	00000000					000000	0000		0	10	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1002	FRAS	1	1	0			FG01			1002	40	ZPFG	14.08.2026	14.08.2026	1					0.00		9004953078			1008		000000000000000000		0000000000	0000	0000000000	0000										10	14.08.2026	1				0				000000000000000000	1002								0		0	00000000	
ROW3|700	003004365616	0001	E		000	00000000					000000	0000		0	10	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1002	FRAS	1	1	0			FG01			1002	40	ZPFG	14.08.2026	14.08.2026	1					0.00		9004953079			1008		000000000000000000		0000000000	0000	0000000000	0000										10	14.08.2026	1				0				000000000000000000	1002								0		0	00000000	
ROW4|700	003004365619	0001	E		000	00000000					000000	0000		0	2	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1002	FRAS	1	1	0			FG01			1002	40	ZPFG	17.08.2026	17.08.2026	1					0.00		9004953085			1008		000000000000000000		0000000000	0000	0000000000	0000										2	17.08.2026	1				0				000000000000000000	1002								0		0	00000000	
ROW5|700	003004365630	0001	E		000	00000000					000000	0000		0	250	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1042	FNBC	1	1	0			FG01			1042	40	ZPFG	17.08.2026	17.08.2026						0.00		9004953103			1010		000000000000000000		0000000000	0000	0000000000	0000										6.388	31.12.9999	1				0				000000000000000000	1042								0		0	00000000	
ROW6|700	003004365654	0001	E		000	00000000					000000	0000		0	1	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1002	FRAS	1	1	0			FG01			1002	40	ZPFG	21.08.2026	21.08.2026	1					0.00		9004953174			1008		000000000000000000		0000000000	0000	0000000000	0000										1	21.08.2026	1				0				000000000000000000	1002								0		0	00000000	
ROW7|700	003004365656	0001	E		000	00000000					000000	0000		0	2.500	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1042	FNBC	1	1	0			FG01			1042	40	ZPFG	21.08.2026	21.08.2026	1					0.00		9004953179			1010		000000000000000000		0000000000	0000	0000000000	0000										2.500	21.08.2026	1				0				000000000000000000	1042								0		0	00000000	
ROW8|700	003004365657	0001	E		000	00000000					000000	0000		0	3.500	0	0	TO	TO	000000000015000177	0	0					000000000000	0.0	X	0.0		X			1042	FNBC	1	1	0			FG01			1042	40	ZPFG	21.08.2026	21.08.2026	1					0.00		9004953181			1010		000000000000000000		0000000000	0000	0000000000	0000										3.500	21.08.2026	1				0				000000000000000000	1042								0		0	00000000	
ROW9|700	003004365682	0001	E		000	00000000					000000	0000		0	12	12	0	TO	TO	000000000015000177	0	0			26.08.2026		000000000000	0.0	X	0.0		X			1041	FBGU	1	1	0	X		FG01			1041	40	ZPFG	26.08.2026	26.08.2026	1					53,884.56		9004953283			1010		000000000000000000		0000000000	0000	0000000000	0000										0	31.12.9999	1				0				000000000000000000	1041								0		0	00000000	
