SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=OR003004365654
TABLE|JEST
TITLE|Data Browser: Table JEST Select Entries         10
SBAR|
ALV|rows=10|cols=6
HDR|MANDT	OBJNR	STAT	INACT	CHGNR	_DATAAGING	
ROW0|700	OR003004365654	I0001	X	002		
ROW1|700	OR003004365654	I0002		001		
ROW2|700	OR003004365654	I0118	X	001		
ROW3|700	OR003004365654	I0215		001		
ROW4|700	OR003004365654	I0278		001		
ROW5|700	OR003004365654	I0340		001		
ROW6|700	OR003004365654	I0361		001		
ROW7|700	OR003004365654	I0369		001		
ROW8|700	OR003004365654	I0402		001		
ROW9|700	OR003004365654	I0420	X	002		
