SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI3-LOW=*ZSD_MFG_YSTO*
TABLE|SETLEAF
TITLE|Data Browser: Table SETLEAF Select Entries         22
SBAR|
ALV|rows=22|cols=10
HDR|MANDT	SETCLASS	SUBCLASS	SETNAME	LINEID	VALSIGN	VALOPTION	VALFROM	VALTO	SEQNR	
ROW0|700	0000		ZSD_MFG_YSTO	0000000001	I	EQ	A0000010	A0000010	1	
ROW1|700	0000		ZSD_MFG_YSTO	0000000002	I	EQ	A0000012	A0000012	2	
ROW2|700	0000		ZSD_MFG_YSTO	0000000003	I	EQ	A0000015	A0000015	3	
ROW3|700	0000		ZSD_MFG_YSTO	0000000004	I	EQ	A0000016	A0000016	4	
ROW4|700	0000		ZSD_MFG_YSTO	0000000005	I	EQ	A0000017	A0000017	5	
ROW5|700	0000		ZSD_MFG_YSTO	0000000006	I	EQ	A0000018	A0000018	6	
ROW6|700	0000		ZSD_MFG_YSTO	0000000007	I	EQ	A0000019	A0000019	7	
ROW7|700	0000		ZSD_MFG_YSTO	0000000008	I	EQ	A0000020	A0000020	8	
ROW8|700	0000		ZSD_MFG_YSTO	0000000009	I	EQ	A0000021	A0000021	9	
ROW9|700	0000		ZSD_MFG_YSTO	0000000010	I	EQ	A0000003	A0000003	10	
ROW10|700	0000		ZSD_MFG_YSTO	0000000011	I	EQ	A0000001	A0000001	11	
ROW11|700	0000		ZSD_MFG_YSTO	0000000012	I	EQ	A0000002	A0000002	12	
ROW12|700	0000		ZSD_MFG_YSTO	0000000013	I	EQ	A0000004	A0000004	13	
ROW13|700	0000		ZSD_MFG_YSTO	0000000014	I	EQ	A0000005	A0000005	14	
ROW14|700	0000		ZSD_MFG_YSTO	0000000015	I	EQ	A0000006	A0000006	15	
ROW15|700	0000		ZSD_MFG_YSTO	0000000016	I	EQ	A0000007	A0000007	16	
ROW16|700	0000		ZSD_MFG_YSTO	0000000017	I	EQ	A0000008	A0000008	17	
ROW17|700	0000		ZSD_MFG_YSTO	0000000018	I	EQ	A0000009	A0000009	18	
ROW18|700	0000		ZSD_MFG_YSTO	0000000019	I	EQ	A0000011	A0000011	19	
ROW19|700	0000		ZSD_MFG_YSTO	0000000020	I	EQ	A0000013	A0000013	20	
ROW20|700	0000		ZSD_MFG_YSTO	0000000021	I	EQ	A0000014	A0000014	21	
ROW21|700	0000		ZSD_MFG_YSTO	0000000022	I	EQ	A0000022	A0000022	22	
