SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
TABLE|ZLETSHIPMAP
TITLE|Data Browser: Table ZLETSHIPMAP Select Entries         28
SBAR|
ALV|rows=28|cols=3
HDR|MANDT	EVERS	TRATY	
ROW0|700	A3	A003	
ROW1|700	A4	A004	
ROW2|700	A5	A005	
ROW3|700	A6	A006	
ROW4|700	D1	D001	
ROW5|700	D2	D002	
ROW6|700	D3	D003	
ROW7|700	D4	D004	
ROW8|700	D5	D005	
ROW9|700	D6	D006	
ROW10|700	D7	D007	
ROW11|700	D8	D008	
ROW12|700	D9	D009	
ROW13|700	DA	D010	
ROW14|700	DB	D011	
ROW15|700	DC	D012	
ROW16|700	DD	D013	
ROW17|700	DE	D014	
ROW18|700	DF	D015	
ROW19|700	DG	D016	
ROW20|700	GH	D017	
ROW21|700	GI	R034	
ROW22|700	GJ	R188	
ROW23|700	GK	D018	
ROW24|700	GL	D019	
ROW25|700	GM	D020	
ROW26|700	GN	D021	
ROW27|700	GO	D022	
