SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=DS4K965127
SELFIELD|ctxtI1-HIGH=DS4K965215
SELFIELD|ctxtI6-LOW=*
TABLE|E070
TITLE|Data Browser: Table E070 Select Entries         44
SBAR|
ALV|rows=44|cols=10
HDR|TRKORR	TRFUNCTION	TRSTATUS	TARSYSTEM	KORRDEV	AS4USER	AS4DATE	AS4TIME	STRKORR	%_AS4TEXT	
ROW0|DS4K965127	T	R	QS4	SYST	SEHAJTECH	17.09.2026	11:27:03		test1	
ROW1|DS4K965128	K	R	QS4	SYST	RVABAP11	17.09.2026	12:47:20		SCL:ABAP:PM:RVABAP11:# Changes in EV Report V1	
ROW2|DS4K965133	K	R	QS4	SYST	RVABAP07	17.09.2026	11:43:09		SCL:ABAP:RVABAP07:SD_CR71-ZINV_DETAILS_API Change : V03	
ROW3|DS4K965135	K	R	QS4	SYST	RVABAP01	17.09.2026	12:13:28		SAP NOTE _48815	
ROW4|DS4K965139	K	R	QS4	SYST	RVABAP07	17.09.2026	11:54:54		SCL:ABAP:RVABAP07:SD_CR71-ZINV_DETAILS_API Change : V04	
ROW5|DS4K965141	T	R	QS4	SYST	SEHAJTECH	17.09.2026	12:01:34		TOC DS4K958447	
ROW6|DS4K965142	T	R	QS4	SYST	SEHAJTECH	17.09.2026	12:00:38		toc	
ROW7|DS4K965143	K	R	QS4	SYST	RVABAP06	17.09.2026	17:35:30		SCLABAP_PM:RVABAP06#72233_17-09-2026_KPI Montrng rept V10	
ROW8|DS4K965145	T	R	QS4	SYST	SEHAJTECH	17.09.2026	12:09:18		toccccc	
ROW9|DS4K965148	T	R	QS4	SYST	SEHAJTECH	17.09.2026	12:41:33		toc	
ROW10|DS4K965149	T	R	QS4	SYST	SEHAJTECH	17.09.2026	12:58:26		TOC  DS4K958447	
ROW11|DS4K965150	K	R	QS4	SYST	RVABAP01	17.09.2026	13:02:41		SCL:PP-RMC:RVABAP01:# MIR7_BADI_API_shree sahyog-09	
ROW12|DS4K965152	W	R	QS4	CUST	AMSL01	17.09.2026	13:20:09		LE: 77433:Price List Creation: SK 17.09.2026	
ROW13|DS4K965154	K	R	QS4	SYST	RVABAP01	17.09.2026	15:11:13		SCL:PP-RMC:RVABAP01:#Bulk Upload V17	
ROW14|DS4K965158	T	R	QS4	SYST	SEHAJTECH	17.09.2026	14:08:41		coal	
ROW15|DS4K965160	W	R	QS4	CUST	RVFI04	17.09.2026	14:54:47		GR: Subitem 900 entry block remove	
ROW16|DS4K965162	T	R	QS4	SYST	S024327	17.09.2026	17:48:55		TOC-SD:ReturnablePackagingConfig:Avadhesh - Ver 1.2	
ROW17|DS4K965167	T	R	QS4	SYST	SEHAJTECH	17.09.2026	15:14:18		TOCCC	
ROW18|DS4K965168	W	R	QS4	CUST	AMSL02	17.09.2026	15:19:29		SD: #77461 Sales Office Creation: 17.09.2026	
ROW19|DS4K965170	K	R	QS4	SYST	RVABAP09	17.09.2026	15:55:08		SCL : ABAP : FI : INT RATE CALCULATION V2	
ROW20|DS4K965172	K	R	QS4	SYST	RVABAP05	17.09.2026	16:17:51		SCL:ABAP:RVABAP05:SD:ZBP: T-code issue with MacBook	
ROW21|DS4K965174	T	R	QS4	SYST	SEHAJTECH	17.09.2026	15:58:59		DS4K964738	
ROW22|DS4K965175	T	R	QS4	SYST	SEHAJTECH	17.09.2026	16:05:12		TOC	
ROW23|DS4K965177	T	R	QS4	SYST	SEHAJTECH	17.09.2026	16:12:35		toc	
ROW24|DS4K965178	W	R	QS4	CUST	AMSL02	17.09.2026	16:40:40		SD: #77477 Sales Office Creation: 17.09.2026	
ROW25|DS4K965180	T	R	QS4	SYST	SEHAJTECH	17.09.2026	17:17:00		TOC	
ROW26|DS4K965181	W	R	QS4	CUST	URVFI04	17.09.2026	18:01:09		UCC_Postingrelavant_update_type_17-09-2026	
ROW27|DS4K965183	K	R	QS4	SYST	RVABAP12	17.09.2026	17:43:05		UCCABAP_MM:RVABAP12#71393_Vendor Re-Evaluation Report: V08	
ROW28|DS4K965185	K	R	QS4	SYST	RVABAP06	17.09.2026	17:41:09		SCLABAP_PM:RVABAP06#72233_17-09-2026_KPI Montrng rept V11	
ROW29|DS4K965187	K	R	QS4	SYST	RVABAP12	17.09.2026	17:59:28		UCCABAP_MM:RVABAP12#71393_Vendor Re-Evaluation Report: V09	
ROW30|DS4K965189	K	R	QS4	SYST	RVABAP07	17.09.2026	18:55:38		SCL:ABAP:RVABAP07:SD_67162-TPC Canvaseer Policy:V43	
ROW31|DS4K965191	K	R	QS4	SYST	RVABAP07	17.09.2026	19:07:49		SCL:ABAP:RVABAP07:SD_67162-TPC Canvaseer Policy:V44	
ROW32|DS4K965196	T	R	QS4	SYST	SEHAJTECH	17.09.2026	20:15:47		Test2	
ROW33|DS4K965197	T	R	QS4	SYST	SEHAJTECH	17.09.2026	20:49:03		TOC DS4K965195	
ROW34|DS4K965198	T	R	QS4	SYST	SEHAJTECH	17.09.2026	21:13:12		Test3	
ROW35|DS4K965199	T	R	QS4	SYST	SEHAJTECH	17.09.2026	21:53:03		Test4	
ROW36|DS4K965200	K	R	QS4	SYST	UCCDEV01	17.09.2026	22:24:09		UCC:PP:RKB:AFR and Fuel Table for UCC1 17.09.2026	
ROW37|DS4K965202	K	R	QS4	SYST	RVABAP01	17.09.2026	22:52:45		SCL:PP-RMC:RVABAP01:# Bulk Upload	
ROW38|DS4K965204	K	R	QS4	SYST	RVABAP01	17.09.2026	23:14:20		SCL:PP-RMC:RVABAP01:#Bulk upload	
ROW39|DS4K965206	T	R	QS4	SYST	SEHAJTECH	17.09.2026	23:33:32		Test5	
ROW40|DS4K965207	K	R	QS4	SYST	RVABAP01	18.09.2026	00:00:41		SCL:PP-RMC:RVABAP01:#Bulk Upload	
ROW41|DS4K965209	T	R	QS4	SYST	SEHAJTECH	17.09.2026	23:40:56		Test6	
ROW42|DS4K965211	K	R	QS4	SYST	RVABAP01	18.09.2026	09:30:02		SCL:PP-RMC:RVABAP01:#Bulk Upload	
ROW43|DS4K965215	T	R	QS4	SYST	SEHAJTECH	18.09.2026	09:42:49		migo	
