SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=DS4K960000
SELFIELD|ctxtI1-HIGH=DS4K969999
SELFIELD|txtI5-LOW=*MIGO*
TABLE|E071
TITLE|Data Browser: Table E071 Select Entries         37
SBAR|
ALV|rows=37|cols=10
HDR|TRKORR	AS4POS	PGMID	OBJECT	OBJ_NAME	OBJFUNC	LOCKFLAG	GENNUM	LANG	ACTIVITY	
ROW0|DS4K960494	000006	R3TR	ENHO	ZFI_MIGO_RV		3				
ROW1|DS4K963504	000004	LIMU	METH	ZCL_CAN                       IF_EX_MB_MIGO_BADI~CHECK_HEADER		3				
ROW2|DS4K963638	000004	LIMU	METH	ZCL_CAN                       IF_EX_MB_MIGO_BADI~CHECK_HEADER		3				
ROW3|DS4K964035	000002	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW4|DS4K964035	000026	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW5|DS4K964047	000002	R3TR	CLAS	ZCL_CNF_SUBMIT_MIGO		3				
ROW6|DS4K964047	000003	R3TR	ENHO	ZCNF_SUBMIT_MIGO		3				
ROW7|DS4K964062	000002	LIMU	METH	ZCL_CNF_SUBMIT_MIGO           IF_EX_MB_BAPI_GOODSMVT_CREATE~EXTENSIONIN_TO_MATDOC		3				
ROW8|DS4K964064	000002	LIMU	METH	ZCL_CNF_SUBMIT_MIGO           IF_EX_MB_BAPI_GOODSMVT_CREATE~EXTENSIONIN_TO_MATDOC		3				
ROW9|DS4K964117	000002	R3TR	ENHO	ZCNF_SUBMIT_MIGO_MAP2I		3				
ROW10|DS4K964126	000002	LIMU	METH	ZCL_CNF_SUBMIT_MIGO           IF_EX_MB_BAPI_GOODSMVT_CREATE~EXTENSIONIN_TO_MATDOC		3				
ROW11|DS4K964133	000002	R3TR	ENHO	ZCNF_SUBMIT_MIGO_MAP2I	D	3				
ROW12|DS4K964142	000003	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW13|DS4K964142	000027	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW14|DS4K964267	000003	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW15|DS4K964267	000027	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW16|DS4K964273	000005	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW17|DS4K964273	000029	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW18|DS4K964452	000002	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW19|DS4K964452	000023	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW20|DS4K964577	000002	R3TR	ACGR	ZSD_D_MIGO		3				
ROW21|DS4K964577	000003	R3TR	ACGR	ZSD_M_MIGO		3				
ROW22|DS4K964687	000009	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW23|DS4K964687	000033	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW24|DS4K964688	000003	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW25|DS4K964688	000024	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW26|DS4K964693	000002	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW27|DS4K964693	000023	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW28|DS4K964698	000002	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW29|DS4K964698	000023	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW30|DS4K964704	000002	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW31|DS4K964704	000023	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW32|DS4K964708	000002	R3TR	CLAS	ZCL_IM_FI_MIGOBADI_IMPL		3				
ROW33|DS4K964708	000023	R3TR	SXCI	ZFI_MIGOBADI_IMPL		3				
ROW34|DS4K965127	000006	R3TR	CLAS	ZCL_MM_MIGO_VALIDATION_FACADE		3				
ROW35|DS4K965196	000007	R3TR	CLAS	ZCL_MM_MIGO_VALIDATION_FACADE		3				
ROW36|DS4K965222	000006	LIMU	METH	ZCL_IM_SDEI_DELIVERY_NOTE     IF_EX_MB_MIGO_BADI~CHECK_ITEM		3				
