SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_MATERIAL_DOCUME_DPC_EXT*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         43
SBAR|
ALV|rows=43|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_API_MATERIAL_DOCUME_DPC_EXTCCAU	A			D$				I	S		SAP	30.01.2017	000015			001		SAP	01.04.2022	21:49:52	27,566	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF003A0D00121F9D02DEBE9B37B58DA6DDC3D747F19BAE7A92744DA603497A99AAEE2A0224613A2C0324DDF94D4D39C638C4D32C6EDB40F2CF7CF57EAF45E2D6	
ROW1|CL_API_MATERIAL_DOCUME_DPC_EXTCCDEF	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	457	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF001A0000121F9D02A71D2B6C49208882F353963E55443F2028D0D48AA22295F0D372DD5D24E4DDA116DCAFB779EFB415F5CCA85073194EF7BD777B1ECCECEC	
ROW2|CL_API_MATERIAL_DOCUME_DPC_EXTCCIMP	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	174		S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00080000121F9D02B77D6A5961100682F3294B8FA53F15A252219A62D243BFDECE6E5AF420E4D6D2128649C67D883023569C7122057724F4BC33AE18A9858C	
ROW3|CL_API_MATERIAL_DOCUME_DPC_EXTCCMAC	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	144		S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00060000121F9D02D61E19AC2010C340743E2578F4AF4AB7A2601B71EB61BF7E7DADE25E04AF8B9461C8649AA487D1AAA30ED0F4D0AC44AD3AEB8236E8B877	
ROW4|CL_API_MATERIAL_DOCUME_DPC_EXTCI	A			D$				I	S		SAP	30.01.2017	000009			001		SAP	01.04.2022	21:49:52	2,377	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00380100121F9D02B46FBEBD6D1B3118E747C9B017DD8675DD9F770336C04BD22E409314493AB4AF0459761C6FB19DDA4E9A7CFA8EE44996CED2298E6BC796	
ROW5|CL_API_MATERIAL_DOCUME_DPC_EXTCM001	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	413	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00220000121F9D026DD70C961286A1287A3F85252EF40F70454759A08EE3C25D064B06AA68911646BF1E6F128652489DD055B46FCEB47D6D73CBE2E6E53529	
ROW6|CL_API_MATERIAL_DOCUME_DPC_EXTCM002	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	491	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF002C0000121F9D026DD76C761206A2287C1E85A52EF40D70055116A8312EDC35582A34222053883E3D9E99016BE90CE9E066B4375F68AF6D0F2E4ECE9D9F82	
ROW7|CL_API_MATERIAL_DOCUME_DPC_EXTCM003	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	816	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00580000121F9D02D6BE15EDB40D04C1F914AB0F051EA84AFB54A920A1C434A889839280D427941203950289485A89AFA773673B4EEC3371A584C6DED5C8B1	
ROW8|CL_API_MATERIAL_DOCUME_DPC_EXTCM004	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	416	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF00220000121F9D02B75DB3596A1086A2F079942EEB42471FA0AECA681755C771E12E5369A6A5FE80423BFAF4F5245411084EDA55943BDF142E25872E4EEEBD	
ROW9|CL_API_MATERIAL_DOCUME_DPC_EXTCM005	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:49:52	490	X	S	X		01.04.2022	214952	01.04.2022	214952	D$S	X	0	FF002C0000121F9D02B46B064B09C36010DE47E188071D7D003CC1A807D4713C78EB6089D01129D2C2E8D3E336016B69C2347889F69F6FDA86A65B0E3B9B3F69	
