SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|txtI1-LOW=CL_API_MATERIAL_DOCUME_MPC_EXT*
SELFIELD|txtI2-LOW=A
TABLE|REPOSRC
TITLE|Data Browser: Table REPOSRC Select Entries         17
SBAR|
ALV|rows=17|cols=34
HDR|PROGNAME	R3STATE	SQLX	EDTX	DBNA	CLAS	TYPE	OCCURS	SUBC	APPL	SECU	CNAM	CDAT	VERN	LEVL	RSTAT	RMAND	RLOAD	UNAM	UDAT	UTIME	DATALG	VARCL	DBAPL	FIXPT	SSET	SDATE	STIME	IDATE	ITIME	LDBNAME	UCCHECK	MAXLINELN	DATA	
ROW0|CL_API_MATERIAL_DOCUME_MPC_EXTCCAU	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:46:44	2,692	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00740100121F9D02B46F6DBB6D1C49B43E85401E6403F16E12E729800C50226569AD5B485986B15808322D5B44288A4B8989F3E25F574E5593EE19CE85B228	
ROW1|CL_API_MATERIAL_DOCUME_MPC_EXTCCDEF	A			D$				I	S		SAP	30.01.2017	000007			001		SAP	01.04.2022	21:46:44	642	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00540000121F9D026DD75C7ADB868120BC3F45E8A92D82A2BDF696A08F1428D2A2C9A527C3901357482A19B212C0BF3E9D5DD9A56D4292A14B4472F041305F	
ROW2|CL_API_MATERIAL_DOCUME_MPC_EXTCCIMP	A			D$				I	S		SAP	30.01.2017	000007			001		SAP	01.04.2022	21:46:44	168	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00060000121F9D02B44F2E290CC260109EA3842E4B2F15A252219A62D2454FDF7E495A7421B86B29846192F17F8830A39E3AEB048DEE8AEAB993AE1AD10606	
ROW3|CL_API_MATERIAL_DOCUME_MPC_EXTCCMAC	A			D$				I	S		SAP	30.01.2017	000006			001		SAP	01.04.2022	21:46:44	144		S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00060000121F9D026D8F0C56108861203A9F123CFA57A55B51B08DB8F5B05FBFBE56712F82D745CA3064324DD2C368D55107687A6856A2569D75411B74DCBB	
ROW4|CL_API_MATERIAL_DOCUME_MPC_EXTCI	A			D$				I	S		SAP	30.01.2017	000008			001		SAP	01.04.2022	21:46:44	406	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00360000121F9D02D6AE19E4340C0351F41F256C59C0191020C802A84285C42A2A695A21D18068A070FAF063544A304E0BABD8FE7A5232892C6FC6F3C6A98B	
ROW5|CL_API_MATERIAL_DOCUME_MPC_EXTCM001	A			D$				I	S		SAP	30.01.2017	000009			001		SAP	27.05.2022	11:49:57	2,765	X	S	X		27.05.2022	114957	27.05.2022	114957	D$S	X	0	FF00020100121F9D02D2BED5F6A67104E1F92928F990A4AA9DD6EAA74AAD44304AACC4D8C28E9B7E421863071530CAE144FCFA7466966377B9771F2C77B7A347	
ROW6|CL_API_MATERIAL_DOCUME_MPC_EXTCM002	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:46:44	804	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00440000121F9D026DDF6A7AD30682E8FC94A83D243D340D52AFAD64D9A8410A01B5A9D49C56061B8244C032A64D2FFDEBE99BD918B00D2D41026C3C7AB2F7	
ROW7|CL_API_MATERIAL_DOCUME_MPC_EXTCM003	A			D$				I	S		SAP	31.01.2018	000006			001		SAP	01.04.2022	21:46:44	842	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00500000121F9D02D2BEB5F4A60D04E1F929517B487A681BA45E5BC9C2A8412A01B5A9949C56060C45E26119D3A697FEF5F49B590CD88696A2126C76F4C9DE	
ROW8|CL_API_MATERIAL_DOCUME_MPC_EXTCM004	A			D$				I	S		SAP	08.06.2020	000004			001		SAP	01.04.2022	21:46:44	860	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF00440000121F9D0269DFEA7AD30682E0FE94531E0A7968FA5EA99510462212091124ADFA641170892B83112654F9F5E9EC9E3FB1A15594228C5723E2F3F9CE	
ROW9|CL_API_MATERIAL_DOCUME_MPC_EXTCM005	A			D$				I	S		SAP	08.06.2020	000004			001		SAP	01.04.2022	21:46:44	621	X	S	X		01.04.2022	214644	01.04.2022	214644	D$S	X	0	FF002C0000121F9D02DAAED5F5A60D04C1F929A73C34C943DA5FD04A285035120D55FAF17A22E01057062AEC50E5D7A7B37B766C07421AAA26A05B8D307BE7BD	
