SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI2-LOW=19.09.2026
TABLE|LIKP
TITLE|Data Browser: Table LIKP Select Entries         17
SBAR|
ALV|rows=17|cols=312
HDR|MANDT	VBELN	ERNAM	ERZET	ERDAT	BZIRK	VSTEL	VKORG	LFART	AUTLF	KZAZU	WADAT	LDDAT	TDDAT	LFDAT	KODAT	ABLAD	INCO1	INCO2	EXPKZ	ROUTE	FAKSK	LIFSK	VBTYP	KNFAK	TPQUA	TPGRP	LPRIO	VSBED	KUNNR	KUNAG	KDGRP	STZKL	STZZU	BTGEW	NTGEW	GEWEI	VOLUM	VOLEH	ANZPK	BEROT	LFUHR	GRULG	LSTEL	TRAGR	FKARV	FKDAT	PERFK	ROUTA	STAFO	KALSM	KNUMV	WAERK	VKBUR	VBEAK	ZUKRL	VERUR	COMMN	STWAE	STCUR	EXNUM	AENAM	AEDAT	LGNUM	LISPL	VKOIV	VTWIV	SPAIV	FKAIV	PIOIV	FKDIV	KUNIV	KKBER	KNKLI	GRUPP	SBGRP	CTLPC	CMWAE	AMTBL	BOLNR	LIFNR	TRATY	TRAID	CMFRE	CMNGV	XABLN	BLDAT	WADAT_IST	TRSPG	TPSID	LIFEX	TERNR	KALSM_CH	KLIEF	KALSP	KNUMP	NETWR	AULWE	WERKS	LCNUM	ABSSC	KOUHR	TDUHR	LDUHR	WAUHR	LGTOR	LGBZO	AKWAE	AKKUR	AKPRZ	PROLI	XBLNR	HANDLE	TSEGFL	TSEGTP	TZONIS	TZONRC	CONT_DG	VERURSYS	KZWAB	TCODE	VSART	TRMTYP	SDABW	VBUND	XWOFF	DIRTA	PRVBE	FOLAR	PODAT	POTIM	VGANZ	IMWRK	SPE_LOEKZ	SPE_LOC_SEQ	SPE_ACC_APP_STS	SPE_SHP_INF_STS	SPE_RET_CANC	SPE_WAUHR_IST	SPE_WAZONE_IST	SPE_REV_VLSTK	SPE_LE_SCENARIO	SPE_ORIG_SYS	SPE_CHNG_SYS	SPE_GEOROUTE	SPE_GEOROUTEIND	SPE_CARRIER_IND	SPE_GTS_REL	SPE_GTS_RT_CDE	SPE_REL_TMSTMP	SPE_UNIT_SYSTEM	SPE_INV_BFR_GI	SPE_QI_STATUS	SPE_RED_IND	SAKES	SPE_LIFEX_TYPE	SPE_TTYPE	SPE_PRO_NUMBER	LOC_GUID	SPE_BILLING_IND	PRINTER_PROFILE	MSR_ACTIVE	PRTNR	STGE_LOC_CHANGE	TM_CTRL_KEY	DLV_SPLIT_INITIA	DLV_VERSION	_DATAAGING	GTS_VORPA	GTS_VORNU	GTS_EXPVZ	GTS_PORTI	ITM_EXPVZ	ITM_STGBE	ITM_KZGBE	ITM_VYGID	ITM_IEVER	ITM_STABE	ITM_KZABE	HANDOVERLOC	HANDOVERDATE	HANDOVERTIME	HANDOVERTZONE	BESTK	CMPSC	CMPSD	CMPSI	CMPSJ	CMPSK	CMPS_CM	CMPS_TE	CMGST	FKIVK	FKSTK	GBSTK	HDALL	HDALS	KOQUK	KOSTK	KOSTK_WH	LVSTK	PDSTK	PKSTK	SPE_TMPID	SPSTG	TRSTA	UVALL	UVALS	UVFAK	UVFAS	UVPAK	UVPAS	UVPIK	UVPIS	UVVLK	UVVLS	UVWAK	UVWAS	VESTK	VLSTK	WBSTK	UVK01	UVK02	UVK03	UVK04	UVK05	UVS01	UVS02	UVS03	UVS04	UVS05	TOTAL_PCSTA	TOTAL_DGSTA	TOTAL_SDSSTA	TOTAL_ARC_STATUS	ICO_FKIVK	TOTAL_EMCST	TOTAL_SLCST	TOTAL_LCCST	/SAPMP/LBASK	INCOV	INCO2_L	INCO3_L	INCO2_KEY	INCO3_KEY	INCO4_KEY	OID_EXTBOL	OID_MISCDL	EXT_BUS_SYST_ID	SITKZ_DB	TM_ADV_SHIP_RECV	TM_WHSE_EXEC	TM_WHSE_BLOCK	LGLC_LIC_IND	CREATION_TS	CHANGED_TS	CORR_IND	PICKUPCODE	DUMMY_DELIVERY_INCL_EEW_PS	ZZLRGRNO	ZZLRGRDATE	ZZVEHICLE_NO	ZZDRIVER_NO	ZZDRIVER_NAME	ZZDRIVERMOB	ZZWERKS	ZZPARTNER	ZZVHCLTYP	ZZVBELN	ZZEBELN	ZZAUFNR	ZZSEALNO	ZZREFDI	/BEV1/LULEINH	/BEV1/RPFAESS	/BEV1/RPKIST	/BEV1/RPCONT	/BEV1/RPSONST	/BEV1/RPFLGNR	IDT_CUR_EVTLOC	IDT_CUR_EVTQUA	IDT_CUR_EVTTST	IDT_CUR_ESTLOC	IDT_CUR_ESTQUA	IDT_CUR_ESTTST	IDT_CUR_WRKQUA	IDT_PRE_EVTLOC	IDT_PRE_EVTQUA	IDT_PRE_EVTTST	IDT_PRE_ESTLOC	IDT_PRE_ESTQUA	IDT_PRE_ESTTST	IDT_PRE_WRKQUA	IDT_REF_ESTLOC	IDT_REF_ESTQUA	IDT_REF_ESTTST	IDT_FIRM_LFDAT	IDT_DOCNUM	BORGR_GRP	KBNKZ	FSH_TRANSACTION	FSH_VAS_LAST_ITEM	FSH_VAS_CG	RFM_PSST_GROUP	EXT_ACT_DATE_TOCD	EXT_PLAN_DATE_TOCD	EXT_TZONE_TOCD	INT_ACT_DATE_TOCD	INT_PLAN_DATE_TOCD	INT_TZONE_TOCD	JIT_RLVNT	ZZZABC	
ROW0|700	9004953600	S021391	00:08:18	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR TO BE BILLED		Q32275			J				00	01	0011042353	0011042353	10	0.00	0	13	13	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32275		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011042353			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406757	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyWEusVBjbm			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:33:27	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR TO BE BILLED		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,183,818.0000000	20,260,918,190,328.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW1|700	9004953601	S021391	00:09:23	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR TO BE BILLED		Q32275			J				00	01	0011042353	0011042353	10	0.00	0	30	30	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32275		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011042353			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406758	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyWYKnm2jmW			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:33:37	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR TO BE BILLED		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,183,923.0000000	20,260,918,190,338.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW2|700	9004953602	S021391	00:10:23	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR To be billed		Q32812			J				00	01	0011101498	0011101498	10	0.00	0	25	25	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32812		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011101498			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406759	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyWqG52}jvm			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:34:19	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR To be billed		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,023.0000000	20,260,918,190,419.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW3|700	9004953603	S021391	00:10:36	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR To be billed		Q32812			J				00	01	0011101498	0011101498	10	0.00	0	5	5	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32812		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011101498			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406760	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyWu3IRXk4W			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:34:20	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR To be billed		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,036.0000000	20,260,918,190,420.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW4|700	9004953604	S021391	00:11:22	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR To be billed		Q32470			J				00	01	0011088291	0011088291	10	0.00	0	13	13	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32470		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011088291			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406761	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyX5WPa{kHW			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:34:37	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR To be billed		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,122.0000000	20,260,918,190,437.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW5|700	9004953605	S021391	00:11:57	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR To be billed		Q32470			J				00	01	0011088291	0011088291	10	0.00	0	30	30	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32470		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011088291			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406762	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyXGAvgWkO0			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:34:47	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR To be billed		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,157.0000000	20,260,918,190,447.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW6|700	9004953606	S021391	00:12:55	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR TO BE BILLED		Q32812			J				00	01	0011027143	0011027143	10	0.00	0	30	30	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32812		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011027143			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406763	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyXXfnSykqG			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:34:59	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR TO BE BILLED		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,255.0000000	20,260,918,190,459.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW7|700	9004953607	S021391	00:13:07	19.09.2026		1045	1000	ZNP			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FOR TO BE BILLED		Q32812			J				00	01	0011027143	0011027143	10	0.00	0	5	5	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32812		V10000		INR		0.00	1010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011027143			B	INR	0.00			A001					19.09.2026	19.09.2026					SD0002		ZLE001	0039406764	0.00				000002	00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyXbAG49krG			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:35:00	INDIA										0									00000000000000000000000000000000				0000000000				0005															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR TO BE BILLED		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,307.0000000	20,260,918,190,500.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW8|700	9004953608	S021391	00:13:36	19.09.2026		1045	1000	ZLF			10.09.2026	10.09.2026	10.09.2026	10.09.2026	10.09.2026		FTB	FTB		Q32813			J				00	01	0020208256	0011070013	41	0.00	0	34.250	34.250	TO			00000		00:00:00	9999		0001	ZDOM	19.09.2026		Q32813		V10000		INR		0.00	2010			INR	0.00000		SCLADMIN	19.09.2026						IV				1000	0011070013			B	INR	0.00			A002					19.09.2026	19.09.2026					SD0002		ZLE001	0039406765	0.00					00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6iyXjuxPKk}m			INDIA	INDIA			I	ZLE020	01									00:00:00	0							00:39:37	INDIA										0									00000000000000000000000000000000				0000000000				0006															00:00:00												C	C											C	C	C	C	C	C	C	C	C	C	C	C	C			C																					FTB		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,918,184,336.0000000	20,260,918,190,938.0000000		000000																00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
ROW9|700	9004953609	S020756	09:27:41	19.09.2026		1047	1000	ZRM2			18.09.2026	18.09.2026	18.09.2026	18.09.2026	18.09.2026		FTB	FOR To be billed		000002			J				00	01	0011113615	0011113615	16	0.00	0	0.500	0.500	KG			00000		00:00:00	0010		0001	ZDOM	19.09.2026				V10000		INR		0.00	2020			INR	0.00000									IV				1000	0011113615			B	INR	0.00								19.09.2026	19.09.2026									0.00					00:00:00	00:00:00	00:00:00	00:00:00				0.00000	0.00			HxHLlHO97{6i{yXXU}EKMm			INDIA	INDIA			I	VL01N										00:00:00	0							09:29:38	INDIA										0									00000000000000000000000000000000				0000000000				0001															00:00:00												C	C												C	C	C	C	C	C	C	C	C	C	C	C			C																					FOR To be billed		00000000000000000000000000000000	00000000000000000000000000000000	00000000000000000000000000000000				N					20,260,919,035,741.0000000	0.0000000		000000				CG22C0513									006000185539			00000000	0	0	0	0	00000			0			0				0			0				0		0000000000000000				00000			0	0		0	0				
