SESSION|QS4/700 located at connection[0] session[0]|user=QNOVATE8
SELFIELD|ctxtI1-LOW=VERKBELEG
SELFIELD|ctxtI2-LOW=0005284403
SELFIELD|ctxtI5-LOW=18.09.2026
TABLE|CDHDR
TITLE|Data Browser: Table CDHDR Select Entries         11
SBAR|
ALV|rows=11|cols=15
HDR|MANDANT	OBJECTCLAS	OBJECTID	CHANGENR	USERNAME	UDATE	UTIME	TCODE	PLANCHNGNR	ACT_CHNGNO	WAS_PLANND	CHANGE_IND	LANGU	VERSION	_DATAAGING	
ROW0|700	VERKBELEG	0005284403	0193184361	S019423	18.09.2026	14:12:32	VA02				U	E	000		
ROW1|700	VERKBELEG	0005284403	0193184362	S019423	18.09.2026	14:13:32	VKM4				U	E	000		
ROW2|700	VERKBELEG	0005284403	0193184363	S019423	18.09.2026	14:15:05	VA02				U	E	000		
ROW3|700	VERKBELEG	0005284403	0193184364	S019423	18.09.2026	14:15:34	VA02				U	E	000		
ROW4|700	VERKBELEG	0005284403	0193184365	S019423	18.09.2026	14:15:57	VKM4				U	E	000		
ROW5|700	VERKBELEG	0005284403	0193184367	S019423	18.09.2026	14:22:27	VA02				U	E	000		
ROW6|700	VERKBELEG	0005284403	0193184368	S019423	18.09.2026	14:22:42	VKM4				U	E	000		
ROW7|700	VERKBELEG	0005284403	0193184369	S019423	18.09.2026	14:24:03	VA02				U	E	000		
ROW8|700	VERKBELEG	0005284403	0193184370	S019423	18.09.2026	14:26:42	VKM4				U	E	000		
ROW9|700	VERKBELEG	0005284403	0193184371	S019423	18.09.2026	14:27:25	VA02				U	E	000		
ROW10|700	VERKBELEG	0005284403	0193184374	S019423	18.09.2026	14:30:10	VKM4				U	E	000		
